Orthogroup	Euclidium_syriacum	Cardamine_glauca
OG0000000	ESY7_g16163_DN2_SP0_c0.t1	Cg005G1732700, Cg005G1732800, Cg005G1732600, Cg005G1732500, Cg005G1732900, Cg008G2794500
OG0000000	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1	Cg003G0947300
OG0000000	ESY17_g39043_DN1_SP0_c0.t1	Cg001G0315700
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Cg001G0121200, Cg002G0472400, Cg005G1504200
OG0000003	ESY7_g19226_DN2_SP0_c46.t1	Cg008G2696300, Cg007G2280100
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	Cg014G3042600
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700
OG0000004	ESY15_g65683_DN1_SP0_c52.t1	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600
OG0000005	ESY1_g7388_DN1_SP0_c0.t1	Cg008G2853000, Cg008G2868800, Cg006G1917300
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	Cg006G1865000, Cg001G0098100, Cg005G1765200, Cg008G2926400, Cg008G2911000, Cg001G0210800, Cg002G0590800, Cg006G1891100, Cg004G1331500
OG0000009	ESY6_g47492_DN1_SP0_c0.t1	Cg003G0834900
OG0000009	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	Cg007G2452800
OG0000009	ESY17_g40133_DN1_SP0_c0.t1	Cg005G1737500
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	Cg008G2919200, Cg002G0664700, Cg003G0778000
OG0000011	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1, ESY10_g15411_DN3_SP0_c44.t1, ESY9_g45243_DN3_SP0_c0.t1, ESY7_g17507_DN3_SP0_c53.t1, ESY1_g5998_DN3_SP0_c100.t1, ESY4_g26319_DN3_SP0_c0.t1	Cg005G1679200
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	Cg005G1679100
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	Cg001G0251200
OG0000015	ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1	Cg008G2857400
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	Cg001G0284700
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	Cg004G1313600
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	Cg006G1912000, Cg004G1333000
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	Cg003G0814800, Cg002G0614300, Cg003G0880200, Cg007G2371000, Cg003G0882200, Cg006G1902200, Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300, Cg001G0296000
OG0000024	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	Cg001G0171700, Cg001G0171600
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	Cg003G0981300
OG0000028	ESY20_g13267_DN3_SP0_c0.t1	Cg006G2183100
OG0000028	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1	Cg003G0941300
OG0000030	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	Cg004G1261500
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	Cg004G1264800
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	Cg006G1982700
OG0000030	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	Cg001G0286900
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	Cg002G0532900
OG0000031	ESY23_g31_DN2_SP0_c0.t1	Cg003G0842000
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	Cg008G2847500, Cg008G2862000
OG0000040	ESY7_g16531_DN2_SP0_c0.t1	Cg008G2847400, Cg008G2861900
OG0000041	ESY6_g47885_DN2_SP0_c0.t1	Cg007G2434700
OG0000041	ESY21_g55401_DN3_SP0_c0.t1	Cg007G2348600
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	Cg006G2127000
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	Cg013G3025700
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	Cg014G3034000, Cg002G0640800, Cg003G0842100, Cg007G2421300, Cg006G1860500, Cg008G2905100
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	Cg001G0233900
OG0000044	ESY4_g26811_DN2_SP0_c0.t1	Cg004G1386600
OG0000046	ESY5_g2589_DN3_SP0_c0.t1	Cg003G0881700
OG0000046	ESY14_g21426_DN1_SP0_c0.t1	Cg001G0284200
OG0000050	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1	Cg005G1710800
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	Cg007G2389100, Cg006G1872200
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	Cg002G0525300, Cg008G2715000, Cg001G0215700
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	Cg006G2232100
OG0000051	ESY5_g5127_DN3_SP0_c0.t1	Cg005G1506300
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	Cg013G3025800, Cg005G1600400
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	Cg005G1723400
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	Cg003G0782100
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	Cg002G0501500
OG0000055	ESY9_g45399_DN1_SP0_c0.t1, ESY3_g30252_DN1_SP0_c0.t1	Cg004G1287600
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	Cg007G2283600, Cg007G2285200
OG0000056	ESY2_g33665_DN2_SP0_c0.t1	Cg007G2283700
OG0000056	ESY3_g31641_DN1_SP0_c0.t1	Cg007G2283400
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	Cg007G2284900, Cg007G2285100
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	Cg002G0557700
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	Cg005G1680800, Cg005G1670600, Cg002G0582900, Cg004G1300700, Cg006G1919800, Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300, Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500, Cg002G0648900
OG0000060	ESY6_g48808_DN3_SP0_c0.t1	Cg005G1558200
OG0000060	ESY8_g58878_DN3_SP0_c0.t1	Cg003G0990300, Cg002G0570000
OG0000060	ESY5_g4464_DN2_SP0_c0.t1	Cg006G2185800
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	Cg005G1631000
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	Cg001G0369100, Cg001G0313600
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	Cg003G0987600
OG0000065	ESY1_g11993_DN3_SP0_c13.t1	Cg003G0889600
OG0000066	ESY23_g163_DN2_SP0_c0.t1	Cg003G1045600
OG0000066	ESY11_g54349_DN3_SP0_c0.t1	Cg008G2671000
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	Cg008G2677200, Cg001G0018800
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	Cg006G2066700
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	Cg004G1439200, Cg006G1886600
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	Cg002G0693300, Cg008G2602600, Cg008G2600100
OG0000069	ESY10_g15831_DN1_SP0_c0.t1	Cg004G1201400
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	Cg006G2161100
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	Cg002G0680500
OG0000070	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300
OG0000072	ESY7_g16117_DN2_SP0_c0.t1	Cg006G1870600, Cg007G2425100
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	Cg007G2400700, Cg007G2408800
OG0000072	ESY15_g64467_DN1_SP0_c0.t1	Cg005G1665600
OG0000075	ESY5_g3131_DN2_SP0_c0.t1	Cg001G0013900
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	Cg001G0007600
OG0000076	ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1	Cg008G2983800
OG0000076	ESY4_g25261_DN2_SP0_c0.t1	Cg008G2963600
OG0000077	ESY7_g18827_DN2_SP0_c0.t1	Cg002G0679000
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500
OG0000081	ESY17_g40277_DN2_SP0_c0.t1	Cg007G2409600, Cg007G2443800
OG0000082	ESY3_g28725_DN2_SP0_c0.t1	Cg002G0616100
OG0000082	ESY11_g54332_DN2_SP0_c0.t1	Cg003G0760400
OG0000084	ESY6_g47811_DN1_SP0_c0.t1	Cg006G1901600
OG0000084	ESY9_g44313_DN1_SP0_c0.t1	Cg003G0875600
OG0000086	ESY8_g59458_DN3_SP0_c0.t1	Cg001G0341500
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	Cg001G0342600
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	Cg008G2794800
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	Cg005G1638200
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	Cg008G2689500
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	Cg008G2943700
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	Cg001G0195600
OG0000089	ESY5_g3995_DN3_SP3_c0.t1	Cg006G2065500
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	Cg007G2528700
OG0000090	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	Cg008G2920500, Cg005G1727500
OG0000090	ESY5_g1685_DN1_SP0_c0.t1, ESY6_g49736_DN3_SP0_c0.t1, ESY7_g18543_DN2_SP0_c0.t1	Cg002G0573100, Cg006G1912900
OG0000096	ESY6_g49250_DN3_SP0_c0.t1	Cg004G1260000
OG0000098	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1	Cg004G1351900
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	Cg007G2258600, Cg007G2258500
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	Cg008G2823500
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	Cg007G2289500, Cg007G2332300, Cg007G2290800
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	Cg007G2332400
OG0000102	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1	Cg003G0864200, Cg003G0734200
OG0000102	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1	Cg003G0864100, Cg003G0734300
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000
OG0000105	ESY5_g1810_DN2_SP0_c0.t1, ESY5_g2214_DN1_SP0_c94.t1	Cg007G2332200, Cg007G2332800
OG0000106	ESY11_g53714_DN2_SP0_c0.t1, ESY22_g40814_DN2_SP0_c0.t1	Cg006G2207300
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	Cg005G1681600, Cg004G1267700, Cg004G1267500, Cg004G1267300, Cg004G1267400, Cg004G1267200, Cg004G1267600
OG0000109	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	Cg008G2837900, Cg008G2837800
OG0000110	ESY9_g43985_DN3_SP0_c0.t1	Cg002G0653700
OG0000116	ESY12_g51236_DN3_SP0_c0.t1	Cg001G0293300, Cg001G0282800
OG0000117	ESY11_g54277_DN1_SP0_c0.t1	Cg006G2029700
OG0000117	ESY5_g2024_DN3_SP0_c0.t1	Cg006G2031100
OG0000117	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1	Cg006G2030600
OG0000120	ESY1_g9428_DN3_SP0_c0.t1	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500
OG0000122	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1	Cg003G0953100, Cg003G0952800
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900
OG0000125	ESY8_g58834_DN3_SP0_c19.t1	Cg005G1643500
OG0000125	ESY8_g58838_DN3_SP0_c18.t1	Cg005G1643600, Cg005G1644100
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	Cg006G1841400
OG0000125	ESY1_g12339_DN3_SP0_c5.t1	Cg006G1816900, Cg006G1816400
OG0000127	ESY5_g4488_DN3_SP0_c0.t1	Cg006G2186100
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	Cg008G2786000
OG0000127	ESY3_g30941_DN1_SP0_c0.t1, ESY3_g30943_DN3_SP0_c0.t1, ESY1_g11076_DN3_SP0_c0.t1	Cg002G0489900
OG0000127	ESY1_g11079_DN3_SP0_c0.t1	Cg008G2597500
OG0000127	ESY6_g48851_DN3_SP0_c0.t1	Cg003G0989900
OG0000127	ESY8_g58880_DN2_SP0_c0.t1	Cg005G1647800
OG0000128	ESY1_g11245_DN1_SP0_c0.t1	Cg007G2459200, Cg002G0434200, Cg002G0434700, Cg002G0434600
OG0000129	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1	Cg007G2357000
OG0000129	ESY7_g19441_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1	Cg007G2393300, Cg007G2412500, Cg007G2396400
OG0000129	ESY6_g49428_DN3_SP0_c0.t1	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000
OG0000129	ESY2_g34341_DN3_SP0_c0.t1	Cg008G2880200, Cg007G2357100
OG0000130	ESY1_g9827_DN1_SP0_c0.t1	Cg008G2849000
OG0000130	ESY23_g219_DN2_SP0_c0.t1	Cg003G0796500, Cg002G0592800
OG0000137	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1	Cg003G0942200
OG0000138	ESY11_g54288_DN3_SP0_c0.t1	Cg007G2299200, Cg008G2872200, Cg002G0573400, Cg007G2299500
OG0000140	ESY10_g15894_DN2_SP0_c0.t1	Cg003G0904200, Cg002G0686900, Cg006G2087500, Cg006G1824700, Cg003G0810900
OG0000141	ESY6_g49757_DN3_SP0_c0.t1, ESY6_g49766_DN1_SP0_c0.t1, ESY6_g49768_DN3_SP0_c0.t1, ESY6_g49777_DN3_SP0_c0.t1, ESY6_g49767_DN3_SP0_c0.t1	Cg007G2276000, Cg007G2276100
OG0000151	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1	Cg002G0474800, Cg002G0579800, Cg002G0475200, Cg002G0475300, Cg005G1538800, Cg002G0475400, Cg002G0491600, Cg005G1560100, Cg008G2699500
OG0000153	ESY18_g63267_DN3_SP0_c0.t1	Cg005G1625900
OG0000154	ESY16_g61942_DN3_SP0_c0.t1, ESY16_g61938_DN2_SP0_c0.t1, ESY2_g37486_DN2_SP0_c0.t1	Cg006G1826100
OG0000154	ESY2_g37254_DN2_SP0_c0.t1	Cg006G1826000
OG0000154	ESY2_g37383_DN3_SP0_c0.t1, ESY2_g37452_DN3_SP0_c0.t1	Cg006G1826200
OG0000155	ESY7_g18223_DN2_SP0_c0.t1, ESY7_g16424_DN1_SP0_c0.t1, ESY6_g48389_DN1_SP0_c0.t1, ESY2_g34658_DN1_SP0_c7.t1	Cg009G2989400
OG0000155	ESY2_g37015_DN1_SP0_c0.t1	Cg004G1360400, Cg001G0323500
OG0000157	ESY3_g31914_DN1_SP0_c0.t1	Cg006G1966900
OG0000159	ESY5_g2337_DN3_SP0_c0.t1	Cg007G2460000, Cg003G0778900, Cg005G1705200
OG0000160	ESY11_g54431_DN3_SP8_c0.t1	Cg004G1426700
OG0000160	ESY4_g24538_DN3_SP0_c0.t1	Cg001G0100800
OG0000160	ESY6_g48428_DN3_SP8_c0.t1	Cg003G0963700
OG0000160	ESY17_g39881_DN3_SP8_c0.t1	Cg001G0307000
OG0000160	ESY2_g36615_DN3_SP8_c6.t1	Cg007G2573400
OG0000160	ESY8_g59421_DN3_SP7_c0.t1	Cg005G1742100
OG0000162	ESY20_g12795_DN3_SP0_c0.t1	Cg005G1601600
OG0000162	ESY20_g12800_DN3_SP0_c0.t1	Cg005G1601400
OG0000163	ESY10_g14513_DN2_SP0_c0.t1	Cg007G2356000, Cg005G1702000
OG0000165	ESY11_g54874_DN3_SP0_c0.t1, ESY11_g54875_DN3_SP0_c0.t1	Cg008G2927600, Cg006G1858300, Cg007G2423600
OG0000166	ESY6_g49239_DN3_SP0_c66.t1, ESY5_g5230_DN1_SP0_c0.t1, ESY2_g34940_DN2_SP0_c11.t1	Cg013G3025200, Cg013G3024600, Cg013G3024900
OG0000167	ESY2_g33553_DN2_SP0_c0.t1	Cg004G1278400, Cg004G1301000
OG0000170	ESY7_g16345_DN2_SP0_c0.t1	Cg005G1473800, Cg002G0419600, Cg005G1474000
OG0000171	ESY6_g47353_DN3_SP8_c0.t1	Cg003G0916500
OG0000171	ESY8_g60049_DN3_SP6_c0.t1	Cg007G2262400
OG0000171	ESY11_g53876_DN3_SP8_c0.t1	Cg004G1402700
OG0000171	ESY6_g48165_DN3_SP8_c0.t1	Cg003G0949800
OG0000171	ESY3_g30785_DN3_SP8_c0.t1, ESY3_g30787_DN3_SP0_c0.t1	Cg004G1146700
OG0000171	ESY4_g23864_DN3_SP6_c0.t1	Cg001G0123300
OG0000173	ESY2_g33791_DN2_SP0_c0.t1, ESY4_g25826_DN2_SP0_c0.t1, ESY3_g28607_DN2_SP0_c0.t1, ESY4_g25629_DN2_SP0_c19.t1, ESY4_g26323_DN2_SP0_c0.t1, ESY4_g26316_DN3_SP0_c0.t1, ESY4_g26038_DN2_SP0_c0.t1, ESY4_g26322_DN2_SP0_c0.t1, ESY4_g26691_DN3_SP0_c5.t1, ESY4_g26645_DN3_SP0_c39.t1, ESY4_g26692_DN1_SP0_c0.t1, ESY4_g26646_DN2_SP0_c0.t1, ESY4_g26238_DN3_SP0_c0.t1, ESY4_g26647_DN1_SP0_c0.t1	Cg008G2861400, Cg008G2846800
OG0000174	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1	Cg003G0887300, Cg005G1647500, Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000183	ESY2_g35240_DN3_SP8_c46.t1	Cg001G0339800, Cg007G2426600
OG0000183	ESY12_g51047_DN3_SP8_c0.t1	Cg002G0456600, Cg005G1519300
OG0000183	ESY8_g59101_DN3_SP5_c0.t1	Cg008G2776300
OG0000183	ESY1_g7203_DN3_SP0_c0.t1	Cg005G1681400
OG0000185	ESY12_g51008_DN3_SP0_c0.t1	Cg004G1440400
OG0000185	ESY2_g35404_DN3_SP0_c41.t1, ESY3_g29317_DN3_SP0_c0.t1	Cg003G1044200
OG0000186	ESY3_g32370_DN2_SP0_c0.t1, ESY3_g32365_DN1_SP0_c79.t1	Cg005G1766900, Cg007G2287600, Cg002G0535100
OG0000188	ESY3_g31964_DN2_SP0_c0.t1, ESY3_g31967_DN2_SP0_c0.t1	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900, Cg004G1107000
OG0000189	ESY4_g26116_DN3_SP8_c10.t1	Cg001G0040600
OG0000189	ESY4_g25500_DN3_SP8_c0.t1	Cg001G0051000
OG0000189	ESY5_g3986_DN3_SP8_c0.t1	Cg006G2064800
OG0000191	ESY21_g55510_DN1_SP0_c0.t1, ESY15_g64236_DN1_SP0_c10.t1	Cg001G0299600
OG0000191	ESY13_g57929_DN1_SP0_c0.t1, ESY21_g55511_DN2_SP0_c0.t1	Cg007G2389300
OG0000191	ESY9_g44026_DN2_SP0_c0.t1	Cg007G2329300
