Orthogroup	Euclidium_syriacum	Cochlearia_excelsa
OG0000000	ESY8_g61001_DN1_SP0_c0.t1	g41935, g4076, g46961, g3211, g36022
OG0000000	ESY16_g61843_DN2_SP0_c0.t1	g42672
OG0000000	ESY9_g43741_DN1_SP0_c0.t1	g14627, g14949, g4309, g8694, g53158
OG0000000	ESY13_g56017_DN1_SP0_c0.t1	g1660
OG0000000	ESY7_g16181_DN1_SP0_c0.t1, ESY8_g59126_DN2_SP0_c0.t1, ESY3_g28926_DN2_SP0_c0.t1, ESY1_g10755_DN1_SP0_c14.t1, ESY1_g5706_DN2_SP0_c0.t1, ESY9_g44627_DN1_SP0_c0.t1, ESY3_g30327_DN1_SP0_c0.t1, ESY3_g29102_DN2_SP0_c0.t1, ESY2_g37456_DN1_SP0_c0.t1, ESY4_g25005_DN1_SP0_c0.t1	g26700
OG0000000	ESY11_g54832_DN1_SP0_c0.t1	g6388
OG0000000	ESY5_g3140_DN1_SP0_c0.t1	g14958
OG0000000	ESY22_g40756_DN3_SP0_c0.t1	g54172, g11781, g52096, g4660, g33143, g43301
OG0000000	ESY10_g14344_DN2_SP0_c0.t1, ESY2_g38089_DN1_SP0_c0.t1	g24559
OG0000000	ESY2_g36604_DN3_SP0_c0.t1	g34710, g46576
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	g23875, g4482
OG0000000	ESY14_g19960_DN1_SP0_c0.t1	g2380
OG0000000	ESY17_g39043_DN1_SP0_c0.t1	g53079, g43739, g16627
OG0000000	ESY1_g9574_DN1_SP0_c0.t1, ESY19_g41595_DN1_SP0_c0.t1	g43300
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	g44628, g5460, g51805, g6616, g5880, g29227, g49681, g9947, g35122, g12827, g22517, g22299, g14099, g23128, g16024, g17546, g22357, g54221, g22707, g40366, g33609, g51791, g16254, g12053, g52853, g57, g36475, g33085, g32227, g2531, g12890, g3989, g17420, g50076, g39920, g43321, g35849, g15943, g22279, g12708, g46797, g517, g33084, g42698, g194, g14098, g24145, g44742, g2225, g18734, g16611, g35850, g48969, g35126, g46299, g34796, g36749, g37143, g40655, g12891, g12952, g23648, g37011, g46087, g50562, g10421, g38467, g19554, g41590, g32328, g31909, g92, g3931, g28790, g2558, g52048, g4353, g42923, g25758, g39438, g3132, g16037, g32048, g2353, g1175, g4895, g38552, g17829, g45326, g19106, g12705, g54131, g12567, g53909, g51166, g32228, g13093, g26238, g53437, g9948, g22268, g41801, g38312, g31092, g50475, g49477, g22706, g20017, g36478, g4705, g24147, g56, g19235, g5458, g4202, g36769, g6617, g22858, g22281, g40197, g16025, g35637, g22483, g29768, g37989, g39923, g47601, g28189, g19054, g31608, g5152, g36551, g5878, g51652, g43320, g32846, g18735, g3257, g45380, g30785, g36477, g19234, g2906, g17597, g30784, g50260, g23112, g10785, g13170, g49645, g38313, g17830, g38094, g18733, g51782, g51654, g53783, g22354, g25505, g4702, g49476, g47321, g22754, g40394, g6620, g24144, g44741, g28463, g36764, g17951, g52049, g10783, g54223, g47322, g50479, g22753, g1903, g3746, g17293, g28808, g36550, g2075, g51102, g19055, g14321, g49632, g49475, g41842, g41535, g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356, g3134, g24273, g31606, g31905, g24143, g12828, g5461, g42699, g19117, g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182, g16055, g23051, g18890, g45322, g36393, g17831, g43957, g43885, g32847, g42704, g32759, g22481, g22300, g26182, g22499, g51595, g16351, g4776, g22857, g34979, g16823, g32695, g26240, g28129, g11929, g37738, g34980, g53784, g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655, g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750, g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950, g45382, g23050, g39437, g26239, g31863, g37739, g11797, g45709, g47656, g13031, g1614, g15078, g51473, g36480, g12407, g29002, g24274, g36765, g49634, g26181, g51597, g17547, g14322, g1902, g25506, g14097, g16350, g51790, g14069, g41536, g19537, g26066, g35225, g4823, g35639, g4203, g26118, g3748, g16824, g34797, g43414, g32694, g41839, g17952, g50576, g52852, g12054, g30782, g26452, g33608, g12826, g40393, g33083, g44743, g47868, g44403, g32236, g19116, g5108, g22518, g31091, g49283, g41840, g6621, g22362, g22482, g22280, g22501, g28128, g35851, g3258, g32516, g22355
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	g42622
OG0000003	ESY2_g37193_DN1_SP0_c0.t1	g34726
OG0000003	ESY6_g48209_DN3_SP0_c0.t1	g41610, g51431, g41609
OG0000003	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	g46643, g3725, g24106
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	g42410, g1669, g8852, g8926, g33256, g8658
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000004	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1	g53542
OG0000005	ESY8_g60803_DN3_SP0_c6.t1	g36078
OG0000005	ESY1_g7388_DN1_SP0_c0.t1	g49127, g41144
OG0000005	ESY33_g12634_DN2_SP0_c75.t1, ESY1_g7389_DN1_SP0_c0.t1	g39266
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	g23854, g4635, g6208, g14489, g40547, g4032, g24749, g15595, g42739, g41913, g24723, g1457, g35540, g1504, g5172, g25855, g9677, g40914, g32471, g52712, g52350, g43721, g5266, g4218, g9032, g16483, g4033, g40546, g42738, g47006, g45886, g50470, g596, g49751, g47000, g11663, g32442, g35394, g34804, g40353, g47960, g48115, g32111, g42023, g24823, g23855
OG0000008	ESY1_g7826_DN2_SP0_c27.t1	g36794
OG0000009	ESY6_g47492_DN1_SP0_c0.t1	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582
OG0000009	ESY23_g520_DN2_SP0_c0.t1, ESY2_g33779_DN2_SP0_c0.t1, ESY4_g25202_DN1_SP0_c0.t1	g36085, g14872, g26760
OG0000009	ESY6_g47366_DN1_SP0_c0.t1	g22674, g36759, g2982
