Orthogroup	Euclidium_syriacum	Arabis_alpina
OG0000000	ESY22_g40756_DN3_SP0_c0.t1	Aa_G175710.h1.t1
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Aa_G222330.h1.t1, Aa_G417360.h1.t1, Aa_G109850.h1.t1, Aa_G504380.h1.t1, Aa_G843080.h1.t1, Aa_G973590.h1.t1, Aa_G523140.h1.t1, Aa_G139860.h1.t1, Aa_G544990.h1.t1, Aa_G429320.h1.t1, Aa_G6650.h1.t1, Aa_G440660.h1.t1, Aa_G881120.h1.t1, Aa_G63760.h1.t1, Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1, Aa_G166190.h1.t1, Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1, Aa_G645190.h1.t1, Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1
OG0000005	ESY1_g7388_DN1_SP0_c0.t1	Aa_G249080.h1.t1, Aa_G249080.h2.t1
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	Aa_G70820.h1.t1, Aa_G711210.h1.t1, Aa_G508230.h1.t1, Aa_G85610.h1.t1, Aa_G188000.h1.t1, Aa_G596260.h1.t1, Aa_G437570.h1.t1, Aa_G727680.h1.t1
OG0000009	ESY2_g34418_DN2_SP0_c0.t1	Aa_G326720.h1.t1
OG0000009	ESY13_g56733_DN2_SP0_c0.t1, ESY11_g54694_DN3_SP0_c0.t1	Aa_G122060.h1.t1
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	Aa_G396980.h1.t1
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	Aa_G982290.h1.t1
OG0000015	ESY4_g23102_DN1_SP0_c100.t1	Aa_G592580.h1.t1, Aa_G411050.h1.t1, Aa_G121380.h1.t1, Aa_G212210.h1.t1
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	Aa_G962140.h1.t1
OG0000015	ESY5_g1619_DN2_SP0_c2.t1	Aa_G413430.h1.t1, Aa_G252900.h1.t1
OG0000015	ESY4_g23103_DN1_SP0_c0.t1	Aa_G11720.h1.t1
