Orthogroup	Noccaea_praecox	Brassica_oleracea
OG0000000	Np007G401540, Np010G434720	XP_013624387.1, XP_013624852.1, XP_013633000.1
OG0000000	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430	XP_013624469.1, XP_013632641.1, XP_013614693.1
OG0000000	Np005G293490	XP_013639281.1
OG0000000	Np003G178670	XP_013601618.1
OG0000000	Np010G434710	XP_013587282.1
OG0000002	Np008G427560	XP_013617483.1, XP_013617539.1
OG0000002	Np001G043030	XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1
OG0000002	Np002G103600, Np002G105770, Np011G436400, Np008G426050	XP_013589182.1
OG0000002	Np002G105650	XP_013630619.1
OG0000003	Np005G296980	XP_013614006.1, XP_013601193.1
OG0000003	Np008G429060, Np001G031010, Np002G099380	XP_013601450.1
OG0000003	Np001G029010	XP_013614675.1
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	XP_013617438.1, XP_013613453.1
OG0000003	Np001G048700	XP_013624578.1
OG0000003	Np007G402470	XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1, XP_013639546.1
OG0000003	Np003G170050	XP_013599594.1
OG0000003	Np003G170760	XP_013639562.1
OG0000004	Np002G100200	XP_013632878.1
OG0000004	Np002G110370	XP_013601024.1, XP_013639767.1
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	XP_013608467.1, XP_013633135.1, XP_013633487.1, XP_013639278.1, XP_013608309.1
OG0000004	Np006G322460, Np007G418310	XP_013594561.1, XP_013617633.1
OG0000005	Np003G178290, Np001G012920	XP_013616789.1, XP_013607654.1
OG0000005	Np007G395340	XP_013617184.1, XP_013595190.1
OG0000005	Np004G197010	XP_013623976.1, XP_013601013.1, XP_013608517.1, XP_013625016.1, XP_013588939.1, XP_013589538.1
OG0000005	Np006G359670, Np001G029160, Np001G037420	XP_013614431.1
OG0000005	Np001G068320	XP_013639114.1
OG0000005	Np002G098830	XP_013632594.1
OG0000005	Np001G012890, Np001G012870	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1
OG0000005	Np001G029170	XP_013583274.1
OG0000005	Np008G427710	XP_013594364.1, XP_013633351.1
OG0000006	Np003G145740	XP_013601509.1, XP_013632690.1, XP_013589492.1, XP_013601489.1, XP_013594943.1, XP_013634243.1
OG0000006	Np005G313160	XP_013632892.1, XP_013617022.1, XP_013632874.1, XP_013601472.1, XP_013594005.1, XP_013639708.1, XP_013632751.1, XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013594807.1, XP_013633894.1
OG0000006	Np008G427000	XP_013617289.1, XP_013603784.1, XP_013635455.1, XP_013585405.1, XP_013617290.1, XP_013605146.1, XP_013632908.1, XP_013617071.1, XP_013623981.1
OG0000007	Np006G357400, Np005G299740	XP_013601000.1, XP_013633348.1, XP_013627809.1, XP_013594959.1, XP_013625538.1
OG0000007	Np005G307400	XP_013616974.1
OG0000007	Np007G402890	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	Np002G092690	XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1
OG0000007	Np001G031480	XP_013601638.1
OG0000007	Np006G356870	XP_013600971.1
OG0000008	Np005G307780, Np002G103180	XP_013584735.1, XP_013639639.1
OG0000008	Np007G406420	XP_013616794.1
OG0000008	Np001G053530	XP_013624694.1, XP_013639167.1, XP_013633438.1, XP_013594703.1, XP_013639704.1, XP_013583429.1, XP_013612199.1, XP_013594705.1, XP_013615146.1, XP_013583252.1, XP_013601615.1, XP_013615550.1, XP_013632335.1
OG0000010	Np002G095240	XP_013632708.1, XP_013634434.1
OG0000010	Np004G221660	XP_013624744.1
OG0000011	Np001G009230, Np006G351190	XP_013589318.1, XP_013617880.1, XP_013594971.1, XP_013633088.1, XP_013616799.1, XP_013639268.1, XP_013632776.1, XP_013632771.1
OG0000011	Np003G163940	XP_013588969.1
OG0000012	Np006G343630, Np002G100520	XP_013617060.1
OG0000012	Np006G354320, Np004G217870, Np006G359410, Np005G284210	XP_013608082.1
OG0000012	Np002G117990	XP_013624598.1
OG0000012	Np002G095110, Np002G111240	XP_013630282.1, XP_013633092.1
OG0000012	Np002G110330	XP_013589397.1
OG0000012	Np007G401570	XP_013624559.1
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160	XP_013594459.1, XP_013617598.1
OG0000013	Np002G102600, Np003G173130	XP_013624890.1, XP_013614189.1
OG0000013	Np004G228920	XP_013632491.1
OG0000014	Np001G042570, Np002G073300	XP_013601639.1, XP_013608487.1, XP_013624169.1, XP_013595084.1, XP_013607955.1, XP_013594761.1, XP_013594307.1, XP_013627465.1, XP_013617162.1, XP_013624842.1, XP_013589509.1, XP_013624293.1, XP_013632946.1, XP_013589060.1, XP_013625317.1, XP_013632798.1, XP_013613507.1, XP_013601885.1, XP_013588970.1, XP_013627640.1, XP_013617522.1, XP_013623548.1, XP_013627369.1, XP_013607767.1, XP_013608123.1, XP_013594361.1, XP_013633074.1, XP_013601549.1, XP_013632213.1, XP_013589169.1, XP_013588874.1, XP_013624200.1, XP_013617845.1, XP_013626258.1, XP_013589130.1, XP_013624470.1, XP_013601621.1, XP_013623206.1, XP_013639710.1
OG0000014	Np004G227310	XP_013601675.1
OG0000014	Np003G187370	XP_013632898.1
OG0000015	Np007G402630	XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1
OG0000015	Np008G427030	XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1
OG0000015	Np007G416100	XP_013639368.1
OG0000015	Np001G036120	XP_013594858.1
OG0000017	Np003G171300	XP_013632836.1, XP_013585421.1
OG0000017	Np005G282110, Np005G282180, Np007G396400	XP_013601147.1
OG0000018	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013583415.1, XP_013639394.1, XP_013624628.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013589650.1, XP_013633047.1, XP_013594522.1, XP_013608090.1, XP_013608306.1
OG0000019	Np004G211950	XP_013627832.1
OG0000019	Np001G027630	XP_013639582.1
OG0000019	Np003G166760, Np002G106220	XP_013601179.1, XP_013601186.1, XP_013639515.1, XP_013594913.1, XP_013624987.1
OG0000019	Np001G031440, Np004G225560	XP_013615397.1
OG0000019	Np004G239770	XP_013607552.1, XP_013607541.1, XP_013596669.1
OG0000019	Np007G405080, Np001G027610	XP_013633251.1
OG0000021	Np005G303890	XP_013616875.1, XP_013594483.1, XP_013632484.1, XP_013595187.1, XP_013589405.1
OG0000021	Np005G270390	XP_013624336.1, XP_013624294.1
OG0000021	Np007G393560	XP_013607730.1, XP_013595127.1
OG0000021	Np004G199130	XP_013624580.1
OG0000021	Np004G199140	XP_013589254.1, XP_013601688.1, XP_013624315.1, XP_013589325.1, XP_013633333.1, XP_013583358.1, XP_013614571.1, XP_013607765.1, XP_013583277.1, XP_013588987.1, XP_013613505.1, XP_013632463.1, XP_013601861.1, XP_013617452.1, XP_013601663.1, XP_013617174.1, XP_013616914.1, XP_013624212.1, XP_013616969.1, XP_013617895.1, XP_013623499.1, XP_013617795.1, XP_013601139.1
OG0000021	Np007G402490, Np003G147560	XP_013617855.1
OG0000021	Np002G120150	XP_013589622.1
OG0000023	Np005G283850	XP_013634493.1
OG0000023	Np005G283730	XP_013595250.1
OG0000023	Np003G180640	XP_013608009.1
OG0000023	Np005G283900	XP_013595244.1
OG0000023	Np005G284120	XP_013625142.1
OG0000023	Np005G283870	XP_013598637.1
OG0000024	Np002G092500	XP_013632467.1
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	XP_013639775.1
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013617023.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	XP_013614695.1, XP_013624780.1, XP_013624779.1, XP_013614694.1, XP_013624781.1, XP_013626875.1, XP_013589427.1, XP_013625541.1, XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1
OG0000026	Np002G101380, Np004G216210	XP_013624177.1, XP_013606795.1
OG0000026	Np003G171320	XP_013624503.1, XP_013633143.1, XP_013639630.1, XP_013617322.1, XP_013617729.1, XP_013624373.1, XP_013617843.1, XP_013589098.1, XP_013594300.1, XP_013617279.1, XP_013624803.1, XP_013617280.1, XP_013624523.1, XP_013624057.1, XP_013589093.1
OG0000027	Np004G198060, Np004G198040	XP_013597425.1
OG0000027	Np004G214870, Np005G271730, Np004G214850	XP_013624897.1
OG0000027	Np004G215070	XP_013632478.1
OG0000027	Np001G057950, Np001G057940	XP_013605203.1
OG0000028	Np003G168060, Np003G175100, Np002G106380	XP_013639720.1
OG0000028	Np003G170790, Np003G189760, Np004G207130	XP_013597550.1, XP_013617618.1, XP_013617349.1, XP_013589355.1, XP_013617982.1, XP_013595192.1, XP_013639568.1, XP_013639826.1, XP_013607525.1, XP_013588999.1, XP_013607550.1, XP_013608305.1, XP_013594365.1
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	XP_013624934.1, XP_013632493.1
OG0000029	Np002G090000	XP_013594951.1, XP_013601162.1
OG0000029	Np001G034960, Np004G225420	XP_013613615.1
OG0000029	Np002G113330, Np005G304980	XP_013608320.1, XP_013617812.1, XP_013633217.1, XP_013589208.1, XP_013632998.1, XP_013624505.1, XP_013607798.1, XP_013633393.1, XP_013624245.1, XP_013639602.1
OG0000029	Np007G394270	XP_013589292.1
OG0000029	Np002G095530	XP_013624617.1, XP_013604948.1
OG0000030	Np004G229860	XP_013639621.1
OG0000030	Np006G347830	XP_013632400.1
OG0000030	Np002G096310	XP_013639811.1, XP_013617264.1, XP_013624086.1
OG0000030	Np003G173710, Np007G417840, Np007G402740, Np007G390810, Np007G423880	XP_013624117.1, XP_013639620.1, XP_013601612.1
OG0000030	Np006G330890	XP_013594894.1, XP_013589127.1, XP_013624490.1
OG0000031	Np004G244900	XP_013605038.1, XP_013600826.1, XP_013605927.1, XP_013600508.1, XP_013601047.1, XP_013604688.1
OG0000031	Np005G318980	XP_013635968.1
OG0000033	Np005G284050	XP_013598717.1
OG0000033	Np005G284060	XP_013595252.1, XP_013595253.1
OG0000033	Np005G283960, Np005G284080	XP_013595249.1, XP_013595246.1
OG0000033	Np005G284140	XP_013595245.1
OG0000033	Np005G284160	XP_013593131.1
OG0000034	Np006G350340	XP_013611041.1
OG0000034	Np006G341510	XP_013594785.1, XP_013638563.1
OG0000034	Np003G168290, Np001G007970	XP_013624560.1
OG0000035	Np006G356560	XP_013634382.1
OG0000035	Np005G313520	XP_013589584.1, XP_013619895.1, XP_013624477.1
OG0000037	Np001G045190	XP_013589595.1, XP_013639365.1, XP_013633425.1, XP_013595002.1, XP_013617113.1
OG0000037	Np002G110300, Np005G302190	XP_013608021.1, XP_013632693.1, XP_013601587.1, XP_013588964.1, XP_013633223.1
OG0000038	Np003G125690	XP_013597138.1
OG0000038	Np003G165810, Np005G318000	XP_013633414.1
OG0000039	Np002G110420	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1
OG0000039	Np005G289260, Np005G309180, Np003G166870, Np003G169960	XP_013632923.1, XP_013631875.1, XP_013583322.1, XP_013594549.1, XP_013624977.1, XP_013594884.1, XP_013594744.1, XP_013631314.1, XP_013624408.1, XP_013583288.1, XP_013583348.1, XP_013632584.1, XP_013632419.1, XP_013631887.1, XP_013601137.1, XP_013608143.1, XP_013589206.1, XP_013607999.1
OG0000040	Np001G009070	XP_013589717.1, XP_013593712.1, XP_013589720.1
OG0000040	Np004G224970, Np004G224940	XP_013632678.1
OG0000040	Np007G407000	XP_013633602.1, XP_013584822.1
OG0000040	Np004G224990	XP_013615698.1, XP_013593493.1
OG0000042	Np001G027800	XP_013639418.1
