Orthogroup	Noccaea_praecox	Conringia_planisiliqua
OG0000000	Np003G167670, Np002G107260, Np004G207890	CP1_g39844_DN3_SP0_c.t1
OG0000002	Np001G043410, Np002G102940, Np001G043030	CP4_g26489_DN1_SP0_c.t1
OG0000002	Np008G427570	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1
OG0000002	Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560	CP13_g20669_DN2_SP0_c.t1
OG0000002	Np009G429290	CP3_g16153_DN2_SP0_c.t1
OG0000003	Np003G172810	CP72_g12646_DN1_SP0_c.t1
OG0000004	Np002G100200	CP2_g49699_DN2_SP0_c.t1
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1, CP15_g34707_DN2_SP0_c.t1, CP21_g10514_DN2_SP0_c.t1
OG0000005	Np003G166380	CP12_g31672_DN2_SP0_c.t1
OG0000005	Np004G202160, Np002G098860, Np007G395340	CP1_g39903_DN2_SP0_c.t1, CP3_g15091_DN1_SP0_c.t1
OG0000005	Np001G027520	CP15_g34443_DN2_SP0_c.t1
OG0000005	Np006G352060, Np002G098830	CP18_g12172_DN1_SP0_c.t1
OG0000005	Np002G093480, Np002G088460	CP9_g27577_DN3_SP0_c.t1
OG0000005	Np001G012890, Np001G012870	CP4_g26231_DN1_SP0_c.t1
OG0000005	Np001G029170	CP9_g27889_DN1_SP0_c.t1
OG0000005	Np008G427710	CP4_g26940_DN2_SP0_c.t1
OG0000005	Np003G170890, Np003G170800	CP27_g41816_DN1_SP0_c.t1
OG0000005	Np003G175080, Np002G106360	CP15_g35524_DN2_SP0_c.t1
OG0000006	Np005G313160	CP8_g52162_DN2_SP0_c.t1
OG0000007	Np007G402900, Np001G003900	CP18_g11997_DN3_SP0_c.t1
OG0000007	Np005G307400	CP2_g50571_DN2_SP0_c.t1
OG0000007	Np003G129790, Np005G315800, Np003G152970	CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1
OG0000007	Np007G402890	CP1_g40635_DN2_SP0_c.t1, CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1, CP7_g45049_DN1_SP0_c.t1
OG0000007	Np003G126450	CP23_g21424_DN1_SP0_c.t1, CP15_g35529_DN1_SP0_c.t1
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	CP2_g50561_DN2_SP0_c.t1
OG0000007	Np006G356870	CP1_g40811_DN1_SP0_c.t1
OG0000008	Np005G291850	CP14_g23480_DN3_SP0_c.t1
