Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_NCBI
OG0000000	Np004G220190	XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1
OG0000005	Np006G356630	XP_020876464.1, XP_020881689.1
OG0000005	Np004G197000	XP_020882780.1
OG0000005	Np004G202160, Np002G098860, Np007G395340, Np004G197010, Np001G027520, Np006G359670, Np001G029160, Np001G037420, Np001G041480, Np003G174230, Np001G015150, Np001G036410, Np001G068320	XP_020876055.1, XP_020877155.1
OG0000005	Np003G170890, Np003G170800	XP_020885673.1
OG0000006	Np002G092120	XP_020870555.1, XP_020870157.1
OG0000006	Np005G313160	XP_020882643.1
OG0000007	Np005G307400	XP_020887823.1
OG0000008	Np002G096480	XP_020881833.1
OG0000008	Np001G053530	XP_020882645.1, XP_020879665.1, XP_020881700.1, XP_020879836.1, XP_020874196.1, XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020879646.1, XP_020872716.1
OG0000012	Np002G106990	XP_020885189.1
OG0000012	Np006G341500	XP_020874042.1
OG0000014	Np004G227310	XP_020874556.1
OG0000015	Np001G036120	XP_020865814.1
OG0000017	Np003G166290	XP_020879892.1, XP_020879506.1, XP_020887777.1
OG0000017	Np003G171300	XP_020876951.1
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000019	Np003G156030, Np004G211950	XP_020869090.1, XP_020878589.1
OG0000019	Np003G166760, Np002G106220	XP_020877201.1, XP_020872379.1, XP_020879405.1, XP_020871455.1
OG0000019	Np001G029890	XP_020881858.1
OG0000019	Np004G239770	XP_020866193.1, XP_020870462.1
OG0000019	Np007G405080, Np001G027610	XP_020875471.1, XP_020876980.1, XP_002888416.2
OG0000021	Np005G303890	XP_020881895.1
OG0000021	Np004G199140	XP_020889841.1
OG0000021	Np007G402490, Np003G147560	XP_020883515.1
OG0000023	Np003G180610	XP_020878438.1
