Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000000	Np010G434710	Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060
OG0000002	Np002G103600, Np002G105770, Np011G436400, Np008G426050	Ag005G410720
OG0000002	Np006G346800, Np002G102950	Ag005G437270, Ag005G410710
OG0000003	Np008G429060, Np001G031010, Np002G099380	Ag007G617260
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	Ag007G591720
OG0000003	Np009G429910, Np003G170050	Ag004G365940
OG0000003	Np006G346690	Ag001G046010
OG0000003	Np003G172700, Np003G170760	Ag007G647490
OG0000004	Np002G096870	Ag004G314450
OG0000004	Np006G348510	Ag005G427550
OG0000004	Np005G308780, Np001G054660, Np006G322460, Np007G418310	Ag006G503330
OG0000005	Np002G080500	Ag005G473830, Ag001G076570
OG0000005	Np001G041490, Np001G029140, Np001G037430, Np003G173650, Np002G091710, Np006G356630, Np002G074400	Ag005G452100
OG0000005	Np003G166380	Ag005G434290
OG0000005	Np004G203550, Np005G265280	Ag006G527380
OG0000005	Np006G352060	Ag003G254650
OG0000005	Np002G098830	Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920
OG0000005	Np003G170890, Np003G170800	Ag004G390840, Ag004G351220, Ag006G508910
OG0000005	Np003G175080, Np002G106360	Ag003G238120
OG0000007	Np007G402900, Np001G003900	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540
OG0000007	Np005G307400	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220
OG0000007	Np003G129790, Np005G315800, Np003G152970	Ag003G269320
OG0000007	Np007G402890	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	Ag006G520850, Ag003G220210
OG0000007	Np006G356870	Ag004G330770, Ag002G136200, Ag001G003030
OG0000008	Np001G053530	Ag005G430580, Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500, Ag004G382010, Ag007G618910, Ag002G172940, Ag001G015890
OG0000011	Np001G009230, Np006G351190	Ag008G699310
OG0000011	Np002G079770, Np008G427680	Ag002G108600
OG0000012	Np005G284530	Ag005G452520
OG0000012	Np006G343630, Np002G100520	Ag007G638410
OG0000012	Np003G169510, Np006G350820, Np007G404020, Np004G218280	Ag007G621260, Ag005G417190
OG0000012	Np006G341490	Ag004G367750
OG0000013	Np005G297160	Ag006G559810
OG0000013	Np002G102600, Np003G173130	Ag004G396400, Ag004G380450
OG0000013	Np004G228920	Ag001G041140
OG0000014	Np001G042570, Np002G073300	Ag008G691080, Ag003G252810
OG0000014	Np004G227310	Ag001G020750
OG0000015	Np005G274380	Ag008G676660
OG0000015	Np008G427030	Ag008G687430
OG0000017	Np003G166290	Ag002G124100, Ag004G375560, Ag001G050140
OG0000019	Np001G027630	Ag006G545360
OG0000019	Np001G027620	Ag003G263160, Ag006G497030
OG0000019	Np001G029890	Ag007G613770, Ag002G147220, Ag003G285010
OG0000019	Np004G239770, Np007G405080, Np001G027610	Ag007G642200, Ag006G545350
OG0000020	Np002G099760, Np002G102400, Np005G303330, Np004G208430, Np004G208440, Np005G303320, Np006G361160	Ag005G440730
OG0000021	Np005G303890	Ag008G685590
OG0000021	Np004G199140	Ag008G663740, Ag002G135150, Ag005G443540
OG0000021	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260	Ag002G201670
OG0000023	Np003G180610, Np005G283850, Np005G283730	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	Np003G180640	Ag002G145570, Ag002G145600
OG0000023	Np005G284120	Ag006G547270
OG0000023	Np005G284010	Ag006G549060, Ag006G543820
OG0000024	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280	Ag004G351930, Ag005G445160
OG0000024	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770	Ag003G257540
OG0000025	Np003G164310, Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	Ag003G230310
OG0000026	Np003G172690	Ag013G741580
OG0000027	Np002G093210	Ag005G463660
OG0000028	Np003G170790, Np003G189760, Np004G207130, Np006G356860, Np002G105400, Np003G145220, Np003G175090	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	Ag006G523440, Ag006G532500, Ag004G401820
OG0000029	Np002G073630	Ag002G114660
OG0000029	Np001G030650, Np001G034960, Np004G225420	Ag005G441680, Ag006G519730
OG0000029	Np001G003630, Np001G034950	Ag001G067390
OG0000029	Np002G113330, Np005G304980	Ag002G186330, Ag006G491400
OG0000029	Np003G172510	Ag003G258710
OG0000030	Np006G330890	Ag001G021090, Ag003G292130, Ag005G430740, Ag003G292140
OG0000031	Np004G244900	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	Np005G318980	Ag002G111150, Ag002G107580
OG0000033	Np005G284050, Np005G284060	Ag006G547230, Ag006G549390
OG0000033	Np005G284130	Ag006G547260, Ag006G549410
OG0000033	Np005G283960, Np005G284080	Ag006G543630, Ag006G543880
OG0000033	Np005G283820	Ag006G548990
OG0000033	Np005G284160	Ag006G547380, Ag006G549570
OG0000034	Np006G350340	Ag004G354480
OG0000034	Np002G102640, Np002G107950	Ag006G548030
OG0000034	Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530	Ag002G114610
OG0000034	Np006G341510	Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310
OG0000035	Np002G092640	Ag006G499210
OG0000035	Np006G356560	Ag005G405240, Ag002G183820
OG0000035	Np005G313520	Ag005G463540, Ag005G463520, Ag005G463530, Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	Np005G260660	Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000038	Np004G226960, Np002G071800, Np001G060270, Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	Np007G415720	Ag006G511550, Ag006G511600
OG0000038	Np006G322550	Ag002G128180
OG0000038	Np005G270740, Np005G270650, Np005G270700	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	Np005G318000	Ag004G312700
OG0000039	Np002G110420, Np004G205120	Ag004G347330, Ag007G622120
OG0000039	Np002G106970	Ag005G448620, Ag004G337020
OG0000040	Np001G009070	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
