Orthogroup	Noccaea_praecox	Odontarrhena_muralis
OG0000000	Np007G401540, Np010G434720, Np005G295050	Om007G305590
OG0000000	Np004G209310, Np005G297590, Np007G399430	Om008G349060
OG0000000	Np005G293490	Om007G313100
OG0000000	Np005G303490, Np007G403630, Np002G098520, Np005G296390	Om004G155360, Om001G016100, Om008G346050, Om007G315370, Om008G345840, Om005G216480, Om008G360230, Om002G080940, Om011G365800
OG0000000	Np005G293500	Om008G350840
OG0000000	Np003G167670, Np002G107260, Np004G207890	Om004G142780, Om003G104870, Om003G105610
OG0000002	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920	Om002G054700
OG0000002	Np008G427570, Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560	Om007G309520, Om002G043270
OG0000002	Np007G405440	Om004G152900
OG0000002	Np006G346800, Np002G102950	Om005G222520, Om004G148400, Om001G016090
OG0000003	Np001G048710, Np006G360670	Om007G276690
OG0000003	Np008G429060, Np001G031010, Np002G099380	Om004G173160
OG0000003	Np005G296640, Np003G168980	Om002G078910, Om007G310130
OG0000003	Np003G172820	Om003G107890, Om007G304830
OG0000003	Np006G345580, Np005G294070	Om006G262980
OG0000003	Np009G429960, Np003G168500	Om005G217810, Om005G210700
OG0000003	Np006G346690	Om008G345700
OG0000003	Np003G170760	Om005G217790
OG0000004	Np002G100200	Om008G333050
OG0000004	Np002G096870	Om007G317080, Om007G314040, Om006G243290, Om001G014830
OG0000004	Np006G348510	Om004G151610, Om003G106990
OG0000004	Np003G181890, Np006G322390, Np003G175180, Np001G023660, Np002G091360, Np003G151570, Np003G164930, Np001G040440, Np005G318460, Np001G046240, Np001G038320, Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650, Np005G318450	Om004G159780
OG0000004	Np005G308780, Np001G054660	Om008G320930
OG0000005	Np002G080500	Om005G219680, Om008G356930, Om004G145060
OG0000005	Np004G197000	Om001G028590, Om007G295980
OG0000005	Np003G166380	Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900
OG0000005	Np003G178290, Np001G012920	Om007G300980, Om001G001060, Om006G273080
OG0000005	Np002G098860	Om003G112550
OG0000005	Np001G027520	Om004G141520
OG0000005	Np006G359670	Om007G300990
OG0000005	Np001G029160, Np001G037420	Om008G339980
OG0000005	Np004G203550, Np005G265280	Om007G282810
OG0000005	Np002G098830	Om003G112530, Om008G348300
OG0000005	Np002G093480	Om003G121930
OG0000005	Np001G012890, Np001G012870, Np001G029170	Om002G076060
OG0000005	Np008G427710	Om004G151870, Om002G089170, Om004G141530
OG0000005	Np003G170890, Np003G170800	Om007G307980
OG0000005	Np006G355750, Np002G110360	Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940
OG0000007	Np007G402900, Np001G003900	Om006G253570, Om001G035080, Om001G019950, Om007G300730
OG0000007	Np005G307400	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480
OG0000007	Np003G129790, Np005G315800, Np003G152970	Om001G019860
OG0000007	Np003G126450	Om007G283730
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	Om007G297600
OG0000007	Np006G356870	Om006G268360, Om002G076040
OG0000008	Np002G102670, Np005G307780, Np002G103180	Om007G284450, Om008G361640, Om007G313430
