Orthogroup	Noccaea_praecox	Camelina_sativa
OG0000000	Np004G209310, Np005G297590, Np007G399430	XP_010445376.1
OG0000000	Np004G220190	XP_010424301.1
OG0000000	Np005G293490	XP_010507177.1, XP_010495973.1, XP_010507007.1, XP_010418888.1, XP_010474178.1, XP_010480743.1, XP_010470702.1, XP_019100923.1, XP_010424969.1, XP_010456912.1, XP_010451293.2, XP_010430704.1, XP_019082581.1
OG0000000	Np004G207890	XP_019096757.1
OG0000002	Np001G043410, Np002G102940	XP_010507127.1
OG0000002	Np001G043030	XP_010513345.1
OG0000002	Np005G296560	XP_010457030.1, XP_010420641.1, XP_019091135.1
OG0000002	Np001G043040	XP_019100799.1, XP_010431635.1, XP_019101801.1
OG0000002	Np007G405440	XP_010451602.1, XP_010468898.1, XP_010495427.1, XP_010480610.1, XP_019089215.1, XP_010451170.2, XP_010451603.1, XP_010424741.1, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010480911.1, XP_010424499.1, XP_019089153.1, XP_019085481.1, XP_019089100.1, XP_010451318.1, XP_010451667.1
OG0000002	Np006G346800, Np002G102950, Np009G429290, Np003G170530, Np002G092490, Np002G105660	XP_010468482.1, XP_010419143.1, XP_010430672.1, XP_010424375.1, XP_019092262.1, XP_010431341.1
OG0000003	Np006G360670	XP_010412456.1
OG0000003	Np005G296980	XP_010467548.1
OG0000003	Np008G429060, Np001G031010, Np002G099380	XP_010468230.1
OG0000003	Np001G029010	XP_010456694.1
OG0000003	Np001G048700	XP_010484739.1
OG0000003	Np007G402470	XP_010445304.1
OG0000003	Np003G170050	XP_019098958.1
OG0000003	Np003G172810	XP_019086518.1, XP_019094534.1
OG0000003	Np006G346690	XP_010451581.1
OG0000003	Np003G170760	XP_010485042.1
OG0000004	Np002G100200	XP_010495244.1, XP_010495165.1
OG0000004	Np002G096870	XP_010474601.1, XP_019095662.1
OG0000004	Np002G110370	XP_010425346.1, XP_010490159.1, XP_010419021.1
OG0000004	Np006G348510	XP_010451888.1, XP_019085420.1, XP_010431327.1, XP_010436659.1
OG0000004	Np005G318460	XP_019087479.1, XP_010512944.1, XP_019099570.1
OG0000004	Np005G308780, Np001G054660	XP_019087439.1, XP_010456766.1, XP_019092328.1, XP_010424493.1
OG0000005	Np006G356630	XP_010456726.1, XP_010473781.1, XP_019093287.1, XP_010507310.1, XP_010506896.1, XP_010495420.1
OG0000005	Np004G197000	XP_019096542.1
OG0000005	Np003G166380	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_019091186.1, XP_010412434.1, XP_010506918.1, XP_019092367.1, XP_010419080.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010495742.1, XP_010468814.1, XP_010436406.1, XP_010468349.1, XP_010431090.1
OG0000005	Np007G395340	XP_010481118.1
OG0000005	Np001G027520	XP_010445339.1, XP_010474119.1, XP_010419407.1, XP_019089129.1
OG0000005	Np001G068320	XP_010424774.1, XP_019085342.1
OG0000005	Np004G203550, Np005G265280	XP_010424733.1, XP_010446224.1, XP_019101780.1, XP_019085473.1
OG0000005	Np002G088460	XP_010474618.1, XP_019096503.1, XP_010451507.1, XP_019085410.1, XP_010451521.1, XP_010456831.1, XP_010506895.1, XP_010490116.1
OG0000005	Np003G170890, Np003G170800	XP_010484733.1, XP_010507009.1
OG0000006	Np005G313160	XP_010495651.1, XP_010431602.1, XP_010431016.1, XP_010451880.1, XP_010485068.1, XP_010511600.1, XP_019087423.1, XP_010500080.1, XP_010507587.1, XP_010507307.1, XP_010462805.1, XP_019087471.1, XP_019096427.1, XP_010485281.1, XP_010481225.1, XP_010469447.1, XP_019087477.1, XP_010478058.1, XP_010436672.1, XP_010421049.1
OG0000006	Np008G427000	XP_019100941.1, XP_010435400.1, XP_010436667.1, XP_010479585.2, XP_019099475.1, XP_019084626.1, XP_010496706.1
OG0000007	Np007G402890	XP_010419175.1, XP_019084422.1, XP_010456795.1, XP_010451787.1
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	XP_010472440.1, XP_010474031.1, XP_019099588.1, XP_019084310.1, XP_010451797.1, XP_010472251.1
OG0000007	Np006G356870	XP_019101891.1
OG0000008	Np005G291850	XP_010490195.1
OG0000008	Np004G226760	XP_010412531.1, XP_010494551.1
OG0000008	Np002G102670	XP_010419054.1, XP_019093233.1, XP_010468775.1
OG0000008	Np005G307780, Np002G103180	XP_010456611.1, XP_010468583.2, XP_010469634.1, XP_019100889.1
OG0000008	Np002G096480	XP_010445463.1, XP_010480870.1, XP_010445485.1
