Orthogroup	Noccaea_praecox	Arabidopsis_thaliana
OG0000005	Np004G197000	AT4G09490.1
OG0000006	Np005G313160	AT2G13770.1
OG0000008	Np004G226760	AT5G28780.1
OG0000008	Np001G053530	AT3G51700.1, AT3G51690.1
OG0000011	Np001G009230, Np006G351190	AT4G08270.1, AT5G52547.1
OG0000013	Np005G297160, Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140	AT2G06105.1
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	AT1G52950.1
OG0000019	Np003G156030, Np004G211950	AT1G18050.1
OG0000019	Np001G031440, Np004G225560, Np001G029890, Np004G239770, Np007G405080, Np001G027610	AT5G15685.1
OG0000021	Np005G303890	AT1G40390.1, AT1G43760.1
OG0000023	Np003G180610	AT4G11460.1
OG0000023	Np005G283730	AT4G23250.2
OG0000023	Np005G283900	AT4G23200.1
OG0000023	Np005G284120	AT4G23220.1
OG0000023	Np005G283870	AT4G23210.3
OG0000024	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770	AT2G09388.1
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	AT5G54450.1
OG0000027	Np001G057950, Np001G057940	AT3G57580.1, AT3G56890.1, AT3G57590.1
OG0000031	Np004G244900	AT1G12700.2, AT1G12620.1, AT3G22470.1, AT1G12300.1, AT1G12775.1
OG0000031	Np005G318980	AT5G41170.1
OG0000033	Np005G284050, Np005G284060	AT4G23180.1
OG0000033	Np005G283960, Np005G284080	AT4G23230.1, AT4G23140.2
OG0000035	Np002G092640, Np006G364470	AT3G49440.1
OG0000035	Np006G356560	AT5G65850.1
OG0000035	Np005G313520	AT3G61340.2
OG0000038	Np003G157800	AT5G52460.1
OG0000038	Np005G270740, Np005G270650, Np005G270700	AT1G05080.1
OG0000040	Np001G009070	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1
OG0000040	Np004G224970, Np004G224940	AT3G14030.1
OG0000040	Np007G407000	AT3G13680.1
OG0000042	Np006G335330, Np006G369470	AT1G33710.1
OG0000042	Np004G191660	AT1G50080.1, AT2G19146.1
OG0000046	Np005G314650	AT5G39020.1, AT5G39030.1
OG0000046	Np005G313240	AT5G38260.1
OG0000046	Np005G292150	AT4G18250.1
OG0000046	Np005G313330	AT5G38280.2
OG0000048	Np007G421470	AT3G03850.1
OG0000052	Np002G116290, Np002G116590, Np002G116810	AT2G42455.1
OG0000052	Np003G173020	AT2G42480.1
OG0000054	Np004G255790	AT3G30739.1
OG0000054	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850	AT3G30730.2
