Orthogroup	Noccaea_praecox	Capsella_rubella
OG0000000	Np007G401540, Np010G434720	XP_023638874.1
OG0000000	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430	XP_023632701.1
OG0000000	Np005G293490	XP_023633832.1
OG0000002	Np008G427570, Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560	XP_023638855.1
OG0000003	Np005G296980, Np008G429060, Np001G031010, Np002G099380	XP_023639625.1
OG0000003	Np001G029010	XP_023643366.1
OG0000003	Np007G402470	XP_023638126.1
OG0000003	Np006G346690	XP_023643044.1
OG0000004	Np002G100200	XP_023632892.1, XP_023635799.1
OG0000004	Np005G308780, Np001G054660	XP_023643231.1
OG0000005	Np006G356630	XP_006292284.1
OG0000005	Np001G027520	XP_023641325.1
OG0000005	Np008G427710	XP_023640809.1
OG0000006	Np005G313160	XP_023640317.1, XP_023635150.1, XP_023634518.1, XP_023644453.1
OG0000006	Np008G427000	XP_023635039.1
OG0000007	Np006G356870	XP_023637681.1
OG0000008	Np002G102670	XP_023641963.1
OG0000008	Np005G307780, Np002G103180	XP_023633343.1, XP_006303816.2, XP_023644880.1
OG0000008	Np007G406420	XP_006299996.2
OG0000008	Np001G053530	XP_023633344.1, XP_023638567.1, XP_023633352.1
OG0000010	Np006G346340, Np001G030570, Np005G296780, Np005G297010, Np006G346440, Np006G348980, Np001G036300, Np006G354450	XP_023634279.1, XP_023638462.1
OG0000010	Np002G095240	XP_023636068.1
OG0000011	Np001G009230, Np006G351190	XP_023645773.1, XP_023636126.1
OG0000012	Np010G434900, Np004G239110	XP_023636237.1
OG0000013	Np004G228920	XP_023644225.1
OG0000014	Np001G042570, Np002G073300	XP_023638088.1, XP_023641911.1
OG0000015	Np008G427030	XP_023633382.1
OG0000017	Np003G166290	XP_023640323.1
OG0000017	Np003G171300	XP_023636109.1
OG0000017	Np005G282110, Np005G282180, Np007G396400	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1
OG0000018	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	XP_023641905.1, XP_023634354.1, XP_023638482.1
OG0000019	Np007G405080, Np001G027610	XP_023638956.1
OG0000020	Np005G303330, Np004G208430	XP_023632591.1
OG0000020	Np008G428370	XP_023634318.1
OG0000021	Np005G270390, Np007G393560	XP_023641338.1
OG0000023	Np005G283730	XP_006283253.1
OG0000023	Np005G284120	XP_006285954.1
OG0000023	Np005G284010	XP_006286185.1, XP_023634702.1
OG0000023	Np005G283870	XP_023634685.1
OG0000023	Np005G284070	XP_006282816.1
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	XP_023638107.1
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	XP_006285133.1, XP_006292343.1, XP_006291347.1
OG0000025	Np003G183240	XP_023633414.1
OG0000026	Np002G101380, Np004G216210	XP_023639056.1
OG0000026	Np003G172690	XP_023636110.1
OG0000026	Np003G171320	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1
OG0000026	Np006G365240	XP_023642430.1
OG0000027	Np004G214870, Np005G271730, Np004G214850	XP_023633039.1
OG0000027	Np004G215070	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000027	Np001G057950, Np001G057940	XP_023633004.1, XP_023639207.1
OG0000028	Np003G170790, Np003G189760, Np004G207130	XP_023640355.1
OG0000031	Np004G244900	XP_006306232.1, XP_006303621.1, XP_006303680.2, XP_006306401.2, XP_006303167.1
OG0000031	Np005G318980	XP_023635463.1
OG0000033	Np005G284050, Np005G284060	XP_006283285.1
OG0000033	Np005G284130	XP_023634692.1
OG0000033	Np005G283960, Np005G284080	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1
OG0000033	Np005G284140	XP_006283283.1
OG0000033	Np005G284150	XP_006284972.1
OG0000035	Np002G092640, Np006G364470	XP_023641959.1
OG0000035	Np006G356560	XP_023640388.1
OG0000035	Np005G313520	XP_023640514.1, XP_023632626.1, XP_023638840.1, XP_023638971.1
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	XP_006296301.2
OG0000038	Np007G415720	XP_023635765.1
OG0000038	Np003G157800	XP_023633418.1, XP_023633386.1
OG0000038	Np005G270740, Np005G270650, Np005G270700	XP_023633084.1
OG0000038	Np003G165810, Np005G318000	XP_023643361.1
OG0000039	Np002G110420, Np004G205120	XP_023644219.1
OG0000040	Np001G009070	XP_023632886.1, XP_023632793.1, XP_006303634.1
OG0000040	Np004G224970, Np004G224940	XP_006305030.1, XP_006299109.2
OG0000040	Np007G407000	XP_006298407.2
OG0000042	Np006G335330, Np006G369470	XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1
OG0000042	Np004G191660	XP_023640353.1
OG0000043	Np008G426930	XP_023634647.1
OG0000043	Np002G102430	XP_023640313.1, XP_023637997.1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1
OG0000045	Np002G098570, Np005G284990, Np007G389140	XP_023635342.1
OG0000046	Np005G314650	XP_006286236.1
OG0000046	Np005G313240	XP_006290703.1, XP_023638915.1
OG0000046	Np002G093730	XP_023644284.1
OG0000046	Np005G292150	XP_006286158.2
OG0000046	Np005G292140	XP_023635662.1
OG0000046	Np005G313330	XP_023638604.1, XP_023638598.1, XP_006290694.2
OG0000047	Np005G282680	XP_023645924.1
OG0000048	Np007G421470	XP_006296650.2
OG0000048	Np003G145420	XP_023636997.1
OG0000050	Np002G095340	XP_023634169.1
OG0000050	Np002G095350	XP_023633725.1
OG0000050	Np002G099150	XP_023633353.1
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	XP_006304062.1
OG0000052	Np003G173020	XP_023640424.1
OG0000053	Np001G008270, Np001G039230, Np003G166770	XP_006290464.1
OG0000055	Np001G046730	XP_006292456.1
OG0000055	Np002G119520, Np002G119220, Np002G119170	XP_023643438.1, XP_006301193.1, XP_006301052.1, XP_006301411.1, XP_006302254.2
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	XP_006290241.2, XP_023637455.1, XP_023644542.1
OG0000057	Np007G419120, Np007G419160, Np005G285180	XP_006286657.2
OG0000057	Np007G375320	XP_023642764.1, XP_023641561.1
OG0000057	Np007G398210, Np010G435080, Np007G401600	XP_023643291.1
OG0000057	Np006G333600, Np006G333860, Np003G187520	XP_006300113.1, XP_006299228.1
OG0000058	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	XP_023643276.1
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	XP_023637566.1, XP_023637460.1
OG0000059	Np005G284980, Np007G388310	XP_023638041.1
OG0000062	Np004G215200, Np004G229630	XP_023645325.1
OG0000064	Np005G260880	XP_023634774.1
OG0000066	Np005G262320	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2
OG0000066	Np003G136710	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000068	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070	XP_023640381.1
OG0000070	Np007G399950	XP_023639630.1
OG0000071	Np001G008970, Np006G370520, Np003G157740	XP_006301047.2
OG0000071	Np005G271980, Np004G200680, Np006G328540, Np001G013290	XP_023646042.1, XP_023644298.1
OG0000071	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	XP_023643263.1
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	XP_023643495.1, XP_023633300.1, XP_023634490.1, XP_023637389.1, XP_023634624.1, XP_023641886.1, XP_023633619.1, XP_023633613.1
OG0000072	Np001G034150	XP_023644486.1, XP_023637552.1
OG0000074	Np004G229890	XP_023632781.1
OG0000074	Np004G230030	XP_006306553.1, XP_006304377.2
OG0000074	Np003G180910, Np003G184200	XP_006296266.1, XP_006306462.1
OG0000075	Np003G136640	XP_006287874.1, XP_006296766.1
OG0000075	Np007G378600	XP_023633371.1, XP_006279039.2, XP_006305093.1
OG0000076	Np002G083960	XP_023638292.1
OG0000076	Np007G423950	XP_023638056.1, XP_023639204.1
OG0000076	Np001G021860	XP_023639245.1, XP_023639087.1
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	XP_006286716.1
OG0000077	Np007G386290	XP_023635517.1
