Orthogroup	Noccaea_praecox	Eutrema_salsugineum
OG0000000	Np005G293490	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024009247.1, XP_024014224.1, XP_024014847.1, XP_024016570.1
OG0000000	Np007G396780	XP_024010601.1
OG0000002	Np008G427560	XP_024006551.1
OG0000002	Np002G102960	XP_024009464.1, XP_024006130.1, XP_024014521.1
OG0000002	Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030	XP_024013349.1, XP_024007240.1
OG0000002	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920	XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1, XP_024015242.1, XP_024014055.1, XP_024010428.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024013910.1, XP_024005018.1, XP_024015965.1, XP_024004035.1, XP_024014994.1, XP_024011225.1, XP_024015835.1, XP_024009787.1, XP_024010274.1, XP_024014545.1, XP_024015894.1, XP_024010275.1, XP_024010359.1, XP_024004942.1, XP_024014437.1, XP_024014547.1, XP_024016288.1, XP_024013299.1, XP_024013567.1, XP_024010360.1, XP_024016271.1, XP_024015836.1, XP_024016289.1, XP_024016302.1
OG0000002	Np007G405440	XP_024010604.1, XP_024009251.1, XP_024009451.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024011258.1, XP_024016116.1, XP_024010553.1, XP_024013954.1, XP_024013993.1, XP_024016193.1, XP_024013210.1, XP_024015869.1, XP_024009904.1, XP_024010307.1, XP_024015923.1, XP_024013058.1
OG0000002	Np009G429290	XP_024009486.1
OG0000003	Np005G296980	XP_024010582.1, XP_024013222.1, XP_024009444.1, XP_024007247.1
OG0000003	Np008G429060, Np001G031010, Np002G099380	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1
OG0000003	Np001G029010	XP_024006599.1, XP_024006505.1, XP_024016350.1
OG0000003	Np001G030960	XP_024016833.1
OG0000003	Np005G296640, Np003G168980	XP_024009771.1
OG0000003	Np006G345580, Np005G294070	XP_024014001.1
OG0000003	Np009G429960, Np003G168500	XP_024015845.1
OG0000003	Np003G170050	XP_024010571.1, XP_024010572.1
OG0000003	Np003G172810	XP_024010454.1, XP_024010649.1, XP_024013240.1
OG0000003	Np006G346690	XP_024016373.1
OG0000003	Np003G170760	XP_024009493.1
OG0000004	Np002G100200	XP_024014707.1
OG0000004	Np002G110370	XP_024013148.1
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	XP_024016341.1, XP_024015975.1, XP_024008064.1, XP_024010299.1, XP_024010421.1, XP_024015192.1, XP_024014000.1, XP_024010207.1, XP_024004991.1, XP_024013215.1, XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024008027.1, XP_024013218.1, XP_024015971.1
OG0000005	Np006G356630	XP_024007257.1, XP_024009950.1
OG0000005	Np004G202160, Np002G098860, Np007G395340	XP_024010394.1
OG0000005	Np004G197010	XP_024015914.1
OG0000005	Np004G203550, Np005G265280	XP_006404467.1
OG0000005	Np001G012890, Np001G012870	XP_024016213.1
OG0000005	Np008G427710	XP_024014912.1
OG0000006	Np003G145740	XP_006397474.2, XP_024011387.1, XP_024004398.1, XP_024013912.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004074.1, XP_024004856.1, XP_024014006.1, XP_024004157.1, XP_024012322.1, XP_024009190.1, XP_024015267.1, XP_024012910.1
OG0000006	Np005G313160	XP_024007990.1, XP_024006104.1, XP_024004744.1, XP_024013221.1, XP_024016233.1, XP_024015025.1, XP_024013606.1, XP_024004172.1, XP_024004112.1, XP_024005863.1, XP_024004241.1, XP_024009670.1, XP_024010456.1, XP_024011309.1, XP_024009204.1, XP_024014376.1, XP_024007289.1, XP_024006867.1, XP_024006428.1, XP_024014517.1, XP_024016334.1, XP_024006841.1, XP_024006492.1, XP_024006274.1, XP_024008018.1, XP_024010318.1, XP_024013856.1, XP_024014636.1, XP_024004058.1, XP_024010431.1, XP_024010848.1, XP_024004788.1, XP_024012279.1, XP_024004851.1, XP_024009378.1, XP_024009383.1
OG0000008	Np002G096480	XP_024007971.1
OG0000008	Np001G053530	XP_024010377.1, XP_024010217.1, XP_024013173.1
OG0000010	Np002G095240	XP_024015955.1
OG0000010	Np004G221660	XP_024006470.1
OG0000011	Np001G009230, Np006G351190	XP_024009191.1, XP_024007975.1, XP_024004037.1, XP_024013982.1, XP_024016238.1, XP_024014463.1, XP_024004034.1, XP_024014215.1
OG0000011	Np003G163940	XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1
OG0000011	Np003G127440, Np003G182970	XP_024013555.1, XP_024014250.1, XP_024004056.1, XP_024015282.1, XP_024005228.1, XP_024013668.1, XP_024011270.1, XP_024011250.1, XP_024016577.1, XP_024006682.1, XP_024010432.1, XP_024013382.1, XP_024016101.1, XP_024008037.1, XP_024016298.1, XP_024004043.1, XP_024006510.1, XP_024013925.1
OG0000011	Np002G079770, Np008G427680	XP_024013917.1, XP_024008814.1, XP_024007930.1, XP_024006802.1, XP_024014194.1, XP_024013859.1, XP_024013409.1, XP_024006835.1, XP_024005940.1, XP_024006093.1, XP_024004410.1, XP_024009931.1, XP_024006552.1
OG0000012	Np006G343630, Np002G100520	XP_024016167.1
OG0000012	Np006G352650, Np007G403470, Np005G318540, Np002G106560	XP_024013199.1
OG0000012	Np003G171230	XP_024007961.1, XP_024014546.1, XP_024010549.1, XP_024015958.1
OG0000012	Np002G117990	XP_024009473.1
OG0000012	Np002G100750, Np002G095110, Np002G111240, Np002G106990	XP_024004033.1
OG0000012	Np002G110330	XP_024016113.1
OG0000012	Np006G341500	XP_024013159.1, XP_024015863.1, XP_024015862.1, XP_024010078.1, XP_024016374.1
OG0000013	Np005G297160	XP_024013108.1, XP_024013090.1
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160	XP_024010313.1
OG0000013	Np002G102600, Np003G173130	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
OG0000014	Np001G042570, Np002G073300	XP_024004756.1, XP_024008105.1, XP_024004927.1, XP_024004144.1, XP_024009440.1, XP_024016292.1, XP_024004802.1, XP_024006141.1, XP_024010303.1, XP_024004054.1, XP_024011308.1, XP_024007677.1, XP_024016530.1, XP_024006432.1, XP_024013961.1, XP_024006397.1
OG0000014	Np004G227310	XP_024013371.1, XP_024016228.1
OG0000015	Np005G274380	XP_024006904.1
OG0000015	Np008G427030	XP_024009420.1
OG0000015	Np007G416100	XP_024014590.1
OG0000015	Np001G029500	XP_024006143.1
OG0000017	Np003G166290	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1
OG0000017	Np003G171300	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1
OG0000019	Np003G156030, Np004G211950	XP_024003642.1
OG0000019	Np001G027630	XP_024016548.1, XP_024004876.1, XP_024003759.1
OG0000019	Np003G166760, Np002G106220	XP_024010115.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024016207.1, XP_024004800.1, XP_024016569.1
OG0000019	Np007G405080, Np001G027610	XP_024004844.1, XP_024004832.1, XP_024012731.1
OG0000020	Np008G428370	XP_024005014.1
OG0000020	Np004G226750	XP_024007954.1
OG0000021	Np005G303890	XP_024006573.1, XP_024005010.1, XP_024015179.1, XP_024016553.1
OG0000021	Np004G199130	XP_024004985.1
OG0000021	Np004G199140	XP_024009427.1, XP_024004072.1, XP_024006452.1, XP_024010290.1, XP_024004813.1, XP_024004020.1
OG0000021	Np007G402490, Np003G147560	XP_024013347.1
OG0000023	Np003G180610	XP_024009837.1
OG0000023	Np005G283730	XP_006413557.1
OG0000023	Np003G180640	XP_006396897.2
OG0000023	Np005G284120	XP_006413569.1
OG0000023	Np005G284070	XP_006413573.1
OG0000024	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280	XP_024009296.1
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	XP_006411607.2
OG0000026	Np002G101380, Np004G216210	XP_024014744.1
