Orthogroup	Noccaea_praecox	Arabidopsis_arenosa
OG0000000	Np003G167670, Np002G107260, Np004G207890	jg1749
OG0000002	Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030	jg27118
OG0000002	Np002G103600, Np002G105770, Np011G436400, Np008G426050	jg11830
OG0000002	Np007G405440	jg1783
OG0000003	Np003G170760	jg11918
OG0000005	Np002G080500	jg12267, jg12278
OG0000005	Np002G098860	jg28095
OG0000005	Np007G395340	jg17698
OG0000005	Np004G203550, Np005G265280	jg1846, jg6872, jg23533
OG0000005	Np006G352060	jg13854
OG0000005	Np002G098830	jg1845
OG0000005	Np002G088460	jg11603
OG0000005	Np001G012890, Np001G012870	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113
OG0000005	Np001G029170	jg21920
OG0000005	Np008G427710	jg27468
OG0000007	Np005G307400	jg7091
OG0000007	Np007G402890	jg6465
OG0000008	Np001G053530	jg15069, jg15062, jg15057, jg15054
OG0000011	Np001G009230, Np006G351190	jg27080, jg13807
OG0000012	Np005G284530	jg26919
OG0000012	Np006G343630, Np002G100520	jg12454, jg31920
OG0000012	Np003G169510, Np006G350820	jg1757, jg32331
OG0000012	Np006G352650	jg27300
OG0000013	Np005G297160	jg1575
OG0000014	Np001G042570, Np002G073300	jg16959
OG0000015	Np005G274380	jg11869
OG0000017	Np003G166290	jg6965
OG0000017	Np003G171300	jg6883
OG0000017	Np005G282110, Np005G282180, Np007G396400	jg6884
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	jg4400, jg32393, jg11989, jg32560, jg26774
OG0000019	Np003G156030, Np004G211950	jg26287
OG0000019	Np001G027630	jg13840
OG0000019	Np003G166760, Np002G106220	jg13838, jg27639, jg22122, jg16702
OG0000019	Np001G027620	jg13839
OG0000020	Np005G303330, Np004G208430	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520
OG0000020	Np004G226750	jg27186
