Orthogroup	Noccaea_praecox	Erysimum_linariifolium
OG0000000	Np003G178670	El001G044720, El001G051780
OG0000002	Np003G178530, Np001G043410, Np002G102940, Np001G043030	El004G208640
OG0000002	Np005G296560	El002G130320
OG0000002	Np002G105660	El001G039400
OG0000003	Np006G360670	El007G351530
OG0000003	Np007G402470	El006G306960
OG0000004	Np002G100200	El002G127280
OG0000004	Np002G110370	El001G079820
OG0000004	Np003G181890, Np006G322390, Np003G175180, Np001G023660, Np002G091360, Np003G151570, Np003G164930, Np001G040440, Np005G318460, Np001G046240, Np001G038320	El005G268230
OG0000004	Np005G318450	El006G321800
OG0000005	Np002G080500	El001G038630
OG0000005	Np004G197000	El003G166140, El001G039730
OG0000005	Np001G027520	El002G135600
OG0000005	Np006G359670	El003G186250, El001G082120
OG0000005	Np001G068320	El002G096830
OG0000005	Np004G203550, Np005G265280	El003G167150
OG0000005	Np006G352060	El004G214890
OG0000005	Np002G098830	El002G120930, El007G348880
OG0000005	Np001G012890, Np001G012870	El002G122720
OG0000005	Np001G029170	El007G349440, El001G070000
OG0000005	Np008G427710	El006G313170
OG0000006	Np002G092120	El004G209180
OG0000006	Np003G145740	El006G316810
OG0000007	Np006G357400, Np005G299740	El006G311470
OG0000007	Np007G402900, Np001G003900	El007G349510
OG0000007	Np007G402890	El007G352010, El006G311480
OG0000007	Np004G201210, Np004G226300, Np002G092690, Np001G031480	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	Np006G356870	El002G114670
OG0000008	Np007G406420	El003G167760
OG0000008	Np001G053530	El001G021990, El001G021710, El003G174670
OG0000011	Np001G009230, Np006G351190	El004G200940
OG0000011	Np003G163940	El002G121150
OG0000012	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280	El002G120760
OG0000013	Np005G297160	El006G310100
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140	El001G045710
OG0000014	Np001G042570, Np002G073300	El005G242270, El006G319390, El001G002640
OG0000014	Np003G187370, Np011G435870	El003G178520
OG0000014	Np002G097020	El004G198920
OG0000015	Np005G274380, Np007G402630, Np008G427030	El060G376140, El053G375740
OG0000015	Np001G029500	El001G047930
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	El003G154150, El006G318220, El001G007900, El001G053230
OG0000018	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830
OG0000019	Np003G156030, Np004G211950	El004G213790
OG0000019	Np001G027620	El007G351400
OG0000020	Np002G102400	El003G191190
OG0000020	Np005G303330, Np004G208430	El002G120700, El006G296260
OG0000021	Np004G199130	El007G346120
OG0000021	Np004G199140	El006G317330, El001G037390, El001G064400, El001G063330, El006G289540, El002G141120, El001G032740
OG0000021	Np007G402490, Np003G147560, Np002G120150	El005G277430, El007G325630
OG0000021	Np002G109960, Np003G148260	El001G045050
OG0000023	Np005G284120	El003G162170
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	El007G351440, El002G140900
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	El007G342330, El007G342400, El007G342390, El007G340950
OG0000025	Np003G183240	El003G176780, El001G014170
OG0000026	Np002G101380, Np004G216210	El003G164110, El005G264370, El003G183480
OG0000027	Np004G214870, Np005G271730, Np004G214850	El002G117730
OG0000027	Np004G215070	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820
OG0000027	Np001G057950, Np001G057940	El001G029050, El001G025570
OG0000028	Np003G168060	El007G351990
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	El006G302870, El002G125750, El008G368530
OG0000029	Np001G034960, Np004G225420	El008G371400, El008G371420, El008G371370, El008G371360
OG0000029	Np003G172500	El001G046730
OG0000029	Np004G242790, Np003G126680	El007G356090
OG0000029	Np003G172510	El006G307470
OG0000030	Np004G229860	El008G371380, El007G349640
OG0000030	Np006G330890	El003G178390, El003G178450, El004G207450, El004G207460, El002G136200
OG0000031	Np004G244900	El002G096110, El002G096100
OG0000031	Np005G318980	El003G192370
OG0000033	Np005G284050, Np005G284060	El003G162140, El003G162150
OG0000033	Np005G284130	El003G162160
OG0000033	Np005G283960, Np005G284080	El003G192480
OG0000033	Np005G284140	El003G162180
OG0000034	Np007G403460	El001G054700
OG0000034	Np001G040260, Np002G107010	El003G154390, El001G040620, El004G214030
OG0000034	Np006G350340	El005G264310, El005G268870
OG0000034	Np006G341510	El003G149900, El001G048010
OG0000035	Np005G313520	El006G299540, El001G033250, El001G033240, El001G033230
OG0000036	Np006G350450	El006G309110
OG0000037	Np001G045190	El001G053830
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	El006G281890, El006G282510
OG0000038	Np003G157800	El007G341120
OG0000038	Np005G318000	El006G282520
OG0000039	Np005G289260, Np005G309180, Np003G166870, Np003G169960	El001G017740, El007G346690
OG0000039	Np002G100620, Np005G297660, Np009G432470	El004G212610
OG0000040	Np001G009070	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320
OG0000040	Np004G224970, Np004G224940	El005G250150
OG0000040	Np007G407000	El005G250180
OG0000041	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060
OG0000042	Np002G085480, Np007G420820	El003G192700
OG0000042	Np001G027800	El006G312080, El006G306460, El002G113220
