Orthogroup	Noccaea_praecox	Brassica_rapa
OG0000000	Np007G401540, Np010G434720	XP_033129333.1
OG0000000	Np005G293490	XP_033131609.1
OG0000000	Np007G396780	XP_033147468.1
OG0000000	Np003G167670, Np002G107260, Np004G207890	XP_033146645.1
OG0000002	Np007G405440	XP_033148513.1
OG0000003	Np005G296980	XP_033138856.1
OG0000003	Np001G030960	XP_033145199.1, XP_033139537.1
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	XP_009113007.1
OG0000003	Np003G170760	XP_033139261.1
OG0000004	Np002G100200	XP_009124577.2
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	XP_033142250.1
OG0000004	Np006G322460, Np007G418310	XP_033148785.1, XP_033147600.1, XP_033145007.1, XP_033136130.1, XP_033140697.1, XP_033146511.1, XP_033134232.1, XP_033135264.1, XP_033130565.1, XP_033138684.1, XP_033134820.1, XP_033148015.1, XP_033142632.1, XP_033131605.1, XP_033131962.1, XP_033143073.1
OG0000005	Np003G178290, Np001G012920	XP_009109961.2, XP_009139324.1, XP_033148561.1
OG0000005	Np007G395340	XP_033140104.1, XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2
OG0000005	Np004G197010	XP_033131915.1, XP_009127063.3, XP_033131910.1, XP_009102787.1, XP_018510875.2, XP_033141202.1, XP_009107743.1, XP_033138834.1, XP_033128722.1, XP_009135908.2
OG0000005	Np006G359670, Np001G029160, Np001G037420	XP_033128715.1
OG0000005	Np001G041480, Np003G174230, Np001G015150, Np001G036410	XP_009117682.2
OG0000005	Np001G068320	XP_033146265.1, XP_033134456.1
OG0000005	Np004G203550, Np005G265280	XP_033141077.1, XP_009142536.1, XP_009111228.2
OG0000006	Np003G145740	XP_033136688.1, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009127425.2, XP_033141185.1, XP_033139229.1, XP_018513873.2, XP_009107586.3, XP_009128533.2, XP_033137263.1, XP_033145152.1, XP_009144141.2, XP_033129678.1, XP_033140024.1, XP_033141430.1, XP_009140704.1, XP_033134787.1, XP_033130526.1, XP_033148049.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033136152.1, XP_018510598.1, XP_033138823.1, XP_033143314.1
OG0000006	Np005G313160	XP_018512011.2, XP_033141204.1, XP_009108642.2, XP_033147435.1, XP_033128538.1, XP_033140542.1, XP_009124768.1, XP_033131877.1
OG0000007	Np006G357400, Np005G299740	XP_009139680.2
OG0000007	Np007G402890	XP_033134315.1, XP_033143372.1
OG0000007	Np002G092690	XP_033146952.1
OG0000007	Np006G356870	XP_009103419.1
OG0000008	Np005G307780, Np002G103180	XP_018513989.2, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000008	Np007G406420	XP_033142381.1
OG0000008	Np001G053530	XP_033138353.1, XP_033131793.1, XP_033147955.1, XP_033146635.1, XP_009115858.3, XP_033131438.1, XP_033131838.1
OG0000011	Np001G009230, Np006G351190	XP_033131635.1
OG0000011	Np003G163940	XP_033143315.1
OG0000012	Np006G354320, Np004G217870, Np006G359410, Np005G284210	XP_033131417.1, XP_033132125.1
OG0000012	Np002G095110, Np002G111240	XP_033146615.1, XP_033128492.1
OG0000012	Np004G217770	XP_033139271.1, XP_033139160.1
OG0000014	Np001G042570, Np002G073300	XP_033141144.1, XP_033139578.1, XP_009107741.1
OG0000014	Np004G227310	XP_009119511.1
