Orthogroup	Alyssum_gmelinii	Erysimum_linariifolium
OG0000000	Ag004G340890, Ag001G084200	El001G044730
OG0000000	Ag002G196660	El005G264610
OG0000000	Ag002G167150	El001G044760, El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000000	Ag007G637890, Ag001G032720	El003G182470
OG0000000	Ag008G692330, Ag002G155080, Ag008G696910	El006G298040
OG0000003	Ag001G024370	El003G189560
OG0000004	Ag005G427550	El001G052930, El004G230860, El003G157040, El005G268240
OG0000005	Ag008G703520, Ag005G473830, Ag001G076570	El001G038630
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610	El001G081400
OG0000005	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760	El002G122730
OG0000005	Ag006G527380	El003G167150
OG0000005	Ag005G402580, Ag007G622540	El002G123530
OG0000005	Ag003G254650	El004G214890
OG0000005	Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920	El002G120930, El007G348880
OG0000005	Ag003G219140, Ag007G614800	El002G135590, El005G263180
OG0000005	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130	El007G348140
OG0000007	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540	El007G349510
OG0000007	Ag001G051310	El007G352010
OG0000007	Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540	El006G311480
OG0000007	Ag006G520850, Ag003G220210	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	Ag004G330770, Ag002G136200, Ag001G003030	El002G114670
OG0000007	Ag002G132800	El006G293980
OG0000008	Ag002G148400	El001G021720
OG0000008	Ag002G152740, Ag007G618090, Ag001G039140	El004G212460
OG0000008	Ag001G015890	El001G021990, El001G021710, El003G174670
OG0000012	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790	El002G120760
OG0000012	Ag003G250910	El005G268860, El003G182880
OG0000012	Ag002G161720	El002G129160
OG0000013	Ag006G559810	El006G310100
OG0000013	Ag008G708120, Ag001G014560	El006G310400
OG0000015	Ag008G676660, Ag008G687430	El060G376140, El053G375740
OG0000017	Ag004G336140, Ag001G069670	El003G166860, El007G325530
OG0000018	Ag007G609170	El001G045850, El001G048290, El003G146330
OG0000019	Ag003G263160, Ag006G497030	El007G351400
OG0000020	Ag005G440730	El003G191190, El002G120700, El006G296260
OG0000020	Ag006G521270	El001G045330, El001G045300, El001G045270
OG0000020	Ag005G441960	El001G045320
OG0000021	Ag005G443540	El001G037390
OG0000021	Ag002G201670	El005G277430, El007G325630, El001G045050
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	El007G357800
OG0000023	Ag002G145570, Ag002G145600	El001G007540
OG0000023	Ag006G547270	El003G162170
OG0000023	Ag006G545440	El003G162000
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	El003G162130
OG0000025	Ag003G230310	El001G014130, El001G014870, El001G014670, El003G176790, El003G190320, El007G338170, El007G338190, El007G338230, El007G338200
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620, El001G018960, El002G114660, El007G326060, El007G352000
OG0000029	Ag006G523440	El006G302870, El002G125750, El008G368530
OG0000029	Ag002G175390	El003G179090
OG0000029	Ag005G441680, Ag006G519730	El007G348030, El008G371400, El008G371420, El008G371370, El008G371360, El001G044810
OG0000029	Ag003G216290, Ag003G216300	El006G308300
OG0000029	Ag003G258710	El006G307470
OG0000030	Ag008G659630, Ag006G491030	El003G181950
OG0000030	Ag004G349980, Ag003G277490, Ag008G670610, Ag002G201000, Ag003G292120	El002G130810
OG0000030	Ag007G611240	El005G265320, El003G181970
OG0000030	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020	El007G346180
OG0000030	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470, Ag008G713150, Ag002G167860, Ag004G319940, Ag004G398140, Ag003G263120	El003G181960
