Orthogroup	Alyssum_gmelinii	Cochlearia_excelsa
OG0000000	Ag006G573260	g43381, g1368, g22041, g30161, g30503, g3478, g21442, g8934, g48064, g32795, g39211, g43269, g30373, g14523, g22546, g24983, g14971, g4315, g25877, g32785, g42245, g9295, g34421, g43335, g33600, g42602, g34365, g35496, g35241, g33195, g30362, g30003, g41664, g49210
OG0000000	Ag004G340890, Ag001G084200	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176, g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504, g4171, g14802, g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364, g3780, g17945, g33478, g11402, g42267
OG0000000	Ag002G196660	g3617
OG0000000	Ag006G512050	g35794, g35385
OG0000000	Ag003G248650, Ag004G363090	g10333, g8680, g2549, g34291
OG0000000	Ag002G167150	g53446, g21402, g43378, g33569, g9309, g43377, g33624, g35386, g48663, g21409, g43220, g20888, g26620, g4470, g21492, g48652, g52367, g19951, g32653, g34565, g14368, g48258
OG0000000	Ag001G036200, Ag019G743060	g16215
OG0000002	Ag005G437270, Ag005G410710	g41750, g28791
OG0000003	Ag001G024370	g36078
OG0000003	Ag007G617260	g11617, g8880, g21791, g21805
OG0000003	Ag007G591720	g53525, g41900, g41972
OG0000003	Ag005G408470	g14576
OG0000003	Ag003G271610	g26269, g14435, g41143
OG0000003	Ag008G680570	g52527
OG0000003	Ag004G365940	g45643
OG0000003	Ag001G046010	g21658, g15405, g9357, g42284, g8878
OG0000003	Ag007G647490	g33707, g26603, g21259, g39189, g25996, g15300, g35009, g36811, g15547, g19815, g43673, g35853, g24932, g6068, g34187, g26111, g21998, g43545, g26602, g9017, g29824, g43585, g24933, g25490, g51797, g8468, g21325, g21486, g23055, g43879, g15688, g34881, g52431, g30155, g15070, g48992, g42274, g54395, g53100, g9528, g43002, g21997, g34379, g25150, g49109, g53316, g20971, g49153, g48110, g21278, g20466, g33704, g36951, g8532, g9434, g41752, g35824, g19660, g4529, g49092, g38820, g33999, g3653, g9495, g36810, g4528, g49093, g24940, g9435, g35826, g38821, g48250, g7968, g53646, g21207, g42483, g22559, g3632, g34632, g8186, g30075, g42471, g19890, g26435, g33523, g34553, g30141, g20092, g15474, g21727, g8684, g20618, g30193, g21406, g42425, g33817, g15177
OG0000004	Ag004G349770	g16747, g41832
OG0000004	Ag004G314450	g10434, g43405, g12783, g14416, g3096
OG0000004	Ag008G684310	g31287
OG0000004	Ag005G427550	g53928, g53101, g41948, g51566, g43468, g53079, g36758, g17875, g16472, g42672, g36856, g41934, g15642, g26031, g35347, g26705, g2535, g36022, g31776, g5122, g17501, g51935, g13963, g36497, g34346, g34341, g18288, g34545, g23636, g41668, g36251, g29771, g32981, g43655, g16116, g23456, g36902, g17231, g2970, g43223, g14083, g35198, g30019, g3548, g30029, g42941, g35332, g31777, g32178, g5307, g25530, g17500, g34547, g51511, g41298, g36857, g54045, g24111, g31980, g41669, g35091, g35077, g25913, g41938, g3574
OG0000004	Ag006G503330	g2536, g39580, g42097, g41297, g24112, g31979, g17136, g25958, g25963, g36901, g52887, g2537, g48210, g53103, g41102, g52585, g51512, g35331, g17773, g42634, g39612, g1968, g10247, g52913, g10640, g36272, g53835, g11809, g16248, g25088, g34228, g25325, g35012, g43391, g51567, g39820, g53930, g25678, g32406, g30140, g42743, g43491, g46292, g5096, g22548, g39581, g13962, g36499, g42759, g10639, g27558, g45059, g29019, g28838, g26174, g47720, g23412, g53102, g25957, g25962, g53418, g4285, g41471, g53645, g14079, g48508, g20088, g38441, g18608, g25306, g42226, g42241, g42207, g37556, g16487, g3215, g24517, g26840, g25601, g54046, g36858, g4615, g36408, g23455, g43652, g3086, g24113, g70, g36335, g53040, g40054
OG0000005	Ag005G473830, Ag001G076570	g44250
OG0000005	Ag005G452100	g1512, g23979, g28647, g29131
OG0000005	Ag003G254660	g44957, g41488, g4394, g4401, g11275, g53238
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610	g9848, g44251
OG0000005	Ag006G527380	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090
OG0000005	Ag005G402580, Ag007G622540	g10582
OG0000005	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920	g43359
OG0000005	Ag003G238120	g14949, g4309
OG0000005	Ag005G488800	g43361
OG0000007	Ag008G681210	g18049, g47718
OG0000007	Ag005G466840, Ag007G581080, Ag002G197150, Ag006G545890	g1361, g29234, g6389, g10755, g37592, g7470, g24558, g2149, g17871, g39292, g41809, g47712, g41811, g1664, g4630, g31899, g1393
OG0000007	Ag002G132800	g25323, g24433, g4497, g26082, g34709, g48927
OG0000008	Ag007G652280	g43261
OG0000008	Ag005G451490	g25873, g34273, g35255
OG0000008	Ag002G152740, Ag007G618090, Ag001G039140	g24450, g27833, g3220, g44274
OG0000008	Ag001G044380, Ag008G677680, Ag004G365860	g36794
OG0000008	Ag005G430580	g33123
OG0000008	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500	g39484
OG0000008	Ag001G015890	g4392
OG0000008	Ag005G426820	g49591
OG0000011	Ag008G699310	g42924
OG0000012	Ag007G638410	g6328
OG0000012	Ag007G621260, Ag005G417190	g21395
OG0000012	Ag007G633420	g3443, g34444, g34449
OG0000012	Ag004G367750	g32787, g15662
OG0000012	Ag003G250900	g22633, g29934, g15083, g22215, g22629, g22646, g15076, g22641, g29927, g22634, g29918, g22636, g22650, g22626, g22643, g29930, g22625, g34876
OG0000013	Ag001G041140	g52620, g48035, g4139, g16474
OG0000014	Ag008G691080	g37854, g44201, g25623
OG0000014	Ag003G252810	g51642, g51639, g52234
OG0000014	Ag001G020750	g28379, g22864, g14683, g17906, g30722, g53391, g16697, g10634, g1970, g40835, g10249, g44050, g4521, g17734, g32003, g4816, g28378, g1568, g51668, g10565, g27276, g40834, g40838, g10566, g53860
OG0000015	Ag002G110750	g1783, g40287, g27896, g24000, g1778, g40286
OG0000015	Ag008G676660	g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567
OG0000015	Ag004G376340	g26108, g43718
OG0000015	Ag008G675720	g43716, g41967
OG0000017	Ag002G124100, Ag004G375560, Ag001G050140	g5712, g5713
OG0000018	Ag007G609170	g33471, g14567, g33125, g25750
OG0000019	Ag005G436930	g1178, g47379, g24167, g49419, g51762, g16903, g1734, g36528, g3381, g27830, g4724, g3830, g6933, g40849, g17697
OG0000019	Ag003G263160, Ag006G497030	g2481
OG0000019	Ag007G642200, Ag006G545350	g18942, g2713, g2720, g19256
OG0000019	Ag003G257300, Ag008G690690	g16516
OG0000020	Ag002G113970	g35299
OG0000020	Ag008G729190	g15954
OG0000020	Ag005G440730	g49592, g25930, g51375
OG0000020	Ag006G521270	g7451
OG0000021	Ag008G685590	g14063
OG0000021	Ag002G135150	g45682, g1448
OG0000021	Ag002G201670	g3713, g24107, g3725, g24106, g46643
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	g47441, g23897
OG0000023	Ag002G145570, Ag002G145600	g48946, g43193
OG0000023	Ag002G145500	g25723
OG0000023	Ag002G145450	g40374
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	g23907, g24643
OG0000024	Ag002G157990, Ag002G117810, Ag003G279100	g36077
OG0000024	Ag003G257540	g36076
OG0000025	Ag003G230310	g972, g39418, g24597
OG0000027	Ag007G580660	g40788
OG0000029	Ag006G523440	g29817
