Orthogroup	Alyssum_gmelinii	Arabis_alpina
OG0000002	Ag005G410720	Aa_G109850.h1.t1, Aa_G417360.h1.t1
OG0000002	Ag005G437270, Ag005G410710	Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000003	Ag001G024370	Aa_G301670.h1.t1
OG0000003	Ag004G365940	Aa_G878030.h1.t1
OG0000003	Ag007G647490	Aa_G169510.h1.t1
OG0000005	Ag005G473830, Ag001G076570	Aa_G1025960.h1.t1
OG0000007	Ag006G558310, Ag005G454430, Ag006G564860, Ag001G013150, Ag004G317600, Ag006G566160, Ag005G467300, Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540, Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220, Ag003G269320	Aa_G60120.h1.t1
OG0000008	Ag001G015890	Aa_G302250.h1.t1
OG0000011	Ag008G699310	Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1
OG0000012	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790	Aa_G297380.h1.t1
OG0000014	Ag001G020750	Aa_G871750.h1.t1, Aa_G482960.h1.t1
OG0000015	Ag008G675720	Aa_G962140.h1.t1
OG0000017	Ag005G432180, Ag001G042370	Aa_G135640.h1.t1
OG0000017	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510	Aa_G813170.h5.t1, Aa_G813170.h4.t1, Aa_G813170.h1.t1, Aa_G813170.h3.t1, Aa_G813170.h2.t1
OG0000019	Ag003G276070	Aa_G277650.h1.t1
OG0000020	Ag005G440730	Aa_G1000.h1.t1, Aa_G209100.h1.t1
OG0000021	Ag008G685590	Aa_G505500.h1.t1
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1
OG0000023	Ag002G145450	Aa_G597270.h1.t1
OG0000023	Ag006G547270	Aa_G200900.h1.t1
OG0000023	Ag006G549060, Ag006G543820	Aa_G200830.h1.t1
