Orthogroup	Alyssum_gmelinii	Cardamine_glauca
OG0000000	Ag002G196660	Cg003G090030, Cg003G090000
OG0000000	Ag002G167150	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590
OG0000000	Ag001G036200, Ag019G743060	Cg014G332090
OG0000003	Ag001G024370	Cg006G209840
OG0000003	Ag007G591720	Cg005G163140
OG0000003	Ag004G365940	Cg005G184670
OG0000003	Ag007G647490	Cg005G182650
OG0000004	Ag002G133140	Cg001G033800
OG0000004	Ag005G427550	Cg005G167340
OG0000005	Ag005G452100	Cg007G253430, Cg008G308830
OG0000005	Ag003G254660	Cg005G186690, Cg003G078000, Cg005G192860
OG0000005	Ag005G402580, Ag007G622540	Cg005G185830
OG0000005	Ag002G157290, Ag001G061510	Cg008G295320
OG0000005	Ag004G314920	Cg005G188150
OG0000005	Ag002G157300	Cg001G022230
OG0000005	Ag004G356110, Ag004G365070, Ag004G390840, Ag004G351220, Ag006G508910, Ag003G238120, Ag001G040530, Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130	Cg006G213190
OG0000007	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540	Cg003G103180
OG0000007	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540	Cg003G084380
OG0000007	Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480	Cg002G061850
OG0000008	Ag002G148400	Cg002G071170
OG0000008	Ag005G430580	Cg007G263320
OG0000008	Ag001G015890	Cg002G060890, Cg002G055170
OG0000012	Ag007G638410	Cg003G089470, Cg006G226210
OG0000012	Ag007G633420	Cg007G260780
OG0000012	Ag004G367750	Cg003G096060
OG0000012	Ag001G026980	Cg007G277670, Cg006G218130, Cg003G093950
OG0000013	Ag004G396400, Ag004G380450	Cg007G257070, Cg005G184830
OG0000014	Ag008G691080	Cg008G312030
OG0000015	Ag002G110750	Cg008G310160
OG0000015	Ag004G376340	Cg004G140320
OG0000017	Ag005G432180, Ag001G042370, Ag001G058750, Ag008G684550	Cg004G142150
OG0000019	Ag003G276070	Cg008G308170
OG0000019	Ag006G545360	Cg003G084410, Cg008G317890
OG0000020	Ag005G440730	Cg001G036750
OG0000021	Ag008G685590	Cg006G208570
OG0000021	Ag008G725210	Cg007G248010
OG0000021	Ag002G135150	Cg002G061370, Cg003G103950
OG0000021	Ag002G201670	Cg003G080250
OG0000023	Ag006G545600, Ag006G549030	Cg001G017560
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	Cg003G082360, Cg001G017610, Cg001G017600
OG0000023	Ag002G145570, Ag002G145600	Cg003G082330
OG0000023	Ag002G145500	Cg003G082320
OG0000023	Ag002G145450	Cg003G082240
OG0000023	Ag006G547270	Cg001G017750
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	Cg001G017690
OG0000023	Ag006G549060, Ag006G543820	Cg001G017660
OG0000025	Ag003G230310	Cg003G106740
OG0000026	Ag013G741580	Cg005G183380
OG0000027	Ag006G546200, Ag005G439390	Cg001G041530
OG0000027	Ag007G580660	Cg007G250820
OG0000029	Ag006G523440, Ag006G532500, Ag004G401820	Cg007G253930
OG0000029	Ag004G375950	Cg002G070490
OG0000029	Ag003G216290, Ag003G216300	Cg005G177640
OG0000029	Ag003G258710	Cg006G212710
OG0000030	Ag004G349980, Ag003G277490	Cg008G322770
OG0000030	Ag007G611240	Cg007G253140
OG0000031	Ag002G111150, Ag002G107580	Cg001G042060
OG0000031	Ag004G401670	Cg007G245660
OG0000033	Ag006G547230, Ag006G549390	Cg001G017700
OG0000033	Ag006G547260, Ag006G549410	Cg001G017740, Cg001G017730
OG0000033	Ag006G543630, Ag006G543880	Cg001G017780
OG0000033	Ag006G564890, Ag003G210460	Cg001G019630
OG0000033	Ag006G548990	Cg001G017580
OG0000033	Ag006G547380, Ag006G549570	Cg001G017790
OG0000033	Ag002G130680, Ag002G130760	Cg003G079950, Cg003G094060
OG0000034	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780	Cg002G066600
OG0000036	Ag004G310880	Cg008G323260
OG0000036	Ag006G551100, Ag001G036210, Ag003G262470, Ag003G288580, Ag005G424740	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	Cg005G182230, Cg005G181070
OG0000037	Ag002G136000	Cg007G247800, Cg007G255010
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	Cg008G285210, Cg008G285280, Cg005G159520
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	Cg008G320600
OG0000038	Ag003G279120	Cg001G007650
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	Cg008G320560, Cg006G216960
OG0000038	Ag004G312700	Cg002G052970
OG0000039	Ag004G347330, Ag007G622120	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	Cg006G217350, Cg001G030090
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	Cg004G137150
OG0000042	Ag007G610350, Ag001G022920	Cg006G198550, Cg003G083590
OG0000042	Ag005G442270	Cg008G310640, Cg008G309000
OG0000042	Ag002G176270	Cg005G175020, Cg003G088120
OG0000044	Ag008G702570	Cg001G029670
OG0000044	Ag001G054960	Cg003G096230
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570, Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210	Cg003G091810
OG0000045	Ag002G197550, Ag008G703200	Cg002G064420
OG0000046	Ag006G575430	Cg001G022610
OG0000046	Ag002G129690, Ag002G129740	Cg007G266760
OG0000047	Ag007G585730, Ag007G603890, Ag006G525770	Cg006G206340
OG0000048	Ag005G486620, Ag005G486520	Cg004G119550
OG0000049	Ag003G236810	Cg007G255960
OG0000052	Ag004G301370, Ag004G301320	Cg006G242960
OG0000052	Ag002G194170	Cg005G163550
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	Cg005G173390, Cg013G330370
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	Cg005G163540
OG0000052	Ag002G194440, Ag002G194380	Cg005G187360
