Orthogroup	Alyssum_gmelinii	Arabidopsis_thaliana
OG0000004	Ag005G427550	AT2G22440.1
OG0000005	Ag005G402580, Ag007G622540	ATMG01250.1
OG0000005	Ag005G488800	AT3G27495.1
OG0000008	Ag007G652280	AT5G28780.1
OG0000008	Ag001G015890	AT3G51700.1, AT3G51690.1
OG0000013	Ag006G559810	AT2G06105.1
OG0000018	Ag007G609170	AT3G31925.1
OG0000019	Ag003G276070	AT1G18050.1
OG0000019	Ag001G014440, Ag007G613770, Ag002G147220, Ag003G285010, Ag007G642200, Ag006G545350, Ag003G257300, Ag008G690690	AT5G15685.1
OG0000023	Ag006G545600, Ag006G549030	AT4G23320.3, AT4G23290.2
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	AT4G11460.1, AT4G23260.1, AT4G23250.2
OG0000023	Ag002G145570, Ag002G145600	AT4G11470.2, AT4G11480.1
OG0000023	Ag002G145450	AT4G11530.1
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	AT4G23190.1, AT4G23300.1
OG0000024	Ag003G257540	AT2G09388.1
OG0000025	Ag003G230310	AT4G13680.1, AT5G54450.1
OG0000031	Ag001G078560, Ag004G386130	AT1G62914.1, AT1G62670.1
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	AT1G12700.2
OG0000031	Ag002G111150, Ag002G107580	AT5G41170.1
OG0000031	Ag004G401670	AT1G62720.1, AT1G64583.1, AT1G64580.1, AT1G06580.1
OG0000033	Ag006G547230, Ag006G549390	AT4G23180.1
OG0000033	Ag006G543630, Ag006G543880	AT4G23230.1, AT4G23140.2
OG0000033	Ag006G564890, Ag003G210460	AT4G21410.3
OG0000033	Ag006G548990	AT4G23270.3, AT4G23280.1, AT4G23310.1
OG0000033	Ag006G547380, Ag006G549570	AT4G23130.2
OG0000033	Ag002G130680, Ag002G130760	AT4G05200.2
OG0000035	Ag006G499210	AT3G49440.1
OG0000035	Ag005G405240, Ag002G183820	AT5G65850.1
OG0000038	Ag001G003660	AT1G22000.1, AT1G26890.1
OG0000038	Ag001G056400	AT3G53550.1
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	AT1G05080.1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	AT3G10750.1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1
OG0000040	Ag002G192690, Ag002G188830	AT3G13680.1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	AT1G66490.1, AT3G49510.1, AT3G49520.1, AT1G54550.1
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	AT3G20030.1, AT5G60560.2
