Orthogroup	Alyssum_gmelinii	Noccaea_praecox
OG0000000	Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060	Np010G434710
OG0000002	Ag005G410720	Np002G103600, Np002G105770, Np011G436400, Np008G426050
OG0000002	Ag005G437270, Ag005G410710	Np006G346800, Np002G102950
OG0000003	Ag007G617260	Np008G429060, Np001G031010, Np002G099380
OG0000003	Ag007G591720	Np006G354000, Np006G347320, Np006G346740, Np006G353400
OG0000003	Ag004G365940	Np009G429910, Np003G170050
OG0000003	Ag001G046010	Np006G346690
OG0000003	Ag007G647490	Np003G172700, Np003G170760
OG0000004	Ag004G314450	Np002G096870
OG0000004	Ag005G427550	Np006G348510
OG0000004	Ag006G503330	Np005G308780, Np001G054660, Np006G322460, Np007G418310
OG0000005	Ag005G473830, Ag001G076570	Np002G080500
OG0000005	Ag005G452100	Np001G041490, Np001G029140, Np001G037430, Np003G173650, Np002G091710, Np006G356630, Np002G074400
OG0000005	Ag005G434290	Np003G166380
OG0000005	Ag006G527380	Np004G203550, Np005G265280
OG0000005	Ag003G254650	Np006G352060
OG0000005	Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920	Np002G098830
OG0000005	Ag004G390840, Ag004G351220, Ag006G508910	Np003G170890, Np003G170800
OG0000005	Ag003G238120	Np003G175080, Np002G106360
OG0000007	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540	Np007G402900, Np001G003900
OG0000007	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220	Np005G307400
OG0000007	Ag003G269320	Np003G129790, Np005G315800, Np003G152970
OG0000007	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540	Np007G402890
OG0000007	Ag006G520850, Ag003G220210	Np004G201210, Np004G226300, Np002G092690, Np001G031480
OG0000007	Ag004G330770, Ag002G136200, Ag001G003030	Np006G356870
OG0000008	Ag005G430580, Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500, Ag004G382010, Ag007G618910, Ag002G172940, Ag001G015890	Np001G053530
OG0000011	Ag008G699310	Np001G009230, Np006G351190
OG0000011	Ag002G108600	Np002G079770, Np008G427680
OG0000012	Ag005G452520	Np005G284530
OG0000012	Ag007G638410	Np006G343630, Np002G100520
OG0000012	Ag007G621260, Ag005G417190	Np003G169510, Np006G350820, Np007G404020, Np004G218280
OG0000012	Ag004G367750	Np006G341490
