Orthogroup	Alyssum_gmelinii	Raphanus_sativus
OG0000000	Ag004G340890, Ag001G084200	XP_018454350.1
OG0000000	Ag002G196660	XP_018462401.1, XP_018463541.1, XP_018459749.1
OG0000000	Ag002G167150	XP_018459921.1
OG0000003	Ag007G617260	XP_018460462.1, XP_018463058.1
OG0000003	Ag008G680570, Ag004G365940	XP_018461854.1
OG0000003	Ag007G647490	XP_018458503.1, XP_018464823.1, XP_018473769.1, XP_018460386.1, XP_018465458.1, XP_018464439.1, XP_018463188.1, XP_018462737.1, XP_018464076.1, XP_018465694.1, XP_018459974.1, XP_018462024.1, XP_018463630.1, XP_018463010.1
OG0000004	Ag005G427550	XP_018474039.1, XP_018473868.1, XP_018473865.1, XP_018435931.1
OG0000004	Ag006G503330	XP_018448539.1, XP_018443672.1, XP_018443671.1, XP_018488129.1, XP_018487799.1, XP_018462308.1, XP_018462595.1, XP_018435292.1, XP_018464994.1, XP_018463801.1
OG0000005	Ag008G703520, Ag005G473830, Ag001G076570	XP_018479454.1
OG0000005	Ag005G452100	XP_018454182.1, XP_018454026.1
OG0000005	Ag003G254660	XP_018443533.1, XP_018481184.1, XP_018467418.1
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610	XP_018448691.1, XP_018435561.1, XP_018479324.1
OG0000005	Ag006G527380	XP_018458816.1
OG0000005	Ag002G157290, Ag001G061510	XP_018473658.1
OG0000005	Ag005G488800	XP_018467691.1
OG0000006	Ag005G455250	XP_018487746.1
OG0000007	Ag003G269320	XP_018453653.1
OG0000007	Ag008G681210	XP_018443420.1
OG0000007	Ag006G520850, Ag003G220210	XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1
OG0000007	Ag004G330770, Ag002G136200, Ag001G003030	XP_018459162.1
OG0000007	Ag002G132800	XP_018463500.1, XP_018465308.1, XP_018459856.1, XP_018443699.1
OG0000008	Ag005G451490	XP_018462956.1
OG0000008	Ag002G152740, Ag007G618090, Ag001G039140	XP_018488004.1, XP_018453879.1
OG0000008	Ag001G065030, Ag001G070290	XP_018480006.1, XP_018453589.1
OG0000008	Ag001G015890	XP_018487725.1, XP_018438736.1, XP_018459044.1
OG0000012	Ag007G638410	XP_018480111.1
OG0000012	Ag001G026980	XP_018448573.1
OG0000012	Ag002G161720	XP_018460031.1, XP_018453821.1, XP_018458592.1, XP_018448717.1, XP_018458661.1
OG0000013	Ag001G041140	XP_018487913.1, XP_018443711.1, XP_018448766.1, XP_018464198.1, XP_018459729.1, XP_018463067.1, XP_018487762.1
OG0000014	Ag008G691080	XP_018453670.1
OG0000014	Ag003G252810	XP_018479118.1, XP_018435897.1
OG0000014	Ag001G020750	XP_018463271.1
OG0000015	Ag002G110750	XP_018448688.1, XP_018443665.1, XP_018458093.1
