Orthogroup	Alyssum_gmelinii	Cardamine_amara
OG0000000	Ag002G167150	evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301
OG0000000	Ag007G637890, Ag001G032720	evm.model.RL_2.1335, evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374
OG0000000	Ag001G036200, Ag019G743060	evm.model.RL_7.1901, evm.model.RL_2.681
OG0000003	Ag001G024370	evm.model.RL_2.1084
OG0000003	Ag007G591720	evm.model.RL_6.1194
OG0000003	Ag004G365940	evm.model.RL_2.548, evm.model.RL_2.709
OG0000003	Ag001G046010	evm.model.RL_6.652
OG0000003	Ag007G647490	evm.model.RL_1.2661, evm.model.RL_1.2660, evm.model.RL_2.686, evm.model.RL_6.663, evm.model.RL_2.668, evm.model.RL_3.810, evm.model.RL_7.2055, evm.model.RL_6.631, evm.model.RL_7.2059, evm.model.RL_6.676, evm.model.RL_1.2633
OG0000004	Ag002G133140, Ag008G711060, Ag006G542780, Ag002G121010, Ag006G552510, Ag004G374310	evm.model.RL_2.303
OG0000004	Ag005G427550	evm.model.RL_2.401
OG0000005	Ag008G703520	evm.model.RL_4.816, evm.model.RL_4.229
OG0000005	Ag005G452100	evm.model.RL_8.2917
OG0000005	Ag005G434290	evm.model.RL_1.1902
OG0000005	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920	evm.model.RL_1.3117
OG0000005	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130	evm.model.RL_2.1096
OG0000007	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220	evm.model.RL_2.1094
OG0000007	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540	evm.model.RL_2.508
OG0000007	Ag008G681210	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223
OG0000007	Ag005G466650	evm.model.RL_1.2700, evm.model.RL_2.507
OG0000007	Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480	evm.model.RL_2.539
OG0000007	Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030	evm.model.RL_2.2279
OG0000008	Ag001G015890	evm.model.RL_7.1211
OG0000012	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790	evm.model.RL_4.165
OG0000012	Ag003G250900	evm.model.RL_7.2040
OG0000012	Ag002G161720	evm.model.RL_3.685
OG0000013	Ag004G396400, Ag004G380450	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358
OG0000015	Ag008G676660	evm.model.RL_1.3215
OG0000015	Ag008G687430	evm.model.RL_1.2713, evm.model.RL_1.2714
OG0000017	Ag005G432180, Ag001G042370, Ag001G058750, Ag008G684550	evm.model.RL_7.1888
OG0000017	Ag004G336140, Ag001G069670	evm.model.RL_3.613
OG0000018	Ag007G609170	evm.model.RL_7.1872
OG0000019	Ag006G545360	evm.model.RL_7.2531
OG0000020	Ag005G440730	evm.model.RL_8.674
OG0000021	Ag008G685590	evm.model.RL_7.92, evm.model.RL_2.444
OG0000021	Ag008G725210	evm.model.RL_1.1304
OG0000021	Ag005G443540	evm.model.RL_3.587
OG0000021	Ag002G201670	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	Ag006G545600, Ag006G549030	evm.model.RL_2.1848, evm.model.RL_2.1849
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	evm.model.RL_2.1843, evm.model.RL_2.1842
OG0000023	Ag002G145500	evm.model.RL_8.636
