Orthogroup	Alyssum_gmelinii	Brassica_oleracea
OG0000000	Ag006G573260	XP_013594448.1, XP_013633089.1
OG0000000	Ag004G340890, Ag001G084200	XP_013639729.1, XP_013583420.1
OG0000000	Ag002G196660	XP_013624478.1, XP_013594857.1, XP_013601901.1, XP_013617473.1, XP_013601242.1, XP_013601368.1, XP_013594627.1
OG0000000	Ag002G167150	XP_013616947.1
OG0000000	Ag008G692330, Ag002G155080, Ag008G696910	XP_013601799.1
OG0000000	Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060	XP_013587282.1
OG0000002	Ag005G410720	XP_013589182.1
OG0000003	Ag001G024370	XP_013626656.1, XP_013589417.1
OG0000003	Ag007G617260	XP_013601450.1
OG0000003	Ag007G591720	XP_013617438.1, XP_013613453.1
OG0000003	Ag005G408470	XP_013624826.1
OG0000003	Ag003G271610	XP_013590083.1, XP_013594487.1, XP_013615216.1, XP_013589558.1, XP_013589160.1
OG0000003	Ag004G365940	XP_013599594.1
OG0000003	Ag007G647490	XP_013594436.1, XP_013583353.1, XP_013624657.1, XP_013613865.1, XP_013632581.1, XP_013624627.1, XP_013639540.1, XP_013628848.1, XP_013632777.1, XP_013639715.1, XP_013639588.1, XP_013624597.1, XP_013583381.1, XP_013589090.1, XP_013624602.1, XP_013639562.1, XP_013624568.1, XP_013632769.1
OG0000004	Ag005G473260, Ag001G034430, Ag003G239450	XP_013601459.1
OG0000004	Ag008G684310	XP_013633199.1, XP_013608522.1
OG0000004	Ag005G427550	XP_013624623.1, XP_013601125.1, XP_013639798.1, XP_013594493.1
OG0000004	Ag006G503330	XP_013594561.1, XP_013617633.1
OG0000005	Ag008G703520	XP_013608026.1, XP_013639201.1, XP_013635062.1
OG0000005	Ag007G610690	XP_013615524.1
OG0000005	Ag003G254660	XP_013589654.1, XP_013633488.1, XP_013588992.1, XP_013601782.1, XP_013589640.1, XP_013595158.1, XP_013608540.1, XP_013633284.1
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610	XP_013594815.1, XP_013613616.1
OG0000005	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760	XP_013615193.1, XP_013624812.1, XP_013617492.1
OG0000005	Ag005G402580, Ag007G622540	XP_013583375.1
OG0000005	Ag002G157290, Ag001G061510	XP_013632594.1
OG0000007	Ag005G467300	XP_013594726.1
OG0000007	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220	XP_013616974.1
OG0000007	Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	Ag005G466650	XP_013594922.1
OG0000007	Ag006G520850, Ag003G220210	XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1
OG0000007	Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030	XP_013600971.1
OG0000007	Ag002G132800	XP_013615253.1
OG0000008	Ag005G451490	XP_013639785.1, XP_013624621.1, XP_013601568.1, XP_013594960.1
OG0000008	Ag001G065030, Ag001G070290	XP_013594437.1, XP_013615258.1, XP_013615301.1
OG0000008	Ag001G015890	XP_013583252.1, XP_013601615.1, XP_013615550.1, XP_013632335.1
OG0000012	Ag007G638410	XP_013617060.1
OG0000012	Ag003G250900	XP_013600987.1, XP_013639593.1, XP_013632474.1, XP_013632941.1
OG0000012	Ag001G026980	XP_013630371.1
OG0000012	Ag002G161720	XP_013613579.1, XP_013614407.1, XP_013588965.1, XP_013639689.1
OG0000013	Ag004G396400, Ag004G380450	XP_013624890.1, XP_013614189.1
OG0000013	Ag001G041140	XP_013594402.1, XP_013589207.1, XP_013624745.1, XP_013614182.1, XP_013633322.1, XP_013624288.1, XP_013639469.1, XP_013607795.1, XP_013615454.1, XP_013617043.1, XP_013632491.1, XP_013632712.1, XP_013632577.1
OG0000014	Ag008G691080	XP_013623548.1, XP_013627369.1, XP_013607767.1, XP_013608123.1, XP_013594361.1, XP_013633074.1
OG0000014	Ag003G252810	XP_013601549.1
OG0000014	Ag001G020750	XP_013601675.1
OG0000015	Ag002G110750	XP_013624517.1, XP_013617189.1
OG0000015	Ag008G676660	XP_013614071.1
OG0000015	Ag008G687430	XP_013632591.1, XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1
OG0000015	Ag004G376340	XP_013594602.1
OG0000018	Ag007G609170	XP_013613761.1
OG0000019	Ag006G545360	XP_013639582.1
OG0000019	Ag007G642200, Ag006G545350	XP_013607552.1, XP_013607541.1, XP_013596669.1, XP_013608199.1, XP_013633251.1
OG0000020	Ag003G281030, Ag003G281020	XP_013594308.1, XP_013632755.1, XP_013622631.1, XP_013617718.1, XP_013601347.1, XP_013632603.1, XP_013589125.1, XP_013632537.1, XP_013624335.1, XP_013633274.1, XP_013629391.1, XP_013633360.1, XP_013615052.1, XP_013607917.1, XP_013617183.1, XP_013614455.1, XP_013607568.1, XP_013601358.1, XP_013639239.1, XP_013613949.1, XP_013633399.1, XP_013614792.1, XP_013632386.1, XP_013632756.1, XP_013632823.1, XP_013617698.1, XP_013617380.1, XP_013613951.1, XP_013639558.1, XP_013583287.1, XP_013589401.1, XP_013632536.1, XP_013589344.1, XP_013623591.1, XP_013622638.1, XP_013617271.1
OG0000021	Ag002G201670	XP_013624393.1, XP_013617068.1, XP_013624738.1, XP_013589283.1, XP_013608037.1, XP_013624679.1, XP_013589306.1, XP_013639486.1, XP_013624949.1, XP_013617230.1, XP_013601547.1, XP_013588986.1, XP_013595068.1, XP_013608302.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013589269.1, XP_013608157.1, XP_013639673.1, XP_013595077.1
OG0000023	Ag006G545600, Ag006G549030	XP_013598807.1, XP_013598729.1, XP_013598703.1, XP_013598794.1, XP_013595256.1
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	XP_013634493.1, XP_013626010.1, XP_013631155.1, XP_013595250.1, XP_013626677.1
OG0000023	Ag002G145570, Ag002G145600	XP_013608009.1, XP_013618611.1
OG0000023	Ag002G145500	XP_013608654.1
OG0000023	Ag002G145450	XP_013617506.1
OG0000023	Ag006G545440	XP_013595103.1
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	XP_013623158.1, XP_013599965.1, XP_013599945.1, XP_013588839.1, XP_013595104.1
OG0000025	Ag003G230310	XP_013608214.1, XP_013597573.1, XP_013621193.1, XP_013597575.1, XP_013596721.1, XP_013608141.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013617023.1, XP_013619638.1, XP_013620896.1, XP_013615558.1, XP_013619743.1, XP_013619793.1
OG0000027	Ag007G580660	XP_013592438.1
