Orthogroup	Alyssum_gmelinii	Eutrema_salsugineum
OG0000000	Ag004G340890, Ag001G084200	XP_024011370.1, XP_024016564.1, XP_024009381.1, XP_024016539.1, XP_024009341.1
OG0000003	Ag007G617260	XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1
OG0000003	Ag004G365940	XP_024010571.1, XP_024010572.1
OG0000003	Ag001G046010	XP_024016373.1
OG0000003	Ag007G647490	XP_024014528.1, XP_024014499.1, XP_024006399.1, XP_024010472.1, XP_024016094.1, XP_024013092.1, XP_024009493.1, XP_024014542.1, XP_024015830.1, XP_024014507.1, XP_024016342.1, XP_024010922.1, XP_024009400.1, XP_024011364.1, XP_024011296.1, XP_024013060.1, XP_024004015.1, XP_024010544.1
OG0000004	Ag006G542780, Ag002G121010, Ag006G552510	XP_024004906.1
OG0000004	Ag004G374310	XP_024016239.1
OG0000004	Ag005G473260, Ag001G034430, Ag003G239450	XP_024006398.1
OG0000004	Ag005G427550	XP_024014264.1
OG0000005	Ag005G452100	XP_024010426.1, XP_024014307.1, XP_024014469.1, XP_024004940.1, XP_024007257.1, XP_024009950.1
OG0000005	Ag007G610690	XP_024016212.1, XP_024011403.1
OG0000005	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760	XP_024004860.1, XP_024006562.1
OG0000005	Ag006G527380	XP_006404467.1
OG0000005	Ag005G402580, Ag007G622540	XP_024004939.1
OG0000005	Ag001G040530	XP_024004039.1
OG0000005	Ag005G488800	XP_024006395.1
OG0000006	Ag005G455250	XP_024016122.1
OG0000008	Ag007G618290	XP_024014781.1
OG0000008	Ag001G044380, Ag008G677680, Ag004G365860	XP_024006483.1
OG0000008	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500	XP_024010377.1, XP_024010217.1
OG0000008	Ag001G015890	XP_024013173.1
OG0000008	Ag005G426820	XP_024009261.1
OG0000011	Ag008G699310	XP_024009191.1
OG0000011	Ag002G108600	XP_024013917.1, XP_024008814.1, XP_024007930.1, XP_024006802.1, XP_024014194.1, XP_024013859.1, XP_024013409.1, XP_024006835.1, XP_024005940.1, XP_024006093.1, XP_024004410.1, XP_024009931.1, XP_024006552.1
OG0000012	Ag007G638410	XP_024016167.1
OG0000012	Ag007G633420	XP_024013199.1
OG0000012	Ag003G250900	XP_024005031.1
OG0000012	Ag003G250910	XP_024016113.1
OG0000012	Ag001G058690, Ag008G683900, Ag008G670600, Ag005G428880	XP_024010417.1, XP_024004018.1
OG0000013	Ag006G559810	XP_024013108.1, XP_024013090.1
OG0000013	Ag004G396400, Ag004G380450	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1
