Orthogroup	Alyssum_gmelinii	Euclidium_syriacum
OG0000000	Ag007G637890, Ag001G032720, Ag008G692330, Ag002G155080, Ag008G696910, Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060	ESY7_g17009_DN2_SP0_c60.t1
OG0000002	Ag005G410720, Ag005G437270, Ag005G410710	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	Ag001G024370	ESY8_g60803_DN3_SP0_c6.t1
OG0000003	Ag005G408470	ESY1_g7388_DN1_SP0_c0.t1
OG0000003	Ag003G271610	ESY1_g7389_DN1_SP0_c0.t1, ESY33_g12634_DN2_SP0_c75.t1
OG0000005	Ag006G527380	ESY6_g47492_DN1_SP0_c0.t1
OG0000005	Ag005G402580, Ag007G622540	ESY6_g47366_DN1_SP0_c0.t1
OG0000005	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920	ESY1_g10225_DN1_SP0_c0.t1
OG0000005	Ag002G157300, Ag003G219140, Ag007G614800	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000005	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130	ESY11_g53352_DN1_SP0_c0.t1
OG0000007	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540, Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220, Ag003G269320	ESY7_g16535_DN2_SP0_c0.t1
OG0000007	Ag001G051310, Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1
OG0000007	Ag008G681210	ESY2_g36604_DN3_SP0_c0.t1
OG0000007	Ag003G235240, Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480, Ag005G466840, Ag007G581080, Ag002G197150, Ag006G545890, Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030	ESY19_g41595_DN1_SP0_c0.t1
OG0000007	Ag006G574510, Ag002G195530, Ag002G132070, Ag002G132800	ESY6_g47093_DN2_SP0_c0.t1
