Orthogroup	Alyssum_gmelinii	Capsella_rubella
OG0000000	Ag004G340890, Ag001G084200	XP_023639960.1
OG0000002	Ag005G410720	XP_023638855.1
OG0000003	Ag007G617260	XP_023639625.1
OG0000003	Ag003G271610	XP_023633682.1
OG0000003	Ag001G046010	XP_023643044.1
OG0000004	Ag008G684310	XP_023633818.1
OG0000004	Ag005G427550	XP_023644510.1, XP_023644490.1
OG0000004	Ag006G503330	XP_023639065.1, XP_023634340.1, XP_023639555.1, XP_023644538.1, XP_023634315.1, XP_023643231.1, XP_023633877.1, XP_023634308.1, XP_023644483.1, XP_023645887.1
OG0000005	Ag005G452100	XP_006292284.1
OG0000005	Ag007G622540	XP_023634342.1
OG0000006	Ag005G455250	XP_023641719.1, XP_023637544.1
OG0000007	Ag001G006450, Ag006G516390, Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030	XP_023637681.1
OG0000007	Ag002G132800	XP_023633451.1
OG0000008	Ag001G015890	XP_023638567.1, XP_023633352.1
OG0000013	Ag001G041140	XP_023644225.1
OG0000014	Ag008G691080	XP_023641911.1
OG0000015	Ag008G687430	XP_023633382.1
OG0000017	Ag005G432180, Ag001G042370	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1
OG0000017	Ag004G336140, Ag001G069670	XP_006279199.1
OG0000017	Ag002G124100, Ag004G375560, Ag001G050140	XP_023640323.1
OG0000017	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510, Ag002G182860	XP_006302668.2
OG0000018	Ag007G609170	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1
OG0000019	Ag005G436930	XP_023633409.1
OG0000019	Ag007G642200, Ag006G545350	XP_023638956.1
OG0000019	Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070	XP_023638031.1, XP_023643301.1
OG0000020	Ag005G440730	XP_023632591.1
OG0000023	Ag006G545600, Ag006G549030	XP_006284983.1
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	XP_023634683.1, XP_006283253.1
OG0000023	Ag002G145570, Ag002G145600	XP_006289355.2, XP_023635858.1, XP_006286462.1, XP_023635857.1
OG0000023	Ag002G145500	XP_006287218.1
OG0000023	Ag006G547270	XP_006285954.1
OG0000023	Ag006G545440	XP_023634688.1
OG0000023	Ag006G549060	XP_023634702.1
OG0000025	Ag003G230310	XP_023634475.1, XP_006281712.1
OG0000026	Ag013G741580	XP_023636110.1
OG0000027	Ag006G546200, Ag005G439390	XP_023644529.1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	XP_023634815.1, XP_023641328.1, XP_023644323.1, XP_023644233.1, XP_023642217.1, XP_023640355.1, XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000031	Ag001G078560, Ag004G386130	XP_006301297.1
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	XP_006306232.1
OG0000031	Ag002G111150, Ag002G107580	XP_023635463.1
OG0000031	Ag004G401670	XP_006301814.1, XP_023643559.1, XP_006302132.1
OG0000033	Ag006G547230, Ag006G549390	XP_006283285.1
OG0000033	Ag006G547260, Ag006G549410	XP_023634692.1
OG0000033	Ag006G543630, Ag006G543880	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1
OG0000033	Ag006G564890, Ag003G210460	XP_023634856.1
OG0000033	Ag006G548990	XP_023634701.1, XP_006283273.1, XP_006283145.1
OG0000033	Ag006G547380, Ag006G549570	XP_023635576.1
OG0000033	Ag002G130680, Ag002G130760	XP_006287210.1
OG0000034	Ag002G147590, Ag004G329060	XP_023635220.1
OG0000034	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930	XP_023636243.1
OG0000035	Ag007G589990	XP_023632757.1
OG0000035	Ag006G499210	XP_023641959.1
OG0000035	Ag007G590010	XP_006289868.2, XP_023636083.1, XP_023643229.1, XP_023643230.1
OG0000035	Ag005G405240, Ag002G183820	XP_023640388.1
OG0000035	Ag005G414840	XP_023640387.1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	XP_023640514.1
OG0000036	Ag004G310880	XP_023644496.1
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	XP_023636060.1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	XP_006296301.2
OG0000038	Ag001G003660	XP_023632850.1, XP_023645557.1, XP_023632853.1
OG0000038	Ag006G511550, Ag006G511600	XP_023635765.1
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	XP_023643364.1, XP_023637669.1, XP_023633084.1, XP_023636130.1
OG0000038	Ag003G279120	XP_023635611.1
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	XP_023637684.1, XP_023637652.1
OG0000038	Ag005G471060, Ag004G312700, Ag004G348120	XP_023643361.1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	XP_023642772.1
OG0000039	Ag004G347330, Ag007G622120	XP_023644219.1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	XP_023632886.1, XP_023632793.1, XP_006303634.1
OG0000040	Ag002G192690, Ag002G188830	XP_006300177.2, XP_006297854.1, XP_006297862.1, XP_006298407.2
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	XP_006293126.1
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	XP_023641336.1, XP_023642658.1, XP_006296044.1
OG0000042	Ag005G442270	XP_023640353.1
OG0000045	Ag002G197550, Ag008G703200	XP_023635342.1
OG0000046	Ag006G575430	XP_006286158.2, XP_023635662.1
OG0000046	Ag002G129690, Ag002G129740	XP_023643067.1
OG0000047	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	XP_023634337.1
OG0000047	Ag007G614620	XP_023638931.1
OG0000048	Ag005G486480	XP_006300074.1
OG0000048	Ag005G486490	XP_006298992.1
OG0000048	Ag005G486620, Ag005G486520	XP_006296650.2
OG0000050	Ag007G641850	XP_023634169.1
OG0000052	Ag004G301370, Ag004G301320	XP_006304062.1
OG0000052	Ag002G194170	XP_023640868.1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	XP_023640424.1
OG0000052	Ag002G194440, Ag002G194380	XP_023639525.1
OG0000055	Ag004G382900	XP_006301460.1
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	XP_023643438.1, XP_006301193.1, XP_006301052.1, XP_006301411.1, XP_006302254.2
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	XP_006290241.2, XP_023637455.1, XP_023644542.1
OG0000056	Ag002G121000, Ag006G542770	XP_023638967.1, XP_006282913.2
OG0000057	Ag005G459920	XP_023641570.1
OG0000057	Ag003G289060	XP_006300113.1, XP_006299228.1
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	XP_023644456.1
OG0000059	Ag002G103440, Ag002G122810, Ag006G522950	XP_023638041.1
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	XP_023634311.1
OG0000064	Ag003G295980	XP_023634774.1
OG0000066	Ag003G225470	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2
OG0000066	Ag002G125900	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	Ag005G407040, Ag005G407080, Ag005G407050	XP_006289556.2, XP_023637280.1
OG0000069	Ag002G200250	XP_023644311.1
OG0000071	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710	XP_006301047.2
OG0000071	Ag004G389390, Ag004G339910	XP_023646042.1, XP_023644298.1
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	XP_023643495.1, XP_023633300.1, XP_023634490.1, XP_023637389.1, XP_023634624.1, XP_023641886.1, XP_023633619.1, XP_023633613.1
OG0000073	Ag006G576040	XP_006282434.2
OG0000073	Ag003G212540	XP_023636310.1
OG0000073	Ag002G117280	XP_023638542.1
OG0000073	Ag002G120540	XP_023638545.1, XP_023634755.1
OG0000074	Ag005G402710	XP_023632781.1
OG0000074	Ag003G241560, Ag003G242310	XP_006306553.1, XP_006304377.2
OG0000074	Ag004G378820	XP_006296266.1, XP_006306462.1
OG0000074	Ag006G514000	XP_006306513.2
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	XP_006287874.1, XP_006296766.1
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	XP_006289118.1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2
OG0000076	Ag001G002030	XP_023639245.1, XP_023639087.1
OG0000077	Ag003G284880	XP_006282335.1, XP_023638987.1
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	XP_023634488.1
OG0000077	Ag003G294450	XP_006296170.1
OG0000077	Ag003G215720, Ag003G290220, Ag006G569300	XP_006286716.1
OG0000077	Ag006G508210	XP_023635517.1
OG0000077	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	XP_006285279.1
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	XP_006301199.1
OG0000077	Ag002G148310	XP_006283916.1
OG0000078	Ag002G136430	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1
OG0000079	Ag001G089200	XP_006291126.2
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	XP_006292365.1
OG0000080	Ag004G375350, Ag007G650150	XP_023640452.1
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	XP_023640829.1, XP_006286287.2
OG0000081	Ag005G451860, Ag005G452050	XP_023636904.1
OG0000082	Ag004G385590	XP_023642613.1
OG0000082	Ag004G351970	XP_023639594.1
OG0000084	Ag008G724370	XP_006295595.1, XP_006295861.1
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	XP_006295555.1, XP_006294228.1
OG0000086	Ag008G709530	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1
OG0000087	Ag008G723440	XP_006287738.1
OG0000087	Ag007G593840	XP_006294210.1
OG0000087	Ag008G728250, Ag001G052770	XP_006292748.1, XP_006291122.1
OG0000087	Ag007G609260	XP_006289933.1
OG0000087	Ag002G127940	XP_006281513.1
OG0000087	Ag006G562620	XP_006283733.1
OG0000087	Ag003G224140	XP_006302256.1
OG0000088	Ag007G581970	XP_023639002.1
OG0000088	Ag008G717820	XP_006279102.2, XP_023636467.1, XP_023635698.1
OG0000089	Ag007G603320	XP_006287952.1
OG0000089	Ag005G453100, Ag001G021310	XP_006297920.1
OG0000089	Ag002G193060	XP_006295821.1, XP_006295441.1
OG0000089	Ag005G471710	XP_006297921.1
OG0000089	Ag008G712440, Ag008G708620	XP_006282193.1, XP_006291307.1
OG0000090	Ag004G333760	XP_006304273.1
OG0000090	Ag003G223190	XP_006302938.1
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1
OG0000091	Ag008G666220	XP_023643686.1, XP_023633323.1
OG0000093	Ag001G087540	XP_006292664.2
OG0000093	Ag001G087410	XP_023638587.1
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1
OG0000093	Ag001G083700, Ag001G087310	XP_006292197.1
OG0000093	Ag001G086700, Ag001G086880, Ag001G086860, Ag001G086840	XP_006290426.1
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1
OG0000096	Ag002G102560	XP_006281971.1
OG0000096	Ag002G103120	XP_006281861.1
OG0000096	Ag004G310490	XP_006303212.2
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	XP_006288252.1
OG0000097	Ag002G130340, Ag002G130310, Ag002G129030	XP_023633387.1
OG0000097	Ag002G128740	XP_006288400.1
OG0000097	Ag002G128960	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	XP_006288542.1
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	XP_023637360.1, XP_023637436.1, XP_006301961.2
OG0000099	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920	XP_006300517.1
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	XP_023643964.1
OG0000100	Ag004G376980, Ag002G156660	XP_006295777.2
OG0000100	Ag003G219250, Ag002G132470, Ag004G384260, Ag008G659700	XP_023638959.1
OG0000100	Ag006G511060, Ag005G447890, Ag005G447820, Ag002G169660, Ag004G372650, Ag007G599450, Ag001G042170, Ag004G367770, Ag002G115440, Ag007G616750, Ag007G616790, Ag007G616760, Ag004G360540, Ag004G342380, Ag002G165560, Ag007G656360, Ag006G491540, Ag010G740030, Ag008G728470, Ag001G019470, Ag004G348390, Ag005G465130, Ag004G311540, Ag007G579500, Ag006G505390, Ag008G671960, Ag004G326810	XP_006279197.2
