Orthogroup	Cardamine_hirsuta	Brassica_oleracea
OG0000004	CARHR214930	XP_013601125.1, XP_013639798.1
OG0000004	CARHR142010	XP_013594493.1
OG0000005	CARHR145720	XP_013608026.1, XP_013639201.1, XP_013635062.1
OG0000005	CARHR160220	XP_013615524.1
OG0000005	CARHR077050	XP_013595203.1
OG0000005	CARHR248000	XP_013583375.1
OG0000006	CARHR180980, CARHR287750	XP_013634604.1
OG0000006	CARHR054390	XP_013594580.1
OG0000006	CARHR216040	XP_013607658.1
OG0000006	CARHR057030, CARHR032440, CARHR271650, CARHR060220, CARHR286510, CARHR024460, CARHR221620	XP_013632912.1
OG0000006	CARHR055190, CARHR182530	XP_013639708.1
OG0000006	CARHR060230	XP_013594807.1
OG0000006	CARHR257440	XP_013633894.1
OG0000006	CARHR257960, CARHR154010	XP_013603784.1, XP_013635455.1
OG0000006	CARHR128850, CARHR262650, CARHR183200	XP_013632908.1
OG0000006	CARHR214540	XP_013617071.1
OG0000007	CARHR166210, CARHR219900, CARHR219240	XP_013624151.1
OG0000008	CARHR101910	XP_013617727.1
OG0000008	CARHR217630	XP_013629664.1
OG0000008	CARHR293430	XP_013624474.1
OG0000008	CARHR103530	XP_013624694.1
OG0000008	CARHR115010	XP_013639167.1, XP_013633438.1, XP_013594703.1, XP_013639704.1, XP_013583429.1, XP_013612199.1, XP_013594705.1, XP_013615146.1
OG0000008	CARHR217880, CARHR291920, CARHR221030	XP_013583252.1
OG0000008	CARHR161300, CARHR161310, CARHR161290	XP_013601615.1
OG0000008	CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860	XP_013615550.1
OG0000008	CARHR286130, CARHR178960, CARHR119350, CARHR214330	XP_013632335.1
OG0000011	CARHR032710	XP_013601212.1
OG0000011	CARHR256470	XP_013626733.1
OG0000011	CARHR130420	XP_013623455.1, XP_013613506.1, XP_013626439.1, XP_013624793.1, XP_013611088.1, XP_013608356.1, XP_013631748.1, XP_013617763.1, XP_013624952.1, XP_013632469.1, XP_013623757.1, XP_013624389.1, XP_013639143.1, XP_013608057.1, XP_013617337.1, XP_013624348.1, XP_013601625.1, XP_013608173.1, XP_013583440.1, XP_013617074.1, XP_013594278.1, XP_013612972.1, XP_013639372.1, XP_013633419.1, XP_013589462.1, XP_013608370.1, XP_013607434.1, XP_013617725.1, XP_013594932.1, XP_013589147.1, XP_013632620.1, XP_013617879.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013632664.1, XP_013632853.1
OG0000011	CARHR032700	XP_013614955.1, XP_013607737.1
OG0000013	CARHR259710, CARHR057870, CARHR288340	XP_013588988.1, XP_013639825.1, XP_013613873.1, XP_013639384.1, XP_013624350.1, XP_013624337.1, XP_013614093.1, XP_013639725.1, XP_013623409.1, XP_013617535.1, XP_013617458.1, XP_013607647.1, XP_013608217.1, XP_013623904.1, XP_013629211.1, XP_013594639.1, XP_013594911.1, XP_013594459.1, XP_013617598.1
OG0000013	CARHR116230, CARHR285000	XP_013594402.1, XP_013589207.1, XP_013624745.1, XP_013614182.1, XP_013633322.1, XP_013624288.1, XP_013639469.1, XP_013607795.1, XP_013615454.1, XP_013617043.1, XP_013632491.1, XP_013632712.1, XP_013632577.1
OG0000015	CARHR258200	XP_013614071.1
OG0000015	CARHR055900	XP_013632591.1, XP_013601204.1, XP_013613391.1, XP_013614315.1, XP_013615211.1, XP_013594601.1, XP_013615204.1, XP_013634793.1, XP_013615599.1
OG0000017	CARHR213120	XP_013632836.1, XP_013585421.1
OG0000017	CARHR049310, CARHR034150	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1
OG0000019	CARHR218510	XP_013607551.1, XP_013617429.1, XP_013619335.1, XP_013627832.1
OG0000019	CARHR259400	XP_013639582.1
OG0000020	CARHR159320, CARHR180190	XP_013638158.1
OG0000020	CARHR217640, CARHR108030	XP_013617329.1
OG0000023	CARHR057450	XP_013598807.1
OG0000023	CARHR230660	XP_013598729.1, XP_013598703.1, XP_013598794.1
OG0000023	CARHR230630	XP_013595256.1
OG0000023	CARHR230470, CARHR230480, CARHR230450	XP_013598658.1
OG0000023	CARHR230460	XP_013595247.1
OG0000023	CARHR230510	XP_013631155.1
OG0000023	CARHR230500	XP_013595250.1, XP_013626677.1
OG0000023	CARHR255010	XP_013624060.1
OG0000023	CARHR255050	XP_013608009.1
OG0000023	CARHR255080, CARHR264010	XP_013623631.1
OG0000023	CARHR255040	XP_013608654.1
OG0000023	CARHR230410	XP_013595244.1
OG0000023	CARHR254870	XP_013617506.1
OG0000023	CARHR230390, CARHR230400	XP_013625142.1
OG0000023	CARHR230300	XP_013588839.1
OG0000023	CARHR230640	XP_013595104.1
OG0000023	CARHR230440	XP_013598637.1
OG0000025	CARHR220000	XP_013608214.1
OG0000025	CARHR104940, CARHR242960	XP_013597573.1, XP_013621193.1, XP_013597575.1, XP_013596721.1, XP_013608141.1
OG0000025	CARHR267660, CARHR267520	XP_013619743.1, XP_013619793.1
OG0000025	CARHR242590, CARHR242640, CARHR030090, CARHR030060	XP_013629798.1, XP_013624984.1, XP_013609443.1, XP_013625644.1, XP_013629713.1, XP_013626427.1
OG0000025	CARHR267700	XP_013617015.1, XP_013617014.1
OG0000025	CARHR244240	XP_013614695.1, XP_013624780.1, XP_013624779.1
OG0000025	CARHR203520, CARHR028780	XP_013636546.1
OG0000026	CARHR215490	XP_013624177.1
OG0000027	CARHR112760	XP_013592438.1
OG0000027	CARHR045190	XP_013624897.1
OG0000027	CARHR062310	XP_013632478.1
OG0000027	CARHR168020, CARHR167830	XP_013605203.1
OG0000028	CARHR153130, CARHR056480	XP_013639720.1
OG0000028	CARHR116610, CARHR153140	XP_013639737.1, XP_013594720.1, XP_013614958.1, XP_013615262.1
OG0000029	CARHR154270	XP_013632493.1
OG0000029	CARHR287350	XP_013613615.1
OG0000029	CARHR006250	XP_013589292.1
OG0000030	CARHR181500	XP_013639621.1
OG0000030	CARHR285900	XP_013632400.1
OG0000031	CARHR048810, CARHR051050, CARHR049170	XP_013606456.1
OG0000031	CARHR013000	XP_013601047.1
OG0000031	CARHR012910	XP_013604688.1
OG0000031	CARHR196550	XP_013611057.1
OG0000031	CARHR213210	XP_013635968.1
OG0000031	CARHR091960	XP_013609571.1
OG0000031	CARHR234420	XP_013590021.1
OG0000031	CARHR049120	XP_013606166.1
OG0000031	CARHR046360, CARHR046370	XP_013603447.1
OG0000032	CARHR257880	XP_013613572.1, XP_013624575.1, XP_013614080.1, XP_013601233.1, XP_013639614.1, XP_013639583.1, XP_013628856.1, XP_013601190.1, XP_013594416.1, XP_013613732.1, XP_013614878.1, XP_013594344.1, XP_013594348.1, XP_013594346.1, XP_013601121.1, XP_013639714.1, XP_013588883.1, XP_013624431.1, XP_013613700.1, XP_013617583.1, XP_013624583.1, XP_013633404.1, XP_013594495.1, XP_013594509.1, XP_013632795.1, XP_013594571.1, XP_013589247.1, XP_013624590.1, XP_013639711.1, XP_013624577.1, XP_013601163.1, XP_013624607.1, XP_013594469.1, XP_013594345.1, XP_013594494.1, XP_013632837.1
OG0000033	CARHR230270, CARHR230290	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1
OG0000033	CARHR289950	XP_013594180.1, XP_013598071.1
OG0000033	CARHR106160	XP_013616655.1, XP_013611706.1
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	XP_013598676.1, XP_013598684.1
OG0000033	CARHR230230	XP_013593131.1, XP_013626222.1
OG0000033	CARHR230600	XP_013624956.1
OG0000033	CARHR252350	XP_013607897.1
OG0000035	CARHR054750	XP_013634025.1
OG0000035	CARHR261700, CARHR261660	XP_013624477.1
OG0000037	CARHR220930	XP_013628097.1
OG0000038	CARHR232240	XP_013633414.1
OG0000040	CARHR223790	XP_013632678.1
OG0000040	CARHR088870	XP_013614569.1, XP_013634175.1, XP_013633602.1, XP_013584822.1
OG0000040	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440	XP_013615698.1, XP_013593493.1
OG0000040	CARHR059990, CARHR060010, CARHR134370	XP_013615042.1
OG0000043	CARHR218450	XP_013639561.1
OG0000043	CARHR288230	XP_013607944.1
OG0000043	CARHR221160, CARHR034710, CARHR057830, CARHR284340, CARHR219040, CARHR182000, CARHR104410, CARHR218070, CARHR153240	XP_013615328.1, XP_013624645.1, XP_013624682.1
OG0000044	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR057390, CARHR183570, CARHR116100, CARHR107370	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
