Orthogroup	Cardamine_hirsuta	Alyssum_gmelinii
OG0000004	CARHR254290, CARHR228880, CARHR214930, CARHR142010	Ag005G427550
OG0000005	CARHR145720	Ag008G703520
OG0000005	CARHR055780, CARHR114650, CARHR153540	Ag005G452100
OG0000005	CARHR160220	Ag007G610690
OG0000005	CARHR248000	Ag007G622540
OG0000007	CARHR034550	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540
OG0000008	CARHR111800, CARHR114980	Ag002G148400
OG0000008	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770	Ag005G430580
OG0000008	CARHR215020, CARHR181140, CARHR034850	Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500
OG0000008	CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290, CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860, CARHR286130, CARHR178960, CARHR119350, CARHR214330	Ag001G015890
OG0000013	CARHR116230, CARHR285000	Ag001G041140
OG0000015	CARHR258200	Ag008G676660
OG0000015	CARHR055900	Ag008G687430
OG0000019	CARHR218510	Ag003G276070
OG0000019	CARHR259400	Ag006G545360
OG0000020	CARHR159350, CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR287070	Ag005G440730
OG0000020	CARHR266450, CARHR035020, CARHR108040, CARHR158140	Ag006G521270
OG0000020	CARHR284240	Ag007G652270
OG0000023	CARHR057450, CARHR230660, CARHR230630	Ag006G545600, Ag006G549030
OG0000023	CARHR230510, CARHR230500	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	CARHR255070, CARHR255050	Ag002G145570, Ag002G145600
OG0000023	CARHR255040	Ag002G145500
OG0000023	CARHR254870	Ag002G145450
OG0000023	CARHR230390, CARHR230400	Ag006G547270
OG0000023	CARHR230300, CARHR230640	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000025	CARHR100780, CARHR220000, CARHR100770, CARHR248330, CARHR028790, CARHR267510, CARHR104940, CARHR242960, CARHR267690, CARHR267660, CARHR267520	Ag003G230310
OG0000027	CARHR052850	Ag005G463660
OG0000027	CARHR213730	Ag006G546200, Ag005G439390
OG0000027	CARHR112760	Ag007G580660
OG0000028	CARHR116610, CARHR153140	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	CARHR154270	Ag006G523440
OG0000029	CARHR006310	Ag004G375950
OG0000029	CARHR287350	Ag005G441680, Ag006G519730
OG0000029	CARHR213600	Ag003G258710
OG0000030	CARHR181500	Ag002G145320, Ag008G659630, Ag006G491030
OG0000030	CARHR262520	Ag008G670610
OG0000030	CARHR103350	Ag002G201000, Ag003G292120
OG0000030	CARHR260310, CARHR154720	Ag001G021090, Ag003G292130, Ag005G430740
OG0000031	CARHR048190, CARHR051150, CARHR047980	Ag001G078560, Ag004G386130
