Orthogroup	Cardamine_hirsuta	Arabis_alpina
OG0000005	CARHR217600	Aa_G122060.h1.t1
OG0000005	CARHR034120, CARHR056420	Aa_G430190.h1.t1
OG0000006	CARHR055800, CARHR054390, CARHR099640, CARHR216040, CARHR029270, CARHR266880, CARHR156020	Aa_G596260.h1.t1
OG0000006	CARHR183870	Aa_G70820.h1.t1
OG0000006	CARHR100290	Aa_G508230.h1.t1
OG0000007	CARHR034550, CARHR166210, CARHR219900, CARHR219240	Aa_G60120.h1.t1
OG0000008	CARHR217880, CARHR291920, CARHR221030, CARHR161340, CARHR161350, CARHR161300, CARHR161310, CARHR161290	Aa_G302250.h1.t1
OG0000011	CARHR190160	Aa_G727670.h1.t1
OG0000013	CARHR259710, CARHR057870, CARHR288340	Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1
OG0000015	CARHR110600	Aa_G522550.h1.t1
OG0000019	CARHR218510	Aa_G396980.h1.t1, Aa_G103560.h1.t1, Aa_G277650.h1.t1
OG0000020	CARHR159350	Aa_G1000.h1.t1
OG0000020	CARHR287070	Aa_G209100.h1.t1
OG0000020	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050, CARHR217640, CARHR108030, CARHR289940, CARHR154170, CARHR101900, CARHR057520, CARHR158150, CARHR284230	Aa_G907350.h1.t1
OG0000023	CARHR230470, CARHR230480, CARHR230450, CARHR230460	Aa_G200970.h1.t1
OG0000023	CARHR230500	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1
OG0000023	CARHR255010	Aa_G561100.h1.t1
OG0000023	CARHR254960, CARHR254930	Aa_G847400.h1.t1, Aa_G200860.h1.t1, Aa_G522580.h1.t1
OG0000023	CARHR230410	Aa_G200950.h1.t1, Aa_G200910.h1.t1
OG0000023	CARHR254870	Aa_G597270.h1.t1
OG0000023	CARHR230390, CARHR230400	Aa_G200900.h1.t1
OG0000023	CARHR055330	Aa_G191740.h1.t1
OG0000025	CARHR100780, CARHR220000, CARHR100770, CARHR248330, CARHR028790, CARHR267510, CARHR104940, CARHR242960, CARHR267690, CARHR267660, CARHR267520	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000025	CARHR269260, CARHR269250, CARHR203510, CARHR244240, CARHR242060, CARHR285330, CARHR203520, CARHR028780, CARHR257940, CARHR100760	Aa_G553200.h1.t1
OG0000027	CARHR045190	Aa_G230140.h1.t1
OG0000027	CARHR168020, CARHR167830	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000028	CARHR153130, CARHR056480	Aa_G248570.h1.t1
OG0000028	CARHR116610, CARHR153140	Aa_G988890.h1.t1, Aa_G637980.h1.t1, Aa_G288600.h1.t1
OG0000029	CARHR287350	Aa_G154360.h1.t1
OG0000029	CARHR287660	Aa_G302660.h1.t1
OG0000029	CARHR099970	Aa_G160180.h1.t1
OG0000030	CARHR181500	Aa_G316320.h1.t1, Aa_G67230.h1.t1
OG0000030	CARHR262520	Aa_G76670.h1.t1
OG0000030	CARHR258550, CARHR116060, CARHR260310, CARHR154720	Aa_G500830.h1.t1
OG0000031	CARHR048190, CARHR051150, CARHR047980	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1
OG0000031	CARHR012910	Aa_G291980.h1.t1, Aa_G291990.h1.t1
OG0000031	CARHR048220	Aa_G319760.h1.t1
OG0000031	CARHR196550	Aa_G447870.h1.t1
OG0000031	CARHR091960	Aa_G97120.h1.t1
OG0000032	CARHR257880	Aa_G631350.h1.t1, Aa_G432170.h1.t1, Aa_G586180.h1.t1, Aa_G177110.h1.t1, Aa_G288650.h1.t1, Aa_G240420.h1.t1, Aa_G153590.h1.t1, Aa_G492670.h1.t1
OG0000033	CARHR230270, CARHR230290	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	CARHR230320, CARHR230240, CARHR055320	Aa_G191730.h1.t1
OG0000033	CARHR230360	Aa_G144980.h1.t1
OG0000033	CARHR230210	Aa_G191710.h1.t1
OG0000033	CARHR289950	Aa_G58920.h1.t1
OG0000033	CARHR228000	Aa_G317970.h1.t1, Aa_G317980.h1.t1
OG0000033	CARHR254860	Aa_G917140.h1.t1
OG0000033	CARHR254900	Aa_G200960.h1.t1, Aa_G522590.h1.t1
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	Aa_G474070.h1.t1, Aa_G92800.h1.t1
OG0000033	CARHR230200, CARHR230230	Aa_G191690.h1.t1
OG0000033	CARHR230600, CARHR230550	Aa_G92840.h1.t1
OG0000033	CARHR255000, CARHR230610	Aa_G191750.h1.t1
OG0000035	CARHR207670	Aa_G43710.h1.t1
OG0000038	CARHR141500	Aa_G525570.h1.t1
OG0000038	CARHR024990	Aa_G470970.h1.t1
OG0000038	CARHR174900, CARHR175950	Aa_G344370.h1.t1
OG0000038	CARHR232240	Aa_G340620.h1.t1
OG0000040	CARHR158530	Aa_G243430.h1.t1
OG0000040	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440	Aa_G152820.h1.t1
OG0000040	CARHR158510, CARHR158520	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000041	CARHR104160	Aa_G262080.h1.t1, Aa_G56940.h1.t1
OG0000044	CARHR117470	Aa_G675110.h1.t1
OG0000046	CARHR263410	Aa_G120780.h1.t1, Aa_G120790.h1.t1
OG0000046	CARHR214320	Aa_G369740.h1.t1
OG0000046	CARHR059260, CARHR059160, CARHR059270, CARHR059250, CARHR059140, CARHR059070, CARHR059130, CARHR059080, CARHR059360, CARHR263420	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000046	CARHR214400, CARHR214430	Aa_G439610.h1.t1
