Orthogroup	Cardamine_hirsuta	Arabidopsis_lyrata_Rawat
OG0000004	CARHR214930	AL47U10020, AL3G43540, AL3G50410
OG0000005	CARHR145720	AL6G36520
OG0000005	CARHR114650	AL9U10020
OG0000005	CARHR160220	AL5G21470, AL5G14390
OG0000005	CARHR217600	AL8G23160
OG0000005	CARHR091740	AL3G41770
OG0000005	CARHR034120, CARHR056420	AL8G42570
OG0000005	CARHR248000	AL6G49130
OG0000006	CARHR180980, CARHR287750, CARHR216870, CARHR256390, CARHR115290, CARHR262640	AL1G53130
OG0000006	CARHR052910, CARHR117490, CARHR293410, CARHR184100, CARHR216900, CARHR128840	AL3G47390
OG0000006	CARHR180780	AL8G17620
OG0000006	CARHR055190, CARHR182530	AL8G24640
OG0000006	CARHR258710	AL9U10810
OG0000006	CARHR060230	AL4G24120
OG0000008	CARHR103540	AL5G20470
OG0000008	CARHR161340, CARHR161350	AL5G32180
OG0000008	CARHR161300, CARHR161310, CARHR161290	AL5G32150, AL5G32140
OG0000011	CARHR190150, CARHR151420, CARHR057040	AL8G16700
OG0000011	CARHR130420	AL2G23040, AL4G33280, AL5G24930, AL5G42550, AL3G31820, AL1G61200
OG0000013	CARHR218430, CARHR058120, CARHR259710, CARHR057870, CARHR288340	AL3G45620
OG0000013	CARHR116230, CARHR285000	AL3G54050
OG0000015	CARHR055900	AL3G46060
OG0000017	CARHR049310, CARHR034150	AL1G18490, AL6G44340, AL6G44350, AL4G18270, AL5G11530, AL4G19490, AL5G20700, AL6G46630
OG0000019	CARHR218510	AL6G32670, AL8G22980
OG0000020	CARHR266450, CARHR035020, CARHR108040, CARHR158140, CARHR287680, CARHR287700, CARHR266460	AL4G17980
OG0000023	CARHR230510	AL7G30160
OG0000023	CARHR230500	AL7G30170
OG0000023	CARHR255010	AL6G46000
OG0000023	CARHR255070	AL6G45930
OG0000023	CARHR255040	AL6G45970
OG0000023	CARHR254960, CARHR254930	AL6G46030
OG0000023	CARHR254870	AL1G66280
OG0000023	CARHR254920	AL6G46070
OG0000023	CARHR230390, CARHR230400	AL7G30270
OG0000023	CARHR230300	AL7G30280
OG0000023	CARHR230440	AL7G30260
OG0000025	CARHR100780	AL7G42840
OG0000025	CARHR220000	AL594U10010
OG0000025	CARHR030080	AL2G24370
OG0000025	CARHR268630	AL8G30820, AL236U10020
OG0000025	CARHR267830	AL8G29920
OG0000025	CARHR267700	AL8G28780, AL8G29950
OG0000025	CARHR269260	AL8G29750
OG0000025	CARHR269250	AL8G29760
OG0000025	CARHR242060	AL5G44140
OG0000027	CARHR030460, CARHR030420, CARHR030890, CARHR031230	AL4G16470
OG0000027	CARHR174240	AL1G45540, AL1G45230, AL1G45550, AL1G45590, nbis-gene-188
OG0000027	CARHR113190	AL1G46260, AL1G46270, AL1G47320
OG0000027	CARHR031540	AL1G45530
OG0000027	CARHR045190	AL1G45210
OG0000027	CARHR062310	AL3G45420, AL4G35160
OG0000027	CARHR168020	AL5G23680
OG0000027	CARHR167830	AL5G39160, AL5G38280
OG0000028	CARHR153130	AL3G41570
OG0000028	CARHR116610, CARHR153140	nbis-gene-1243
OG0000029	CARHR176810	AL26U10050
OG0000029	CARHR006310	AL7G44460
OG0000030	CARHR181500	AL1G54660
OG0000030	CARHR102250, CARHR289810	AL172U10010, AL4G17860
OG0000030	CARHR260310	AL8G23430, AL4G17850
OG0000031	CARHR048440, CARHR047970	AL2G12780, AL2G12460, AL2G11490
OG0000031	CARHR048810, CARHR051050	AL2G12470
OG0000031	CARHR049170	AL2G13120
OG0000031	CARHR048190, CARHR051150	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840
OG0000031	CARHR013000	AL1G24380, AL1G24190
OG0000031	CARHR196550	AL6G27650
OG0000031	CARHR213210	AL7G48260
OG0000031	CARHR091960	AL3G29640
OG0000031	CARHR049120	AL2G13070
OG0000031	CARHR046360	AL2G10190
OG0000031	CARHR046370	AL2G10200
OG0000033	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060	AL7G32680
OG0000033	CARHR289950	AL7G32670
OG0000033	CARHR254900	AL7G30250, AL7G30210
OG0000033	CARHR230200	AL7G30350
OG0000033	CARHR230230	AL7G30310
OG0000033	CARHR230600, CARHR230550, CARHR255000, CARHR230610	AL5G24540
OG0000033	CARHR252350	AL6G48800
OG0000035	CARHR207670	nbis-gene-779
OG0000035	CARHR126110	AL2G14000, AL2G14020
OG0000035	CARHR042940	AL1G62520
OG0000035	CARHR171670, CARHR219290	AL5G43600
OG0000038	CARHR141500	AL2G12050
OG0000038	CARHR024990	AL1G38800, AL1G38860
OG0000038	CARHR158480, CARHR158470, CARHR158440	nbis-gene-1329
OG0000038	CARHR265450	AL8G26900
OG0000038	CARHR174900, CARHR175950	AL1G14840
OG0000038	CARHR178840	AL8G15660
OG0000040	CARHR025790	AL1G39630
OG0000040	CARHR162370	AL1G35700
OG0000040	CARHR260760, CARHR260790	AL3G27510
OG0000040	CARHR154640	AL5G24990
OG0000040	CARHR088870	AL3G24770, AL3G25930, AL3G25710, AL3G25690
OG0000040	CARHR026350	nbis-gene-1830
OG0000040	CARHR158510, CARHR158520	AL5G29320, AL5G29310, AL5G29340
OG0000041	CARHR260230, CARHR034730	AL7G44740
OG0000044	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760	AL5G16920, AL7G43910, AL3G42580
OG0000046	CARHR263410	AL7G51420
OG0000046	CARHR214340	AL7G52590
OG0000046	CARHR225000, CARHR225010	nbis-gene-1820
OG0000046	CARHR059270	AL2G25210
OG0000046	CARHR059250	AL2G25320
OG0000046	CARHR059080	AL2G25180, AL2G25200
OG0000048	CARHR077950	AL3G13680
OG0000048	CARHR112070	AL4G10310
OG0000048	CARHR195030, CARHR195060, CARHR194990	AL6G29190, AL6G29180
OG0000052	CARHR002800	AL1G20340
OG0000052	CARHR137510	AL4G40940
OG0000052	CARHR127280	AL4G40920, AL4G40910, AL4G40930
OG0000052	CARHR137530	AL4G40960
OG0000053	CARHR152130, CARHR102470, CARHR286550	AL8G40920, AL2G10380, AL1G59190, AL7G34190
OG0000054	CARHR056490	AL5G18550, nbis-gene-807
OG0000055	CARHR050220	AL2G13390, AL2G13990
OG0000055	CARHR155600	AL5G26170
OG0000055	CARHR050320	AL2G14100
OG0000055	CARHR049970	AL2G13770
OG0000055	CARHR050060	AL1G66000
OG0000055	CARHR049980, CARHR050290, CARHR050280	AL2G14070
OG0000055	CARHR050160	AL2G14080
OG0000056	CARHR153090	AL6G44140, AL8G19010, AL8G19360
OG0000057	CARHR213520	AL6G52510
OG0000057	CARHR111010	AL3G53160, AL3G53140
OG0000057	CARHR092150, CARHR092000	AL3G29670
OG0000057	CARHR092620, CARHR092630	AL3G30370
OG0000057	CARHR094260	AL3G38080
OG0000057	CARHR092560, CARHR092720	AL3G30470
OG0000057	CARHR090170	AL5G27570, AL2G18120
OG0000057	CARHR127660, CARHR214390	AL3G28670
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	nbis-gene-725, AL3G41130
OG0000061	CARHR264280	AL8G29100, AL1G31420, AL8G26420, AL6G33330
OG0000062	CARHR218140, CARHR115840, CARHR100910	nbis-gene-221
OG0000062	CARHR256350	AL8G14210, AL1G57050, AL5G16890, AL1G58670, AL1G58560, AL4G20020, AL7G36270, AL1G30000, AL5G27080, AL3G51940
OG0000063	CARHR273610	AL5G34700
OG0000063	CARHR154770	AL8G36540
OG0000063	CARHR121870	AL1G17860, AL5G24600, AL4G23280, AL8G36210
OG0000064	CARHR247830	AL7G10840
OG0000064	CARHR127180, CARHR260300	AL4G29500
OG0000064	CARHR176370	AL8G13050
OG0000066	CARHR069000, CARHR096450, CARHR058350	AL2G35580
OG0000066	CARHR068990	AL2G35590
OG0000066	CARHR202310	AL6G21580
OG0000066	CARHR009160, CARHR202900, CARHR202910, CARHR279320	AL6G20900
