Orthogroup	Cardamine_hirsuta	Arabidopsis_arenosa
OG0000005	CARHR145720	jg19324, jg12452
OG0000008	CARHR101910	jg27185
OG0000008	CARHR161340, CARHR161350	jg15069, jg15062, jg15057, jg15054
OG0000011	CARHR130420	jg14895, jg31555
OG0000011	CARHR060340	jg27473, jg29119
OG0000011	CARHR032700	jg27079
OG0000015	CARHR258200	jg11869
OG0000017	CARHR213120	jg6883
OG0000017	CARHR049310, CARHR034150	jg2142, jg6884, jg1901, jg1479, jg11614, jg32221, jg11780, jg21044, jg1480, jg14690, jg6982
OG0000018	CARHR146600	jg701, jg1978, jg32225, jg20321
OG0000019	CARHR218510	jg33383, jg21637, jg13651, jg26287
OG0000019	CARHR259400	jg13840
OG0000020	CARHR287070	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520
OG0000020	CARHR266450, CARHR035020, CARHR108040, CARHR158140, CARHR287680, CARHR287700	jg27186
OG0000023	CARHR057450	jg10174
OG0000023	CARHR230470, CARHR230480	jg10189, jg10184
OG0000023	CARHR230450	jg10183
OG0000023	CARHR230510	jg10181
OG0000023	CARHR255010	jg7523
OG0000023	CARHR255070	jg7517, jg7516
OG0000023	CARHR255040	jg7521
OG0000023	CARHR254870	jg7533, jg7537, jg7530
OG0000023	CARHR230390, CARHR230400	jg10191
OG0000023	CARHR230300	jg10192
OG0000023	CARHR230440	jg10190
OG0000023	CARHR230350	jg10187
OG0000023	CARHR055330	jg10199
OG0000025	CARHR100780	jg22442, jg11446
OG0000025	CARHR220000	jg22446, jg22952, jg22443, jg22441
OG0000025	CARHR100770, CARHR248330, CARHR028790	jg22353
OG0000025	CARHR267520	jg22219
OG0000025	CARHR242590, CARHR242640, CARHR030090, CARHR030060	jg8946, jg8944
OG0000025	CARHR268630	jg22427, jg22428
OG0000025	CARHR267830	jg22259
OG0000025	CARHR267840	jg22445
OG0000025	CARHR267700	jg22262, jg22279, jg22270, jg22269, jg22278, jg22242
OG0000025	CARHR269260	jg22236
OG0000025	CARHR269250	jg22237
OG0000025	CARHR203510	jg29584
OG0000025	CARHR244240	jg8748
OG0000025	CARHR242060	jg23436, jg23431, jg23430, jg23437, jg23433
OG0000027	CARHR030460, CARHR030420, CARHR030890, CARHR031230	jg17071
OG0000027	CARHR126510, CARHR030870	jg31673
OG0000027	CARHR174240	jg31709, jg31711, jg31710, jg31713
OG0000027	CARHR113190	jg31855, jg31856, jg31953, jg31952
OG0000027	CARHR031540	jg31708
OG0000027	CARHR213730	jg33002, jg33003
OG0000027	CARHR062310	jg31665, jg31668, jg27402, jg18984
OG0000027	CARHR168020	jg14278
OG0000027	CARHR167830	jg15770, jg15695, jg15696
OG0000028	CARHR116610, CARHR153140	jg21311, jg32932, jg1778
OG0000029	CARHR287660	jg1946
OG0000029	CARHR213600	jg17949
OG0000030	CARHR181500	jg32380, jg32294, jg33373, jg6978, jg12236, jg6977
OG0000030	CARHR260310	jg2222
OG0000030	CARHR154720	jg2223
OG0000031	CARHR048440, CARHR047970	jg611, jg588, jg582, jg580
OG0000031	CARHR048810, CARHR051050	jg645, jg586, jg583, jg572
OG0000031	CARHR049170	jg642
OG0000031	CARHR048190, CARHR051150	jg618, jg613, jg617, jg616, jg643
OG0000031	CARHR013000	jg29724
OG0000031	CARHR012910	jg29711
OG0000031	CARHR048220	jg29675
OG0000031	CARHR196550	jg5495
OG0000031	CARHR213210	jg12744
OG0000031	CARHR091960	jg25741
OG0000031	CARHR234420	jg9770
OG0000031	CARHR049120	jg638
OG0000031	CARHR046360	jg372
OG0000033	CARHR230290	jg10203, jg10197
OG0000033	CARHR230320	jg10186
OG0000033	CARHR230240, CARHR055320	jg10200
OG0000033	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060	jg10426
OG0000033	CARHR289950	jg10425
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	jg10177
OG0000033	CARHR230200	jg10208
OG0000033	CARHR230230	jg10195, jg10202
OG0000033	CARHR252350	jg7784
OG0000035	CARHR125800	jg18270
OG0000035	CARHR125110	jg18207, jg18210
OG0000035	CARHR126110	jg740
OG0000035	CARHR042940	jg33607
OG0000035	CARHR261660	jg12649
OG0000035	CARHR171670, CARHR219290	jg16185
OG0000035	CARHR127720	jg18469
OG0000038	CARHR141500	jg549
OG0000038	CARHR024990	jg31063, jg31071, jg31062, jg31070, jg31999, jg31068, jg31060
OG0000038	CARHR158480, CARHR158470, CARHR158440	jg14792
OG0000038	CARHR222700	jg14795, jg11019
OG0000038	CARHR265450	jg21941
OG0000038	CARHR174900, CARHR175950	jg28841
OG0000038	CARHR178840	jg20757, jg20756
OG0000040	CARHR162370	jg30787
OG0000040	CARHR260760, CARHR260790	jg25536
OG0000040	CARHR223790	jg25347
OG0000040	CARHR088850	jg11085
OG0000040	CARHR088870	jg25272, jg738, jg25360
OG0000040	CARHR158510, CARHR158520	jg14799, jg17824, jg14802, jg14804, jg1537
OG0000040	CARHR088150	jg25377, jg1071
OG0000040	CARHR059990, CARHR060010	jg2274
OG0000041	CARHR260230, CARHR034730, CARHR104160	jg6878
OG0000044	CARHR117470	jg1572, jg21339, jg1555
OG0000044	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760	jg13501, jg20886
OG0000044	CARHR057390, CARHR183570, CARHR116100, CARHR107370	jg12140
OG0000046	CARHR263410	jg12463, jg12464
OG0000046	CARHR214350	jg12335, jg12333
OG0000046	CARHR214340	jg12337
OG0000046	CARHR225000, CARHR225010	jg10780
OG0000046	CARHR059320, CARHR059230, CARHR124320	jg2154
OG0000046	CARHR059090	jg2192, jg2152
OG0000046	CARHR059270	jg2195
OG0000046	CARHR059250	jg2209, jg2212
OG0000046	CARHR059080	jg2188, jg2193
OG0000046	CARHR214430	jg6601
OG0000048	CARHR077940	jg24239
OG0000048	CARHR195020	jg5635, jg5646
OG0000048	CARHR112070	jg16525
OG0000048	CARHR195030, CARHR195060, CARHR194990	jg5639, jg5648
OG0000048	CARHR195040	jg5640
OG0000052	CARHR002800	jg29349
OG0000052	CARHR137510	jg19555
OG0000052	CARHR127280	jg19551, jg19550, jg19552, jg19554, jg18423
OG0000052	CARHR137530	jg19558
OG0000052	CARHR137550, CARHR137540	jg19560
OG0000053	CARHR148640, CARHR293330, CARHR118340, CARHR151940	jg32414, jg31675
OG0000053	CARHR152130, CARHR102470, CARHR286550	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839
OG0000055	CARHR050220	jg674, jg739
OG0000055	CARHR155600	jg14491
OG0000055	CARHR050320	jg748
OG0000055	CARHR049970	jg721
OG0000055	CARHR050060	jg1420
OG0000055	CARHR049980, CARHR050290, CARHR050280	jg745
OG0000055	CARHR050160	jg746
OG0000056	CARHR153090	jg16912, jg12160, jg20957, jg21612, jg13720, jg21424
OG0000057	CARHR213520	jg8147
OG0000057	CARHR111010	jg28057, jg28058
