Orthogroup	Cardamine_hirsuta	Cardamine_glauca
OG0000005	CARHR017910	Cg007G268560
OG0000005	CARHR114650	Cg008G308830
OG0000005	CARHR248000	Cg005G185830
OG0000006	CARHR216050, CARHR096020, CARHR060330, CARHR271640, CARHR058320, CARHR060230, CARHR133710, CARHR054400, CARHR257440, CARHR221610, CARHR100290, CARHR029260, CARHR051850, CARHR156010	Cg006G206830
OG0000006	CARHR152010	Cg008G316770
OG0000006	CARHR214540	Cg004G148130
OG0000007	CARHR034550	Cg003G103180
OG0000008	CARHR111800, CARHR114980	Cg002G071170
OG0000008	CARHR103540	Cg007G263310
OG0000008	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770	Cg007G263320
OG0000008	CARHR161340, CARHR161350	Cg002G060890
OG0000008	CARHR161300, CARHR161310, CARHR161290	Cg002G055170
OG0000013	CARHR183500, CARHR181670	Cg002G065810
OG0000018	CARHR146600	Cg003G095700
OG0000019	CARHR218510	Cg008G308170
OG0000019	CARHR259400	Cg008G317890
OG0000020	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870	Cg001G036750
OG0000023	CARHR057450	Cg001G017560
OG0000023	CARHR230500	Cg001G017610, Cg001G017600
OG0000023	CARHR255050	Cg003G082330
OG0000023	CARHR255040	Cg003G082320
OG0000023	CARHR254960, CARHR254930	Cg001G017770
OG0000023	CARHR230410	Cg001G017650
OG0000023	CARHR254870	Cg003G082240
OG0000023	CARHR230390, CARHR230400	Cg001G017750
OG0000023	CARHR230300	Cg001G017690
OG0000023	CARHR230340	Cg001G017670
OG0000025	CARHR100780	Cg003G106740
OG0000025	CARHR244240, CARHR242060	Cg001G005300
OG0000025	CARHR203520, CARHR028780	Cg003G102540
OG0000027	CARHR174240	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800
OG0000027	CARHR031540	Cg006G213920
OG0000027	CARHR213730	Cg001G041530
OG0000027	CARHR112760	Cg007G250820
OG0000027	CARHR045190, CARHR030410, CARHR030440, CARHR030470	Cg002G070600
OG0000027	CARHR062310	Cg006G215350, Cg006G215360
OG0000027	CARHR168020	Cg002G048720
OG0000029	CARHR176810, CARHR154270	Cg007G253930
OG0000029	CARHR006310	Cg002G070490
OG0000029	CARHR036950	Cg005G177640
OG0000029	CARHR213600	Cg006G212710
OG0000030	CARHR116060	Cg005G188990
OG0000031	CARHR048770, CARHR051020	Cg007G247460
OG0000031	CARHR048820	Cg007G254230
