Orthogroup	Raphanus_sativus	Noccaea_praecox
OG0000000	XP_018459207.1, XP_018459208.1	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430
OG0000000	XP_018479771.1, XP_018470557.1	Np005G293490
OG0000000	XP_018435304.1, XP_018467378.1	Np003G167670, Np002G107260, Np004G207890
OG0000002	XP_018436085.1	Np001G043040
OG0000003	XP_018435851.1, XP_018435852.1	Np006G360670
OG0000003	XP_018459978.1, XP_018463503.1, XP_018460948.1, XP_018465356.1, XP_018467176.1, XP_018462233.1	Np005G296980
OG0000003	XP_018460462.1, XP_018463058.1	Np008G429060, Np001G031010, Np002G099380
OG0000003	XP_018463109.1	Np007G402470
OG0000003	XP_018461854.1	Np009G429910, Np003G170050
OG0000003	XP_018464076.1, XP_018465694.1, XP_018459974.1	Np003G170760
OG0000004	XP_018462059.1, XP_018453573.1	Np002G100200
OG0000004	XP_018454128.1, XP_018466708.1	Np002G110370
OG0000004	XP_018479791.1	Np005G318460
OG0000004	XP_018477037.1, XP_018479597.1, XP_018487968.1, XP_018473623.1, XP_018479587.1, XP_018443691.1, XP_018436376.1, XP_018479586.1, XP_018463022.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650
OG0000004	XP_018448539.1, XP_018443672.1, XP_018443671.1, XP_018488129.1, XP_018487799.1, XP_018462308.1, XP_018462595.1, XP_018435292.1, XP_018464994.1, XP_018463801.1	Np006G322460, Np007G418310
OG0000005	XP_018479454.1	Np002G080500
OG0000005	XP_018479571.1, XP_018488331.1	Np004G197000
OG0000005	XP_018461258.1, XP_018435786.1	Np007G395340
OG0000005	XP_018458389.1, XP_018474214.1, XP_018448431.1, XP_018474296.1, XP_018436034.1, XP_018467672.1, XP_018488051.1, XP_018464274.1, XP_018487967.1, XP_018443348.1, XP_018479302.1, XP_018443324.1, XP_018435806.1, XP_018474082.1, XP_018479430.1, XP_018465007.1, XP_018453761.1, XP_018487451.1, XP_018479585.1	Np004G197010
OG0000005	XP_018474243.1, XP_018458174.1	Np001G068320
OG0000005	XP_018458816.1	Np004G203550, Np005G265280
OG0000005	XP_018473658.1	Np002G098830
OG0000005	XP_018479530.1, XP_018462391.1	Np001G012890, Np001G012870
OG0000006	XP_018465863.1, XP_018448282.1, XP_018438060.1, XP_018455359.1, XP_018459674.1, XP_018463970.1, XP_018453972.1, XP_018483196.1	Np003G145740
OG0000006	XP_018466154.1, XP_018479922.1, XP_018485455.1, XP_018471975.1, XP_018466130.1, XP_018467308.1, XP_018464921.1, XP_018479810.1, XP_018479657.1, XP_018462223.1, XP_018455976.1, XP_018466179.1, XP_018487693.1, XP_018473766.1	Np005G313160
OG0000006	XP_018448724.1, XP_018448723.1	Np008G427000
OG0000007	XP_018453653.1	Np003G129790, Np005G315800, Np003G152970
OG0000007	XP_018475855.1	Np002G092690
OG0000007	XP_018479455.1	Np001G031480
OG0000007	XP_018459162.1	Np006G356870
OG0000008	XP_018465341.1	Np002G102670
OG0000008	XP_018458139.1, XP_018488090.1, XP_018444644.1, XP_018489767.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018454008.1, XP_018475693.1, XP_018435390.1, XP_018435386.1, XP_018479750.1, XP_018464703.1, XP_018455757.1, XP_018436131.1, XP_018459798.1, XP_018473907.1, XP_018482699.1, XP_018488222.1, XP_018464317.1, XP_018469961.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018463041.1, XP_018448884.1, XP_018448882.1, XP_018489331.1, XP_018490599.1, XP_018460935.1	Np005G307780, Np002G103180
OG0000008	XP_018476077.1	Np007G406420
OG0000008	XP_018473385.1, XP_018460436.1, XP_018467327.1, XP_018463808.1, XP_018464542.1, XP_018459493.1, XP_018458167.1, XP_018436091.1, XP_018453646.1, XP_018466936.1, XP_018443646.1, XP_018435526.1, XP_018487725.1, XP_018438736.1, XP_018459044.1	Np001G053530
OG0000011	XP_018479316.1, XP_018481586.1, XP_018466155.1	Np003G163940
OG0000012	XP_018480111.1	Np006G343630, Np002G100520
