Orthogroup	Arabidopsis_lyrata_Rawat	Conringia_planisiliqua
OG0000000	AL1G65200	CP3_g15530_DN1_SP0_c.t1
OG0000002	AL1G57360, AL3G37080	CP13_g20669_DN2_SP0_c.t1
OG0000003	AL97U10030, AL8G11290	CP3_g15228_DN2_SP0_c.t1
OG0000004	AL3G48680	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1
OG0000004	AL5G22440, AL6G44150	CP15_g35744_DN2_SP0_c.t1
OG0000004	AL8G17990, AL4G17570	CP2_g49699_DN2_SP0_c.t1
OG0000004	AL5G15620, AL1G31370	CP24_g47044_DN1_SP0_c.t1
OG0000004	AL3G28120, AL3G23500, AL7G39870, AL47U10020, AL3G43540, AL3G50410	CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1
OG0000005	AL2G39630	CP12_g31672_DN2_SP0_c.t1
OG0000005	AL8G14160, AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570	CP3_g16492_DN1_SP0_c.t1
OG0000005	AL2G12600	CP9_g27891_DN2_SP0_c.t1
OG0000005	AL4G10690	CP4_g26834_DN1_SP0_c.t1
OG0000005	AL4G10500, AL6G49130	CP15_g34531_DN3_SP0_c.t1
OG0000005	AL7G37950	CP4_g26231_DN1_SP0_c.t1
OG0000006	AL8G17620, AL8G24640, AL9U10810	CP8_g52162_DN2_SP0_c.t1
OG0000007	AL1G43930	CP8_g52615_DN2_SP0_c.t1
OG0000007	AL1G50800, AL8G39270, AL5G23220, AL8G18100, AL2G19540, AL3G39580	CP6_g8175_DN3_SP0_c.t1
OG0000007	AL6G33910, AL4G36510	CP2_g50561_DN2_SP0_c.t1
OG0000007	AL2G19310	CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1
OG0000007	AL1G62960	CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1
OG0000007	AL4G43860	CP3_g14602_DN2_SP0_c.t1
OG0000007	AL2G12570	CP27_g41817_DN2_SP0_c.t1
OG0000007	AL5G26440, AL3G26530, AL1G56620, AL8G11050, AL8G15150, AL7G49620, AL4G12690, AL8G16910	CP3_g15795_DN1_SP0_c.t1
OG0000007	AL7G35240, AL7G44950	CP2_g49678_DN3_SP0_c.t1
OG0000007	AL4G39790	CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1
OG0000007	AL7G44730	CP28_g33903_DN1_SP0_c.t1
OG0000010	AL8G19810	CP24_g47323_DN2_SP0_c.t1, CP17_g5733_DN1_SP0_c.t1
OG0000012	AL5G18610, AL1G66070	CP35_g52033_DN3_SP0_c.t1
OG0000013	AL3G45620, AL6G41250	CP26_g51269_DN2_SP0_c.t1
OG0000015	AL25U10010, AL6G22310, AL7G26200	CP12_g31767_DN3_SP0_c.t1
OG0000015	AL6G27260, AL1G29330	CP44_g20942_DN1_SP0_c.t1
