Orthogroup	Arabidopsis_lyrata_Rawat	Alyssum_gmelinii
OG0000000	AL70U10050	Ag004G340890, Ag001G084200
OG0000000	AL4G11460	Ag002G196660, Ag006G512050
OG0000002	AL1G57360, AL3G37080	Ag005G410720
OG0000003	AL4G38100	Ag001G024370
OG0000003	AL1G51880	Ag001G046010
OG0000004	AL3G48680	Ag002G133140
OG0000004	AL1G56670	Ag004G374310
OG0000004	AL7G47010	Ag004G314450
OG0000004	AL5G12810	Ag008G684310
OG0000004	AL6G27580, AL5G15620, AL1G31370, AL3G28120, AL3G23500, AL7G39870, AL47U10020, AL3G43540, AL3G50410, AL1G48970, nbis-gene-231, AL8G17890	Ag005G427550
OG0000004	AL2G18100, AL8G13780, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL6G42260, AL7G38790, AL2G19780, AL4G14060, AL5G21300, AL8G22530, AL6G50660, AL110U10010, AL3G47190, AL5G13370, AL5G11100, AL396U10020, AL4G14390, AL5G30910, AL1G48610, AL8G30500	Ag006G503330
OG0000005	AL6G36520	Ag008G703520
OG0000005	AL9U10020	Ag005G452100
OG0000005	AL5G21470, AL5G14390	Ag007G610690
OG0000005	AL2G39630	Ag005G434290
OG0000005	AL8G14160, AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570	Ag005G414560, Ag002G110220, Ag005G402610
OG0000005	AL251U10020, AL3G32130	Ag006G527380
OG0000005	AL4G10500	Ag005G402580
OG0000005	AL6G49130	Ag007G622540
OG0000006	AL5G31160	Ag005G455250
OG0000007	AL6G33910, AL4G36510	Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480
OG0000007	AL1G62960	Ag001G006450, Ag006G516390
OG0000007	AL4G39790	Ag002G132800
OG0000008	AL6G44830, AL877U10020, AL8G22780	Ag005G451490
OG0000008	AL5G32180, AL5G32150, AL5G32140, AL3G23450	Ag001G015890
OG0000012	AL5G18610, AL1G66070	Ag007G621260, Ag005G417190
OG0000012	AL2G19210	Ag007G633420
OG0000012	AL4G14230, AL5G19240	Ag003G250900
OG0000012	AL8G19630, AL7G45280	Ag002G161720
OG0000013	AL3G45620	Ag006G559810
OG0000013	AL3G54050	Ag001G041140
OG0000015	AL3G46060	Ag008G687430
OG0000017	AL7G44020, AL3G44050, AL460U10020, AL6G40580	Ag005G432180, Ag001G042370
OG0000017	AL189U10020	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510, Ag002G182860
OG0000018	AL7G47350, AL7G51150	Ag007G609170
OG0000019	AL2G22330	Ag007G642200, Ag006G545350
OG0000019	AL2G26450	Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070
OG0000020	AL4G17980	Ag003G281030, Ag003G281020, Ag006G521270, Ag005G441960
OG0000021	AL5G16490, AL5G19200	Ag002G135150
OG0000021	AL1G46090, AL5G10040, AL5G25470, AL96U10010	Ag002G201670
OG0000023	AL6G45910, AL7G30160, AL7G30170	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	AL6G45930, nbis-gene-1639	Ag002G145570, Ag002G145600
OG0000023	AL6G45970	Ag002G145500
OG0000023	AL1G66280	Ag002G145450
OG0000023	AL7G30270	Ag006G547270
OG0000023	AL7G30280	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000025	AL7G42840, AL594U10010, AL8G29780	Ag003G230310
OG0000026	AL2G12870, AL5G16730, AL9U11280	Ag013G741580
OG0000028	AL1G65750, nbis-gene-1243	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	AL6G10700	Ag006G532500, Ag004G401820
OG0000029	AL7G44460	Ag004G375950
OG0000029	AL4G17400	Ag002G168100, Ag004G354120
OG0000030	AL1G54660	Ag008G659630, Ag006G491030
OG0000030	AL8G14180	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020
OG0000030	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440, AL103U10010, AL8G23430, AL4G17850, AL2G38670, AL9U11580, AL3G44120	Ag001G021090, Ag003G292130, Ag005G430740
OG0000031	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840	Ag001G078560, Ag004G386130
OG0000031	AL1G24380, AL1G24190	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	AL7G48260	Ag002G111150, Ag002G107580
OG0000031	AL2G13070, AL2G10190, AL2G10200, AL1G16610	Ag004G401670
OG0000033	AL7G30290	Ag006G547230, Ag006G549390
OG0000033	AL7G30340	Ag006G543630, Ag006G543880
OG0000033	AL7G32670	Ag006G564890, Ag003G210460
OG0000033	AL7G30350, AL7G30310	Ag006G547380, Ag006G549570
OG0000033	AL6G48800	Ag002G130680, Ag002G130760
OG0000034	AL8G16120	Ag001G041740, Ag004G365370, Ag004G364780
OG0000034	AL8G19760	Ag005G442050
OG0000034	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890	Ag004G317550, Ag002G142920
OG0000034	AL5G17770	Ag003G264010, Ag001G058120, Ag005G440470
OG0000035	AL2G14000, AL2G14020	Ag007G590010
OG0000035	AL8G43560	Ag005G405240, Ag002G183820
OG0000035	AL4G27390, AL4G27770	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	AL5G26550, AL920U10010	Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	AL4G17610, AL6G45120, AL1G60100, AL3G30200	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000037	AL3G27890	Ag001G053350
OG0000038	AL2G12050	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	AL1G38800, AL1G38860	Ag001G003660
OG0000038	AL4G25900	Ag007G594740, Ag007G591770, Ag004G335660
OG0000038	AL6G35130, AL6G36280	Ag006G511550, Ag006G511600
OG0000038	nbis-gene-1360	Ag001G056400
OG0000038	AL1G14840	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	AL8G15660, AL7G27750	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	AL1G38680	Ag004G312700
OG0000038	AL3G22250, AL3G22230	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	nbis-gene-244	Ag004G347330, Ag007G622120
