Orthogroup	Arabidopsis_lyrata_Rawat	Erysimum_linariifolium
OG0000000	AL4G11460	El005G264600, El005G264610, El001G044710
OG0000000	AL1G65200	El003G159590
OG0000003	AL6G48210	El003G191660, El006G317350
OG0000003	AL4G38100	El003G189560, El002G128770, El004G210360
OG0000003	AL4G12740	El007G351530
OG0000003	AL3G54340, AL8G29360	El004G212250
OG0000003	AL6G40720	El003G181070
OG0000003	AL3G44970	El007G350820, El007G350790
OG0000004	AL3G22550, AL5G26100, AL7G39190, AL3G46930, AL2G10670	El006G291650, El007G350510
OG0000004	AL8G17990, AL4G17570	El002G127280
OG0000004	AL3G28120, AL3G23500, AL7G39870	El001G052930, El004G230860, El003G157040
OG0000004	AL1G63670, AL8G39910	El006G301060
OG0000004	AL7G43450, AL5G14690, AL4G13050, AL4G31100, AL6G34180, AL4G37840, AL5G16040, AL3G15150, AL9U11110, AL7G39420, AL7G41970, AL2G28000, AL7G52320	El006G321800
OG0000005	AL1G49730, AL6G36520	El001G038630
OG0000005	AL8G23160	El003G166140
OG0000005	AL4G34770, AL4G46120	El005G258250, El003G177260, El001G065660
OG0000005	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570	El001G081400
OG0000005	AL2G12600, AL4G10690	El002G096830
OG0000005	AL1G62100	El006G308020, El003G156400
OG0000005	AL3G41770	El006G313160
OG0000005	AL4G10500, AL6G49130	El002G123530
OG0000005	AL7G37950	El002G122720
OG0000006	AL1G53130	El004G209180
OG0000006	AL1G37680, AL3G20440, AL8G18310	El001G046690
OG0000007	AL2G19540, AL3G39580	El006G310450, El004G211980, El007G348570
OG0000007	AL6G33910, AL4G36510	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	AL4G24130	El006G310200
OG0000007	AL5G26440, AL3G26530, AL1G56620, AL8G11050, AL8G15150, AL7G49620, AL4G12690, AL8G16910	El008G369640
OG0000007	AL4G39790	El006G293980
OG0000008	AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160	El001G077860
OG0000008	AL5G32180	El001G021990, El001G021710
OG0000008	AL5G32150, AL5G32140	El003G174670
OG0000010	AL4G20510	El005G270270, El007G361510, El004G205900
OG0000011	AL8G16700	El004G200940
OG0000012	AL5G18610, AL1G66070	El002G120760
OG0000012	AL7G44260	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120
OG0000012	AL4G20380	El007G355770, El007G355890
OG0000012	AL8G19630, AL7G45280	El002G129160
OG0000013	AL3G45620	El006G310100, El007G353330, El004G207030, El006G312640, El003G182060, El001G045710
OG0000014	AL3G43620, AL527U10010, AL178U10020, AL3G15110, AL5G42740	El001G041310
OG0000014	AL8G21700, AL8G22640, AL177U10010, AL5G19160, AL5G16500, AL1G10620, AL1G57320, AL4G16410, AL1G54360, AL6G32700, AL279U10030, AL6G46360, AL1G66640, AL1G65830, AL2G22110	El003G178520
OG0000014	AL5G15080	El004G198920
OG0000015	AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120	El001G070750
OG0000015	AL3G46060	El060G376140, El053G375740
OG0000018	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	El003G154150, El006G318220, El001G007900, El001G053230
OG0000018	AL7G47350, AL7G51150	El001G045850, El001G048290, El003G146330
OG0000018	AL6G47300, AL3G37170, AL3G43480, AL5G24330	El001G077880, El004G225550
OG0000019	AL8G22980	El004G213790
OG0000020	AL4G17980	El001G045330, El001G045300, El001G045270, El001G045320, El004G206630
OG0000021	AL2G10360, AL3G40240, AL7G34100	El007G349240
OG0000021	AL6G17120, AL1G64130, AL3G42610, AL3G47980, AL6G47170, AL3G48090, AL1G59200, AL7G48880	El006G317330
OG0000021	AL5G10040	El005G277430
OG0000021	AL5G25470	El007G325630
OG0000021	AL96U10010	El001G045050
OG0000023	AL7G30160	El007G357800
OG0000023	AL6G45930	El001G007540
OG0000023	AL7G30270	El003G162170
OG0000023	AL7G30280	El003G162130
OG0000024	AL128U10010	El006G293740
OG0000025	AL7G42840	El001G014870, El001G014670
OG0000025	nbis-gene-2113	El007G340450, El007G340490
OG0000025	nbis-gene-2112	El007G340430
OG0000027	AL4G16470	El002G120570, El001G054130, El006G316890, El006G314010
OG0000027	AL1G45340	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950
OG0000027	nbis-gene-966, AL4G14930	El006G314050, El006G316880
OG0000027	AL1G45510	El002G118120, El002G111110
OG0000027	AL1G46260, AL1G46270, AL1G47320	El002G120540
OG0000027	AL1G45480, AL1G45490, AL1G45470, AL1G45520, AL1G45350	El002G118130
OG0000027	AL1G45280, AL1G45290, AL1G45300, AL1G45270	El002G117940
OG0000027	AL1G45210	El002G117730
OG0000027	AL5G39160, AL5G38280	El001G029050
OG0000027	AL5G39170	El001G025570
OG0000028	AL5G20350	El008G369630
OG0000030	AL1G54660	El007G358700, El008G371380, El007G349640, El003G181950
OG0000030	AL172U10010, AL4G17860	El002G130810
OG0000030	AL8G14180	El007G346180
OG0000030	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440	El003G178390, El003G178450
OG0000030	AL8G23430, AL4G17850	El004G207450
OG0000031	AL2G13150, AL2G13130	El004G208470, El004G208460
OG0000031	AL2G13280	El004G197790
OG0000031	AL2G13120	El004G197660
OG0000031	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840	El007G349520
OG0000031	AL1G23970, AL1G24080	El002G096110
OG0000031	AL7G48260	El003G192370
OG0000031	AL3G29640	El005G253470
OG0000031	AL2G10190	El002G127940, El004G193990
OG0000033	AL7G30290	El003G162150
OG0000033	AL7G32680	El003G164670
OG0000033	AL7G30350	El003G162220
OG0000033	AL5G24540	El001G014890
OG0000033	AL6G48800	El001G004730
OG0000034	AL8G19610	El003G154390, El001G040620, El004G214030
OG0000034	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890	El001G048010
OG0000035	AL4G27390	El006G299540
OG0000035	AL5G43600	El001G033250
OG0000036	AL3G40670	El003G186550, El003G186530
OG0000036	AL6G37450	El006G309160
OG0000036	AL4G17610, AL6G45120	El006G309110
OG0000036	AL2G27390	El006G312180
OG0000037	AL3G27890	El004G202640
OG0000038	AL2G12050	El006G281890, El006G282510
OG0000038	nbis-gene-1329	El001G019410
OG0000038	AL8G26900	El007G341120
OG0000038	AL8G15660	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600
OG0000038	AL1G38680	El006G282520
OG0000040	AL1G40160, AL1G40170	El003G181190, El002G112730, El002G112290
OG0000040	AL1G40180	El006G296490, El006G297130, El007G346320
OG0000040	AL3G24770, AL3G25930, AL3G25710, AL3G25690	El005G250180
OG0000040	AL3G33320, AL3G33700	El005G257710
OG0000040	AL3G33370	El005G257410
OG0000042	AL677U10010, AL2G11290, AL1G59470	El001G058460
OG0000042	AL1G40050, AL8G11480	El003G192700
OG0000042	AL364U10020	El005G265850
OG0000044	AL1G53510, AL3G40680, AL7G41120, AL1G60090, AL6G41380, AL3G43290, AL8G21960, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL6G43460, AL1G51180, AL4G17640	El007G357580, El007G365520, El003G186540
OG0000044	AL6G40760, AL3G44690, AL4G20190	El006G308910, El006G308940
OG0000044	AL5G16920, AL7G43910, AL3G42580, AL4G10770	El007G360870
OG0000045	AL6G36560	El002G101480
OG0000045	AL1G56200	El004G208130
OG0000046	AL7G51420	El003G188710
OG0000046	AL7G52590	El003G186960, El003G186970
OG0000046	nbis-gene-1820	El003G168460, El004G213500
OG0000046	AL7G52530	El003G187000
OG0000046	AL7G52540	El003G186990
OG0000046	AL2G25320	El004G216850, El004G216660
OG0000046	AL2G25190	El004G216520
OG0000047	AL5G32340	El005G264350
OG0000048	AL3G13680	El003G193700
OG0000048	AL4G10310	El006G321480
OG0000049	AL6G41090	El003G185390
OG0000049	AL3G47410	El001G020690
OG0000049	AL1G48490	El007G333440
OG0000049	AL6G32660, AL4G11230	El007G333450
OG0000050	AL2G29160, AL704U10010	El002G124210
OG0000050	AL9U10060	El007G359470, El004G226500
OG0000052	AL1G20340	El002G116290
OG0000052	nbis-gene-988	El006G286610
OG0000052	AL2G15770	El006G286640
OG0000052	AL4G40930	El006G286630
OG0000052	AL4G40960	El006G286590
OG0000054	AL4G17970	El001G039440
OG0000055	AL2G13390, AL2G13990	El004G198780
OG0000055	AL5G26170	El001G016330, El001G016310, El001G016300
OG0000055	AL2G14100	El004G198830
OG0000055	AL2G13820	El004G198610
OG0000055	AL2G13840	El004G198640
OG0000055	AL1G66000	El004G208280
OG0000055	AL2G14110, AL2G13790	El004G198010, El004G198720, El004G198710, El004G198730, El004G198700
OG0000055	AL2G14070	El004G198810
OG0000055	AL2G13900	El004G198740, El004G198850
OG0000056	AL3G47230	El007G350500
OG0000057	AL6G52510	El001G001400
OG0000057	AL4G21820	El003G174270, El003G172630, El003G172690
