Orthogroup	Arabidopsis_lyrata_Rawat	Euclidium_syriacum
OG0000000	AL1G65200	ESY3_g28075_DN1_SP0_c100.t1, ESY13_g56188_DN3_SP0_c88.t1
OG0000002	AL5G30280, AL9U10140, AL3G49840, AL5G25580, AL7G43430, AL2G27160, AL7G45780, AL1G53170, AL3G15910, AL8G20200, AL1G57360, AL3G37080	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	AL4G38100	ESY8_g60803_DN3_SP0_c6.t1
OG0000005	AL8G23160	ESY7_g17772_DN2_SP0_c0.t1
OG0000005	AL251U10020, AL3G32130	ESY6_g47492_DN1_SP0_c0.t1
OG0000005	AL3G41770, AL8G42570	ESY16_g61766_DN2_SP0_c0.t1
OG0000005	AL4G10500, AL6G49130	ESY6_g47366_DN1_SP0_c0.t1
OG0000005	AL7G37950	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000007	AL5G18640	ESY24_g32948_DN2_SP0_c0.t1
OG0000007	AL1G43930	ESY5_g3140_DN1_SP0_c0.t1
OG0000007	AL532U10010, AL1G50800, AL8G39270, AL5G23220, AL8G18100, AL2G19540, AL3G39580, AL2G17910, AL6G33910, AL4G36510, AL4G24130, AL2G19310, AL1G62960, AL4G43860, AL2G12570, AL2G10230, AL5G26440, AL3G26530, AL1G56620, AL8G11050, AL8G15150, AL7G49620, AL4G12690, AL8G16910, AL7G35240, AL7G44950	ESY19_g41595_DN1_SP0_c0.t1
OG0000007	AL1G56600, AL4G39790, AL7G44730	ESY6_g47093_DN2_SP0_c0.t1
OG0000008	AL6G44830, AL877U10020, AL8G22780, AL2G20270, AL4G19160, AL298U10010, AL9U11800, AL4G18790, AL3G44010, AL7G44440, AL4G37240, AL4G20310, AL7G45220, AL6G27010, AL5G18950, AL2G17460, AL226U10010, AL8G21160, AL8G41980, AL6G49380, AL39U10050, AL6G25540, AL5G16170, AL7G48840, AL7G10810, AL8G17730, AL747U10010, AL4G21710, AL66U10030, AL1G63180, AL7G51050, AL1G65090, AL7G50980, AL8G11530, AL1G29200, AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160, AL5G20470, AL5G32180, AL5G32150, AL5G32140, AL3G23450	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	AL5G18610	ESY8_g61320_DN3_SP0_c0.t1
OG0000013	AL3G45620, AL6G41250, AL3G54050, AL5G20640	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	AL1G15850, AL3G42230	ESY13_g56759_DN1_SP0_c0.t1
OG0000015	AL1G20970, AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120, AL8G24680	ESY13_g57357_DN1_SP0_c0.t1
OG0000015	AL3G46050	ESY4_g23102_DN1_SP0_c100.t1
OG0000017	AL7G11240, AL7G16690, AL4G42290	ESY5_g765_DN2_SP0_c0.t1, ESY15_g65202_DN2_SP0_c0.t1, ESY4_g24554_DN3_SP0_c31.t1, ESY7_g16670_DN3_SP0_c0.t1
OG0000017	AL189U10020	ESY15_g65461_DN2_SP0_c0.t1
