Orthogroup	Arabidopsis_lyrata_Rawat	Noccaea_praecox
OG0000000	AL1G59120	Np007G401540, Np010G434720
OG0000000	AL1G65560	Np005G293490
OG0000002	AL1G57360	Np002G103600, Np002G105770, Np011G436400
OG0000002	AL3G37080	Np008G426050
OG0000003	AL4G12740	Np006G360670
OG0000003	AL7G43690	Np001G030960
OG0000003	AL7G43820	Np005G296640, Np003G168980
OG0000003	AL2G18790	Np003G172820
OG0000003	AL1G51880	Np006G346690
OG0000003	AL1G65770, AL3G45600	Np012G437010, Np004G222380, Np011G436600, Np011G436790, Np009G430460, Np003G168990, Np004G221780, Np004G221640, Np004G222040
OG0000004	AL8G17990, AL4G17570	Np002G100200
OG0000004	AL7G47010	Np002G096870
OG0000004	AL6G27580	Np006G348510
OG0000004	AL3G15150	Np005G318450
OG0000005	AL9U10020	Np006G356630
OG0000005	AL8G23160	Np004G197000
OG0000005	AL2G39630	Np003G166380
OG0000005	AL251U10020, AL3G32130	Np004G203550, Np005G265280
OG0000005	AL7G37950	Np001G012890, Np001G012870
OG0000006	AL1G53130	Np002G092120
OG0000006	AL8G17620, AL8G24640, AL9U10810, AL4G23810, AL4G24120	Np005G313160
OG0000007	AL5G18640	Np007G402890
OG0000007	AL6G33910, AL4G36510	Np004G201210, Np004G226300, Np002G092690, Np001G031480
OG0000008	AL7G45220, AL6G27010, AL5G18950, AL2G17460, AL226U10010, AL8G21160, AL8G41980, AL6G49380, AL39U10050, AL6G25540, AL5G16170, AL7G48840, AL7G10810, AL8G17730, AL747U10010, AL4G21710, AL66U10030, AL1G63180, AL7G51050, AL1G65090, AL7G50980, AL8G11530, AL1G29200	Np005G307780, Np002G103180
OG0000008	AL5G32180, AL5G32150, AL5G32140, AL3G23450	Np001G053530
OG0000010	AL8G19810	Np002G095240
OG0000011	AL5G19610, AL971U10010, AL5G20450, AL8G16700	Np001G009230, Np006G351190
OG0000012	AL5G18610	Np003G169510, Np006G350820
OG0000012	AL2G19210	Np006G352650, Np007G403470, Np005G318540, Np002G106560
