Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_glauca
OG0000000	AL1G59120	Cg004G132730
OG0000000	AL2G17020, AL1G64940, AL7G51790	Cg002G062380, Cg002G069090, Cg005G186670
OG0000000	AL4G11460	Cg003G090030, Cg003G090000
OG0000000	AL1G65200	Cg002G068740, Cg001G030920, Cg011G329020
OG0000003	AL8G18430, AL97U10030, AL8G11290, AL1G36970, AL4G38100, AL7G13490, AL63U10040, AL4G12740	Cg006G209840
OG0000003	AL7G43820	Cg001G036970
OG0000003	AL3G54340, AL8G29360	Cg001G032840
OG0000004	AL3G48680	Cg001G033800
OG0000004	AL8G17990, AL4G17570	Cg004G154080
OG0000004	AL3G28120, AL3G23500, AL7G39870	Cg005G167340
OG0000005	AL9U10020	Cg008G308830
OG0000005	AL2G12600	Cg001G022240
OG0000005	AL4G10690	Cg005G188160
OG0000005	AL4G10500, AL6G49130	Cg005G185830
OG0000005	AL7G37950	Cg003G087270
OG0000006	AL9U10810	Cg006G203530, Cg001G010040, Cg005G192450
OG0000006	AL4G24120	Cg006G206830
OG0000007	AL2G19540, AL3G39580	Cg001G041960, Cg003G089200
OG0000007	AL6G33910, AL4G36510	Cg002G061850
OG0000007	AL4G24130	Cg003G086130
OG0000007	AL2G19310	Cg002G054650
OG0000008	AL5G20470	Cg007G263310
OG0000008	AL5G32180	Cg002G060890
OG0000008	AL5G32150, AL5G32140	Cg002G055170
OG0000010	AL8G19810	Cg008G314030, Cg006G205490
OG0000012	AL2G19210	Cg007G260780, Cg002G066610, Cg003G088580, Cg007G258900
OG0000012	AL2G18620	Cg006G208150, Cg003G096300
OG0000014	AL1G56800	Cg007G266660
OG0000015	AL25U10010, AL6G22310, AL7G26200	Cg001G025880
OG0000015	AL2G24310	Cg007G249020
OG0000017	AL7G44020, AL3G44050, AL460U10020, AL6G40580	Cg004G142150
OG0000018	AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440	Cg006G204250, Cg003G087690, Cg003G087660
OG0000018	AL6G42400	Cg003G089030, Cg003G095110
OG0000019	AL8G22980	Cg008G308170
OG0000021	AL7G30150, AL5G20380, AL488U10010, AL4G29570	Cg003G100100
OG0000021	AL8G10060	Cg003G084910
OG0000021	AL5G16490, AL5G19200	Cg002G061370, Cg003G103950
OG0000021	AL5G10040, AL5G25470	Cg003G080250
OG0000023	AL6G45910	Cg003G082360
OG0000023	AL7G30170	Cg001G017610, Cg001G017600
OG0000023	AL6G45970	Cg003G082320
OG0000023	AL6G46030	Cg001G017770
OG0000023	AL1G66280	Cg003G082240
OG0000023	AL7G30270	Cg001G017750
OG0000023	AL7G30280	Cg001G017690
OG0000025	AL7G42840	Cg003G106740
OG0000025	AL5G44140	Cg001G005300
OG0000026	AL2G12870, AL5G16730, AL9U11280	Cg005G183380
OG0000027	AL1G45340, AL1G45540, AL1G45230, AL1G45550, AL1G45590, nbis-gene-188, AL1G45600, AL1G45570, nbis-gene-553, nbis-gene-966, AL4G14930, AL1G45510, AL1G45610, AL1G45580	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800
OG0000027	AL1G45530	Cg006G213920
OG0000027	AL1G46280, AL1G45210	Cg002G070600
OG0000027	AL3G45420, AL4G35160	Cg006G215350, Cg006G215360
OG0000027	AL5G23680	Cg002G048550, Cg002G048720
OG0000029	AL26U10050, AL3G41030, AL6G10700	Cg007G253930
OG0000029	AL7G44460	Cg002G070490
OG0000031	AL2G12780, AL2G12460, AL2G11490	Cg007G247230, Cg007G246930
OG0000031	AL2G13120	Cg007G247710
OG0000031	AL7G48260	Cg001G042060
OG0000031	AL3G29640	Cg004G133170
OG0000031	AL2G10190	Cg007G245660
OG0000033	AL7G30340	Cg001G017780
OG0000033	AL7G32680	Cg001G019620
OG0000033	AL7G32670	Cg001G019630
OG0000033	AL7G30350	Cg001G017790
OG0000033	AL6G48800	Cg003G079950, Cg003G094060
OG0000034	AL8G16120	Cg002G066600
OG0000036	AL5G26550, AL920U10010, AL3G40670	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000038	AL2G12050	Cg005G159520
OG0000038	nbis-gene-1329	Cg002G057430
OG0000038	AL8G26900	Cg003G103850
OG0000038	AL8G15660	Cg008G320560
OG0000038	AL7G27750	Cg006G216960
OG0000038	AL1G38680	Cg002G052970
OG0000039	nbis-gene-244	Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180	Cg006G217350
OG0000040	AL3G27510	Cg001G030090
OG0000040	AL1G21870	Cg006G235040
OG0000040	AL275U10020, AL3G33690, AL3G33320, AL3G33700	Cg004G137150
OG0000040	AL3G33370	Cg004G136640
OG0000042	AL677U10010	Cg006G198550
OG0000042	AL2G11290, AL1G59470	Cg003G083590
OG0000042	AL1G40050, AL8G11480	Cg002G059980
OG0000042	AL3G43050	Cg008G311300, Cg008G309470
OG0000042	AL364U10020	Cg008G310640, Cg008G309000
OG0000044	AL1G53510, AL3G40680, AL7G41120, AL1G60090, AL6G41380, AL3G43290, AL8G21960, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL6G43460, AL1G51180, AL4G17640, AL6G40760, AL3G44690, AL4G20190	Cg001G029670
OG0000045	AL2G19770, AL6G36560, AL5G21210, AL1G41870	Cg003G091810
OG0000045	AL1G56200	Cg002G064420
OG0000046	nbis-gene-1820	Cg001G022610
OG0000046	AL7G52530, AL7G52540	Cg001G037990
OG0000046	AL2G25210	Cg007G266760
OG0000047	AL1G31430	Cg004G156550
OG0000047	AL5G32340	Cg006G206340
OG0000048	AL6G29190	Cg008G298400, Cg008G298350
OG0000049	AL1G48510	Cg007G255960
OG0000049	AL6G35400, AL3G41190, AL5G28630, AL1G24610, AL1G18250, AL6G32660, AL4G11230	Cg006G232250
OG0000052	AL1G20340	Cg006G242960
OG0000052	AL4G40940	Cg005G163550
OG0000052	AL4G40920, AL4G40910, AL4G40930	Cg005G173390, Cg013G330370
OG0000052	AL4G41020	Cg003G084890
OG0000052	AL4G41010, AL4G41000	Cg005G187360
OG0000053	AL8G40920, AL2G10380, AL1G59190, AL7G34190	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	AL5G34630	Cg003G084420
OG0000054	AL5G18550, nbis-gene-807	Cg005G189800, Cg005G189790
OG0000055	AL2G13390, AL2G13990	Cg007G248480
OG0000055	AL5G26170	Cg002G060080
OG0000055	AL2G14100	Cg007G248550
OG0000055	AL2G13770	Cg007G248360
OG0000055	AL2G13840	Cg007G248410
OG0000055	AL1G66000	Cg006G223020
OG0000055	AL2G14070	Cg007G248540, Cg007G248530
OG0000057	AL3G29670	Cg004G133200
OG0000057	AL3G30470	Cg004G133930
OG0000062	nbis-gene-221	Cg007G260660, Cg005G180090
OG0000063	AL5G25220	Cg005G178340
OG0000063	AL781U10020	Cg002G060930
OG0000063	AL1G17860, AL5G24600	Cg003G107350
OG0000064	AL7G10840	Cg001G000750
OG0000064	AL4G29500	Cg005G172820
OG0000064	AL8G13050	Cg008G322800
OG0000064	AL3G53220	Cg008G325030
OG0000066	AL2G35580, AL3G43470	Cg007G276160
OG0000066	AL2G35590	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880
OG0000066	AL6G21580	Cg001G001890
OG0000066	AL1G32620	Cg006G226080
OG0000066	AL6G20900	Cg006G236870, Cg008G290840
OG0000066	AL5G16700	Cg003G113360
OG0000067	AL3G20250, AL3G20240, AL3G20260	Cg004G154470
OG0000067	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610
OG0000067	AL6G18740	Cg008G318950
OG0000070	AL5G12380, AL5G12270, AL2G23610	Cg002G063700
OG0000071	AL4G15570	Cg006G240460
OG0000071	AL6G40690	Cg008G307480, Cg003G105610
OG0000073	AL8G18470	Cg004G150010
OG0000073	AL3G20910, AL2G19370	Cg008G302430
OG0000073	AL5G18720	Cg008G315120
OG0000074	AL1G37410	Cg006G222210
OG0000074	AL1G37330	Cg006G222280
OG0000074	AL1G37340	Cg006G222290
OG0000074	AL1G37440	Cg006G222160
OG0000074	AL1G37370	Cg006G222230
