Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_hirsuta
OG0000004	AL47U10020, AL3G43540, AL3G50410	CARHR214930
OG0000005	AL6G36520	CARHR145720
OG0000005	AL9U10020	CARHR114650
OG0000005	AL5G21470, AL5G14390	CARHR160220
OG0000005	AL8G23160	CARHR217600
OG0000005	AL3G41770	CARHR091740
OG0000005	AL8G42570	CARHR034120, CARHR056420
OG0000005	AL6G49130	CARHR248000
OG0000006	AL1G53130	CARHR180980, CARHR287750, CARHR216870, CARHR256390, CARHR115290, CARHR262640
OG0000006	AL3G47390	CARHR052910, CARHR117490, CARHR293410, CARHR184100, CARHR216900, CARHR128840
OG0000006	AL8G17620	CARHR180780
OG0000006	AL8G24640	CARHR055190, CARHR182530
OG0000006	AL9U10810	CARHR258710
OG0000006	AL4G24120	CARHR060230
OG0000008	AL5G20470	CARHR103540
OG0000008	AL5G32180	CARHR161340, CARHR161350
OG0000008	AL5G32150, AL5G32140	CARHR161300, CARHR161310, CARHR161290
OG0000011	AL8G16700	CARHR190150, CARHR151420, CARHR057040
OG0000011	AL2G23040, AL4G33280, AL5G24930, AL5G42550, AL3G31820, AL1G61200	CARHR130420
OG0000013	AL3G45620	CARHR218430, CARHR058120, CARHR259710, CARHR057870, CARHR288340
OG0000013	AL3G54050	CARHR116230, CARHR285000
OG0000015	AL3G46060	CARHR055900
OG0000017	AL1G18490, AL6G44340, AL6G44350, AL4G18270, AL5G11530, AL4G19490, AL5G20700, AL6G46630	CARHR049310, CARHR034150
OG0000019	AL6G32670, AL8G22980	CARHR218510
OG0000020	AL4G17980	CARHR266450, CARHR035020, CARHR108040, CARHR158140, CARHR287680, CARHR287700, CARHR266460
OG0000023	AL7G30160	CARHR230510
OG0000023	AL7G30170	CARHR230500
OG0000023	AL6G46000	CARHR255010
OG0000023	AL6G45930	CARHR255070
OG0000023	AL6G45970	CARHR255040
OG0000023	AL6G46030	CARHR254960, CARHR254930
OG0000023	AL1G66280	CARHR254870
OG0000023	AL6G46070	CARHR254920
OG0000023	AL7G30270	CARHR230390, CARHR230400
OG0000023	AL7G30280	CARHR230300
OG0000023	AL7G30260	CARHR230440
OG0000025	AL7G42840	CARHR100780
OG0000025	AL594U10010	CARHR220000
OG0000025	AL2G24370	CARHR030080
OG0000025	AL8G30820, AL236U10020	CARHR268630
OG0000025	AL8G29920	CARHR267830
OG0000025	AL8G28780, AL8G29950	CARHR267700
OG0000025	AL8G29750	CARHR269260
OG0000025	AL8G29760	CARHR269250
OG0000025	AL5G44140	CARHR242060
OG0000027	AL4G16470	CARHR030460, CARHR030420, CARHR030890, CARHR031230
OG0000027	AL1G45540, AL1G45230, AL1G45550, AL1G45590, nbis-gene-188	CARHR174240
OG0000027	AL1G46260, AL1G46270, AL1G47320	CARHR113190
OG0000027	AL1G45530	CARHR031540
OG0000027	AL1G45210	CARHR045190
OG0000027	AL3G45420, AL4G35160	CARHR062310
OG0000027	AL5G23680	CARHR168020
OG0000027	AL5G39160, AL5G38280	CARHR167830
OG0000028	AL3G41570	CARHR153130
OG0000028	nbis-gene-1243	CARHR116610, CARHR153140
OG0000029	AL26U10050	CARHR176810
OG0000029	AL7G44460	CARHR006310
OG0000030	AL1G54660	CARHR181500
OG0000030	AL172U10010, AL4G17860	CARHR102250, CARHR289810
OG0000030	AL8G23430, AL4G17850	CARHR260310
OG0000031	AL2G12780, AL2G12460, AL2G11490	CARHR048440, CARHR047970
OG0000031	AL2G12470	CARHR048810, CARHR051050
OG0000031	AL2G13120	CARHR049170
OG0000031	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840	CARHR048190, CARHR051150
OG0000031	AL1G24380, AL1G24190	CARHR013000
OG0000031	AL6G27650	CARHR196550
OG0000031	AL7G48260	CARHR213210
OG0000031	AL3G29640	CARHR091960
OG0000031	AL2G13070	CARHR049120
OG0000031	AL2G10190	CARHR046360
OG0000031	AL2G10200	CARHR046370
OG0000033	AL7G32680	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060
OG0000033	AL7G32670	CARHR289950
OG0000033	AL7G30250, AL7G30210	CARHR254900
OG0000033	AL7G30350	CARHR230200
OG0000033	AL7G30310	CARHR230230
OG0000033	AL5G24540	CARHR230600, CARHR230550, CARHR255000, CARHR230610
OG0000033	AL6G48800	CARHR252350
OG0000035	nbis-gene-779	CARHR207670
OG0000035	AL2G14000, AL2G14020	CARHR126110
OG0000035	AL1G62520	CARHR042940
OG0000035	AL5G43600	CARHR171670, CARHR219290
OG0000038	AL2G12050	CARHR141500
OG0000038	AL1G38800, AL1G38860	CARHR024990
OG0000038	nbis-gene-1329	CARHR158480, CARHR158470, CARHR158440
OG0000038	AL8G26900	CARHR265450
OG0000038	AL1G14840	CARHR174900, CARHR175950
OG0000038	AL8G15660	CARHR178840
OG0000040	AL1G39630	CARHR025790
OG0000040	AL1G35700	CARHR162370
OG0000040	AL3G27510	CARHR260760, CARHR260790
OG0000040	AL5G24990	CARHR154640
OG0000040	AL3G24770, AL3G25930, AL3G25710, AL3G25690	CARHR088870
OG0000040	nbis-gene-1830	CARHR026350
OG0000040	AL5G29320, AL5G29310, AL5G29340	CARHR158510, CARHR158520
OG0000041	AL7G44740	CARHR260230, CARHR034730
OG0000044	AL5G16920, AL7G43910, AL3G42580	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760
OG0000046	AL7G51420	CARHR263410
OG0000046	AL7G52590	CARHR214340
OG0000046	nbis-gene-1820	CARHR225000, CARHR225010
OG0000046	AL2G25210	CARHR059270
OG0000046	AL2G25320	CARHR059250
OG0000046	AL2G25180, AL2G25200	CARHR059080
OG0000048	AL3G13680	CARHR077950
OG0000048	AL4G10310	CARHR112070
OG0000048	AL6G29190, AL6G29180	CARHR195030, CARHR195060, CARHR194990
OG0000052	AL1G20340	CARHR002800
OG0000052	AL4G40940	CARHR137510
OG0000052	AL4G40920, AL4G40910, AL4G40930	CARHR127280
OG0000052	AL4G40960	CARHR137530
OG0000053	AL8G40920, AL2G10380, AL1G59190, AL7G34190	CARHR152130, CARHR102470, CARHR286550
OG0000054	AL5G18550, nbis-gene-807	CARHR056490
OG0000055	AL2G13390, AL2G13990	CARHR050220
OG0000055	AL5G26170	CARHR155600
OG0000055	AL2G14100	CARHR050320
OG0000055	AL2G13770	CARHR049970
OG0000055	AL1G66000	CARHR050060
OG0000055	AL2G14070	CARHR049980, CARHR050290, CARHR050280
OG0000055	AL2G14080	CARHR050160
OG0000056	AL6G44140, AL8G19010, AL8G19360	CARHR153090
OG0000057	AL6G52510	CARHR213520
OG0000057	AL3G53160, AL3G53140	CARHR111010
OG0000057	AL3G29670	CARHR092150, CARHR092000
OG0000057	AL3G30370	CARHR092620, CARHR092630
OG0000057	AL3G38080	CARHR094260
OG0000057	AL3G30470	CARHR092560, CARHR092720
OG0000057	AL5G27570, AL2G18120	CARHR090170
OG0000057	AL3G28670	CARHR127660, CARHR214390
OG0000057	nbis-gene-725, AL3G41130	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000061	AL8G29100, AL1G31420, AL8G26420, AL6G33330	CARHR264280
OG0000062	nbis-gene-221	CARHR218140, CARHR115840, CARHR100910
OG0000062	AL8G14210, AL1G57050, AL5G16890, AL1G58670, AL1G58560, AL4G20020, AL7G36270, AL1G30000, AL5G27080, AL3G51940	CARHR256350
OG0000063	AL5G34700	CARHR273610
OG0000063	AL8G36540	CARHR154770
OG0000063	AL1G17860, AL5G24600, AL4G23280, AL8G36210	CARHR121870
OG0000064	AL7G10840	CARHR247830
OG0000064	AL4G29500	CARHR127180, CARHR260300
OG0000064	AL8G13050	CARHR176370
OG0000066	AL2G35580	CARHR069000, CARHR096450, CARHR058350
OG0000066	AL2G35590	CARHR068990
OG0000066	AL6G21580	CARHR202310
OG0000066	AL6G20900	CARHR009160, CARHR202900, CARHR202910, CARHR279320
OG0000066	AL6G20890, AL1G19680, AL5G16700	CARHR279310
OG0000067	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850	CARHR210190
OG0000068	AL7G43840	CARHR034790
OG0000068	AL3G42660, AL7G46520, AL4G33750	CARHR216710
OG0000071	AL6G40690	CARHR055550, CARHR082570, CARHR183910
OG0000073	AL8G18470, AL3G20910, AL2G19370	CARHR116330
OG0000073	AL6G42230	CARHR292230
OG0000073	AL8G11910	CARHR175060
OG0000073	AL5G18720	CARHR175090, CARHR175840, CARHR175230
OG0000074	AL1G37410	CARHR024070
OG0000074	AL1G37390	CARHR024090
OG0000074	AL1G37440	CARHR024100
OG0000074	AL1G37370	CARHR024030
OG0000074	AL1G37380	CARHR024020
OG0000074	AL1G37360	CARHR024000
OG0000074	AL1G37270	CARHR023940
OG0000074	AL1G37280	CARHR023950
OG0000075	AL4G30220	CARHR125670, CARHR125660, CARHR124000
OG0000075	AL1G25470	CARHR292150, CARHR011460
OG0000075	AL1G22320	CARHR010330
OG0000075	AL6G27180, AL1G43860	CARHR008650
OG0000076	AL5G28950	CARHR157840
OG0000076	AL8G17190	CARHR162500
OG0000076	AL1G65610	CARHR065210, CARHR065340
OG0000077	AL34U10100, AL8G22340	CARHR286200, CARHR286190, CARHR286160
OG0000077	AL34U10110, AL34U10130, AL8G22350	CARHR285960
OG0000077	AL7G11690	CARHR247160
OG0000077	AL2G16730, AL2G16030	CARHR247180
OG0000077	nbis-gene-1691	CARHR247140
OG0000079	AL5G40740	CARHR169300
OG0000079	AL5G40710	CARHR169400
OG0000079	AL7G52200, AL7G52210, AL7G52190	CARHR136780, CARHR214200
OG0000079	AL5G40610, AL5G40780	CARHR186450, CARHR286030, CARHR217340
OG0000080	AL7G46170	CARHR215660
OG0000080	AL1G54400	CARHR270010
OG0000080	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030	CARHR038000
OG0000080	nbis-gene-1510, AL6G23310	CARHR039590
OG0000080	AL1G35400, AL7G44920, AL3G24690	CARHR123140
OG0000081	nbis-gene-1089, AL3G17170	CARHR121110
OG0000081	nbis-gene-250	CARHR037410
OG0000081	AL1G54580, AL1G54620	CARHR037720, CARHR037850, CARHR037710
OG0000081	nbis-gene-277	CARHR040900
OG0000081	AL6G29360, AL6G29140	CARHR194900
OG0000083	AL57U10030	CARHR121440, CARHR291360, CARHR291330
