Orthogroup	Brassica_oleracea	Cochlearia_excelsa
OG0000000	XP_013594332.1	g34998, g14238, g16629, g40232, g4651, g36861, g25563
OG0000000	XP_013607847.1	g22659
OG0000000	XP_013631219.1	g23875, g4482
OG0000000	XP_013639798.1	g15642
OG0000000	XP_013624834.1, XP_013617584.1, XP_013628140.1, XP_013632803.1, XP_013594673.1, XP_013639579.1, XP_013639401.1, XP_013594791.1, XP_013589029.1, XP_013632943.1, XP_013607959.1, XP_013614584.1, XP_013624981.1, XP_013624943.1, XP_013629442.1, XP_013629898.1, XP_013589204.1	g4652, g42066
OG0000000	XP_013627230.1	g40877, g32052, g11718, g40053
OG0000000	XP_013594460.1	g36791, g41892, g31287, g53283, g32963, g16747, g16413, g41832, g25280
OG0000000	XP_013594530.1	g1710, g51108, g47070, g43826, g49581
OG0000000	XP_013624623.1	g45106, g24897, g34861, g52921, g13894, g26632
OG0000000	XP_013601459.1	g23493
OG0000000	XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263
OG0000000	XP_013601024.1, XP_013601437.1, XP_013639767.1	g14416, g10434, g12783, g43405, g3096
OG0000000	XP_013633487.1, XP_013633135.1, XP_013639278.1	g41948
OG0000002	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1	g54223, g47322, g50479, g22753, g1903, g3746
OG0000002	XP_013624612.1	g3134
OG0000002	XP_013615241.1, XP_013624472.1	g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182
OG0000002	XP_013632468.1	g16055, g23051, g18890, g45322
OG0000002	XP_013594451.1	g43884
OG0000002	XP_013608132.1	g36079
OG0000002	XP_013624531.1	g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950
OG0000002	XP_013624471.1, XP_013630619.1	g28128, g35851, g3258, g32516
OG0000002	XP_013632797.1	g22355
OG0000003	XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1	g14063
OG0000003	XP_013617895.1, XP_013601861.1, XP_013613505.1, XP_013632463.1	g51436, g50080, g50933, g49020
OG0000003	XP_013589254.1	g18622
OG0000003	XP_013624212.1	g25137
OG0000003	XP_013633333.1, XP_013624315.1, XP_013588987.1, XP_013583277.1, XP_013607765.1	g6810, g1448
OG0000003	XP_013601688.1	g45682, g1467, g38320, g49844
OG0000003	XP_013617795.1	g25134, g35681, g14225, g41636
OG0000003	XP_013601139.1	g18621
OG0000003	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1	g24632
OG0000003	XP_013639347.1	g39352, g43844, g39389
OG0000003	XP_013614573.1	g42622
OG0000003	XP_013589602.1	g54170, g13785, g36223
