Orthogroup	Brassica_oleracea	Conringia_planisiliqua
OG0000000	XP_013594726.1, XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1, XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1	CP24_g46939_DN1_SP0_c.t1
OG0000000	XP_013639285.1, XP_013616974.1	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1
OG0000000	XP_013589224.1	CP18_g11997_DN3_SP0_c.t1
OG0000000	XP_013607847.1	CP1_g39688_DN1_SP0_c.t1, CP7_g45495_DN1_SP0_c.t1, CP22_g17660_DN2_SP0_c.t1
OG0000000	XP_013595033.1, XP_013632378.1	CP9_g27696_DN1_SP0_c.t1
OG0000000	XP_013631219.1	CP28_g33903_DN1_SP0_c.t1, CP27_g41818_DN2_SP0_c.t1
OG0000000	XP_013608467.1	CP21_g10514_DN2_SP0_c.t1, CP5_g2283_DN1_SP0_c.t1, CP3_g15925_DN2_SP0_c.t1
OG0000000	XP_013594546.1, XP_013589191.1, XP_013617741.1, XP_013624739.1	CP18_g12259_DN2_SP0_c.t1
OG0000000	XP_013632831.1	CP18_g12261_DN2_SP0_c.t1, CP18_g11996_DN1_SP0_c.t1
OG0000000	XP_013633053.1	CP5_g2400_DN1_SP0_c.t1
OG0000000	XP_013624139.1	CP84_g51831_DN2_SP0_c.t1, CP17_g5536_DN3_SP0_c.t1
OG0000000	XP_013594922.1, XP_013639569.1	CP3_g14602_DN2_SP0_c.t1
OG0000000	XP_013617205.1, XP_013594406.1, XP_013601638.1	CP2_g50561_DN2_SP0_c.t1
OG0000000	XP_013628112.1	CP3_g14989_DN1_SP0_c.t1
OG0000000	XP_013632634.1	CP5_g2386_DN1_SP0_c.t1
OG0000000	XP_013616899.1, XP_013614454.1	CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1
OG0000000	XP_013594530.1	CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1
OG0000000	XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1	CP36_g50963_DN2_SP0_c.t1
OG0000000	XP_013632878.1	CP2_g49699_DN2_SP0_c.t1
OG0000000	XP_013633487.1, XP_013633135.1, XP_013639278.1	CP15_g34707_DN2_SP0_c.t1
OG0000002	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1	CP35_g52018_DN2_SP0_c.t1
OG0000002	XP_013632468.1	CP3_g16174_DN2_SP0_c.t1
OG0000003	XP_013594483.1, XP_013632484.1	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	XP_013624212.1	CP10_g44057_DN2_SP0_c.t1
OG0000003	XP_013601688.1	CP3_g15821_DN1_SP0_c.t1
OG0000003	XP_013617795.1	CP5_g1517_DN2_SP0_c.t1
OG0000003	XP_013601139.1	CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1
OG0000003	XP_013639726.1	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1
OG0000003	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1	CP26_g51160_DN1_SP0_c.t1, CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1
OG0000003	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1
OG0000003	XP_013639347.1	CP5_g3316_DN2_SP0_c.t1
OG0000003	XP_013614573.1	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1
OG0000003	XP_013632736.1	CP12_g31581_DN1_SP0_c.t1
OG0000003	XP_013639494.1, XP_013639204.1	CP12_g31419_DN1_SP0_c.t1
OG0000003	XP_013595094.1, XP_013633631.1, XP_013601807.1, XP_013589218.1, XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1, XP_013594768.1, XP_013615239.1, XP_013601482.1, XP_013633133.1, XP_013613644.1	CP13_g20572_DN1_SP0_c.t1
OG0000003	XP_013617246.1	CP4_g26010_DN1_SP0_c.t1
OG0000003	XP_013617855.1, XP_013589622.1	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000003	XP_013588986.1	CP3_g14807_DN2_SP0_c.t1
OG0000003	XP_013639486.1, XP_013624949.1, XP_013624679.1, XP_013608037.1, XP_013617230.1, XP_013601547.1, XP_013624393.1, XP_013589306.1	CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000003	XP_013624580.1, XP_013607533.1	CP18_g12232_DN3_SP0_c.t1
OG0000005	XP_013626656.1, XP_013589417.1, XP_013639462.1	CP12_g30974_DN2_SP0_c.t1
OG0000005	XP_013624826.1	CP1_g38464_DN1_SP0_c.t1
OG0000007	XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013632751.1, XP_013639708.1	CP8_g52162_DN2_SP0_c.t1
OG0000008	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1	CP15_g34920_DN2_SP0_c.t1
OG0000008	XP_013601357.1	CP27_g41699_DN2_SP0_c.t1
OG0000008	XP_013629664.1	CP8_g52854_DN2_SP0_c.t1
OG0000008	XP_013614821.1	CP14_g23480_DN3_SP0_c.t1
OG0000008	XP_013583252.1	CP7_g44274_DN3_SP0_c.t1
OG0000009	XP_013595203.1, XP_013633175.1	CP29_g21990_DN1_SP0_c.t1
OG0000009	XP_013613616.1	CP3_g16492_DN1_SP0_c.t1
OG0000009	XP_013608016.1	CP15_g34443_DN2_SP0_c.t1
OG0000009	XP_013635272.1, XP_013614191.1, XP_013589362.1, XP_013607452.1, XP_013627264.1	CP4_g26834_DN1_SP0_c.t1, CP5_g3355_DN3_SP0_c.t1
