Orthogroup	Brassica_oleracea	Cardamine_hirsuta
OG0000000	XP_013589281.1, XP_013639605.1	CARHR219390
OG0000000	XP_013639285.1, XP_013616974.1	CARHR219240, CARHR166210
OG0000000	XP_013589224.1	CARHR219900, CARHR034550
OG0000000	XP_013639798.1	CARHR228880, CARHR142010
OG0000000	XP_013608111.1, XP_013594666.1, XP_013608239.1, XP_013601232.1, XP_013617485.1, XP_013624473.1, XP_013616899.1, XP_013614454.1, XP_013594530.1, XP_013624623.1, XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1, XP_013623358.1, XP_013624757.1, XP_013608522.1	CARHR153350
OG0000007	XP_013639708.1	CARHR180780, CARHR182530
OG0000007	XP_013634604.1	CARHR180980, CARHR287750
OG0000007	XP_013603784.1, XP_013635455.1	CARHR058800, CARHR052910, CARHR152010, CARHR154010
OG0000007	XP_013633894.1	CARHR054400, CARHR257440
OG0000007	XP_013624226.1	CARHR216050
OG0000007	XP_013610211.1	CARHR151410
OG0000007	XP_013632862.1	CARHR150730
OG0000007	XP_013632912.1	CARHR271650
OG0000007	XP_013594580.1	CARHR099640, CARHR266880, CARHR029270, CARHR156020
OG0000007	XP_013607658.1	CARHR216040
OG0000008	XP_013617727.1, XP_013601202.1, XP_013624229.1, XP_013607910.1	CARHR101910
OG0000008	XP_013601357.1	CARHR159360
OG0000008	XP_013629664.1	CARHR217630
OG0000008	XP_013614821.1	CARHR183140
OG0000008	XP_013639623.1, XP_013639271.1	CARHR056560, CARHR114970, CARHR150550
OG0000008	XP_013583252.1	CARHR291920, CARHR221030, CARHR117380
OG0000008	XP_013601615.1	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350
OG0000008	XP_013624694.1	CARHR259120
OG0000008	XP_013632335.1	CARHR119350, CARHR214330, CARHR286130, CARHR178960
OG0000009	XP_013635062.1, XP_013639201.1, XP_013608026.1	CARHR145720
OG0000009	XP_013633175.1	CARHR077050
OG0000009	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1	CARHR114650
OG0000009	XP_013616754.1, XP_013615524.1	CARHR153540, CARHR055780
OG0000011	XP_013617429.1	CARHR218510
OG0000011	XP_013586656.1, XP_013616817.1, XP_013639582.1	CARHR259400
OG0000012	XP_013601212.1	CARHR032710
OG0000012	XP_013614480.1	CARHR256470
OG0000012	XP_013614955.1, XP_013595015.1, XP_013601499.1, XP_013607737.1	CARHR032700
OG0000014	XP_013601086.1, XP_013624639.1, XP_013632903.1, XP_013616976.1	CARHR287490
OG0000015	XP_013614071.1	CARHR258200, CARHR258330
OG0000015	XP_013594602.1, XP_013613389.1, XP_013633310.1, XP_013617465.1, XP_013613387.1, XP_013601199.1, XP_013633118.1, XP_013639376.1, XP_013583421.1, XP_013607863.1, XP_013603434.1, XP_013615586.1	CARHR110600
OG0000020	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1	CARHR113350, CARHR034150, CARHR049310
OG0000020	XP_013624038.1, XP_013608147.1	CARHR213120
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	CARHR146600
OG0000022	XP_013590021.1	CARHR234420
OG0000022	XP_013611057.1	CARHR196550
OG0000022	XP_013606456.1	CARHR049170
OG0000022	XP_013606166.1	CARHR045470, CARHR051030, CARHR048220, CARHR049120
OG0000022	XP_013601047.1	CARHR013000
OG0000022	XP_013604688.1	CARHR012910
OG0000022	XP_013635968.1	CARHR213210
OG0000022	XP_013609571.1	CARHR091960
OG0000024	XP_013632478.1	CARHR062310
OG0000024	XP_013605203.1	CARHR168020, CARHR167830
OG0000024	XP_013624897.1	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	XP_013617956.1	CARHR288360
OG0000026	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1	CARHR104160
OG0000027	XP_013608009.1	CARHR255050
OG0000027	XP_013608654.1	CARHR255040
OG0000027	XP_013624060.1	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	XP_013598807.1	CARHR057450
OG0000027	XP_013598703.1, XP_013598794.1, XP_013598729.1	CARHR230660
OG0000027	XP_013595256.1	CARHR230630
OG0000027	XP_013595247.1	CARHR230460
OG0000027	XP_013598658.1	CARHR230450
OG0000027	XP_013626010.1	CARHR230510
OG0000027	XP_013626677.1	CARHR230500
OG0000027	XP_013625142.1	CARHR230400, CARHR230390
OG0000027	XP_013617506.1	CARHR254870
OG0000027	XP_013598637.1	CARHR230440
OG0000027	XP_013595104.1	CARHR230580
OG0000028	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1	CARHR220000, CARHR100780
OG0000028	XP_013629713.1, XP_013626427.1, XP_013624984.1, XP_013624985.1, XP_013609443.1, XP_013625644.1, XP_013629798.1	CARHR030090, CARHR289310
OG0000028	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1	CARHR267520, CARHR267660
OG0000028	XP_013614694.1, XP_013624781.1, XP_013626875.1	CARHR242050
OG0000028	XP_013614695.1, XP_013624780.1, XP_013624779.1	CARHR244240
OG0000028	XP_013617015.1, XP_013617014.1	CARHR267700
OG0000029	XP_013617135.1, XP_013615424.1	CARHR056480, CARHR153130
OG0000029	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1	CARHR116610, CARHR153140
OG0000030	XP_013615042.1	CARHR134370
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	XP_013634175.1, XP_013615698.1, XP_013593493.1	CARHR088860, CARHR095910, CARHR026350
OG0000032	XP_013638158.1	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614355.1	CARHR289940
OG0000032	XP_013601246.1	CARHR284240
OG0000034	XP_013595252.1, XP_013595253.1, XP_013598717.1	CARHR230270, CARHR230290
OG0000034	XP_013595249.1	CARHR230240
OG0000034	XP_013594180.1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	XP_013598071.1	CARHR289950
OG0000034	XP_013611706.1	CARHR106160
OG0000034	XP_013593131.1, XP_013626222.1	CARHR230230, CARHR230200
OG0000034	XP_013598676.1	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	XP_013636991.1, XP_013607885.1, XP_013618965.1	CARHR034500, CARHR120350, CARHR104490
OG0000038	XP_013601144.1, YP_004927454.1	CARHR187570
OG0000038	XP_013608254.1	CARHR259820
OG0000039	XP_013617482.1, XP_013617341.1	CARHR184170
OG0000042	XP_013589127.1, XP_013624490.1	CARHR116060, CARHR260310
OG0000042	XP_013598956.1	CARHR181500
OG0000044	XP_013628727.1	CARHR174840
OG0000044	XP_013624330.1	CARHR116350
OG0000046	XP_013633177.1	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470
