Orthogroup	Brassica_oleracea	Arabidopsis_lyrata_Rawat
OG0000000	XP_013615253.1	AL1G56600
OG0000000	XP_013631219.1	AL7G44730
OG0000000	XP_013639798.1	AL3G23500, AL3G28120, AL7G39870
OG0000000	XP_013589426.1, XP_013608138.1, XP_013601226.1	AL3G39580, AL2G19540
OG0000000	XP_013624139.1	AL2G12570, AL4G43860
OG0000000	XP_013639528.1, XP_013623967.1, XP_013595003.1, XP_013608296.1, XP_013617205.1, XP_013594406.1, XP_013601638.1, XP_013594455.1, XP_013607556.1, XP_013624151.1, XP_013628112.1, XP_013632833.1, XP_013594838.1, XP_013624723.1, XP_013617764.1	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	XP_013624532.1, XP_013624835.1, XP_013589327.1, XP_013633450.1	AL6G33910, AL4G36510
OG0000000	XP_013624623.1	AL8G17890
OG0000000	XP_013601459.1, XP_013624458.1, XP_013633199.1	AL6G49130
OG0000000	XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180
OG0000000	XP_013601024.1, XP_013601437.1	AL7G47010
OG0000000	XP_013632885.1, XP_013624410.1	AL6G44150, AL5G22440
OG0000000	XP_013632878.1	AL8G17990, AL4G17570
OG0000000	XP_013633487.1, XP_013633135.1, XP_013639278.1	AL7G35400
OG0000002	XP_013594451.1, XP_013608132.1, XP_013617459.1, XP_013624531.1	AL8G20200
OG0000003	XP_013589605.1, XP_013624294.1	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000003	XP_013589325.1	AL1G64130, AL5G19200, AL5G16490
OG0000003	XP_013589254.1	AL1G46060, AL4G47110, AL6G10850
OG0000003	XP_013614571.1, XP_013624212.1	AL8G41490, AL4G39950, AL363U10020
OG0000003	XP_013601688.1	AL7G48880
OG0000003	XP_013639726.1	AL433U10010
OG0000003	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1	AL4G19540
OG0000003	XP_013639646.1, XP_013608327.1, XP_013608171.1, XP_013617581.1	AL6G19270
OG0000003	XP_013639347.1	AL3G36170
OG0000003	XP_013601566.1, XP_013639497.1	AL3G44960
OG0000003	XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1	AL4G18440
OG0000003	XP_013595094.1, XP_013633631.1, XP_013601807.1, XP_013589218.1, XP_013633247.1, XP_013601581.1, XP_013594653.1, XP_013617757.1, XP_013594768.1, XP_013615239.1, XP_013601482.1, XP_013633133.1, XP_013613644.1	AL3G46190
OG0000003	XP_013617846.1, XP_013632539.1	AL8G18370
OG0000003	XP_013639486.1, XP_013624949.1, XP_013624679.1, XP_013608037.1, XP_013617230.1, XP_013601547.1	AL96U10010
OG0000003	XP_013624393.1, XP_013589306.1	AL1G46090
OG0000003	XP_013624580.1	AL7G34100
OG0000003	XP_013607533.1	AL3G40240, AL2G10360
OG0000004	XP_013624852.1, XP_013624387.1, XP_013633000.1	AL1G59120
OG0000004	XP_013590901.1, XP_013608188.1	AL2G22640
OG0000004	XP_013588715.1, XP_013608377.1, XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1, XP_013594371.1, XP_013595201.1, XP_013602945.1, XP_013601532.1, XP_013623778.1, XP_013607655.1	AL7G43300
OG0000004	XP_013601368.1	AL4G11460
OG0000004	XP_013608060.1, XP_013632935.1, XP_013632641.1, XP_013624469.1, XP_013614693.1	AL6G45170
OG0000004	XP_013601294.1	AL1G65200
OG0000005	XP_013614810.1, XP_013624578.1	AL4G12740
OG0000005	XP_013624326.1	AL8G18430
OG0000005	XP_013601863.1	AL63U10040
OG0000005	XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1	AL7G13490
OG0000005	XP_013633002.1, XP_013624018.1, XP_013624595.1, XP_013624390.1, XP_013601099.1, XP_013624698.1, XP_013601267.1, XP_013624493.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013617697.1, XP_013617299.1, XP_013624966.1, XP_013601292.1, XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1	AL97U10030, AL8G11290
OG0000005	XP_013616730.1	AL2G18790
OG0000005	XP_013589090.1	AL1G65770
OG0000007	XP_013634604.1, XP_013617289.1	AL1G53130
OG0000007	XP_013610211.1	AL4G24120
OG0000007	XP_013601610.1, XP_013595036.1	AL8G18310, AL1G37680, AL3G20440
OG0000007	XP_013632862.1	AL2G22610
OG0000007	XP_013595054.1, XP_013617368.1, XP_013589618.1	AL5G31160
OG0000007	XP_013632912.1, XP_013594580.1, XP_013607658.1	AL5G15300
OG0000008	XP_013639786.1	AL8G22780
OG0000008	XP_013608259.1, XP_013584735.1, XP_013639639.1	AL2G17460, AL6G27010, AL5G18950, AL7G45220
OG0000008	XP_013624621.1, XP_013639785.1	AL877U10020, AL6G44830
OG0000008	XP_013601615.1	AL5G32180, AL5G32140, AL5G32150
OG0000009	XP_013608210.1	AL1G49730
OG0000009	XP_013635062.1, XP_013639201.1, XP_013608026.1	AL6G36520
OG0000009	XP_013633205.1	AL2G12600
OG0000009	XP_013594815.1	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360
OG0000009	XP_013624783.1, XP_013639114.1, XP_013588892.1, XP_013595202.1, XP_013617786.1, XP_013613616.1	AL8G14160
OG0000009	XP_013614431.1	AL7G37950
OG0000009	XP_013608016.1	AL4G34770
OG0000009	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1	AL2G39630
OG0000009	XP_013639216.1, XP_013589238.1, XP_013589005.1, XP_013608331.1, XP_013589604.1, XP_013595149.1, XP_013639361.1, XP_013601764.1	AL4G46120, AL8G23160
OG0000009	XP_013616754.1, XP_013615524.1	AL1G62100
OG0000011	XP_013617429.1	AL6G32670
OG0000011	XP_013627832.1, XP_013615711.1	AL8G22980
OG0000011	XP_013607551.1	AL7G52850
OG0000011	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1	AL1G50520, AL5G34620, AL5G17780
OG0000011	XP_013615397.1	AL1G17050
OG0000011	XP_013610312.1, XP_013624126.1, XP_013624406.1, XP_013608203.1	AL2G26450
OG0000011	XP_013589498.1, XP_013632628.1, XP_013633248.1	AL2G23260
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	AL8G15640, AL3G37530, AL6G20560
OG0000012	XP_013595041.1, XP_013589318.1	AL5G12390
OG0000014	XP_013634434.1, XP_013613796.1	AL8G19810, AL2G20440
OG0000015	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1	AL3G46060
OG0000015	XP_013594602.1	AL3G46050
OG0000015	XP_013633310.1, XP_013617465.1, XP_013613387.1	AL2G24310
OG0000015	XP_013601199.1, XP_013633118.1	AL1G29330, AL6G27260
OG0000016	XP_013633483.1	AL2G23610
OG0000020	XP_013624038.1, XP_013608147.1	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630, AL7G16690, AL7G11240, AL4G42290
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000021	XP_013594507.1, XP_013631302.1	AL7G47350, AL7G51150
OG0000022	XP_013611057.1	AL6G27650
OG0000022	XP_013606456.1	AL2G13120
OG0000022	XP_013606166.1	AL2G13070
OG0000022	XP_013601047.1	AL1G24190
OG0000022	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1	AL1G23630, AL1G24180, AL1G23620
OG0000022	XP_013603447.1	AL1G16610
OG0000022	XP_013635968.1	AL7G48260
OG0000022	XP_013609571.1	AL3G29640
OG0000023	XP_013613579.1, XP_013639689.1	AL7G45280, AL8G19630
OG0000023	XP_013624598.1	AL2G18620
OG0000023	XP_013589397.1, XP_013632474.1	AL8G19620
OG0000023	XP_013630371.1	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450
OG0000023	XP_013632550.1, XP_013607989.1, XP_013589200.1	AL7G44260
OG0000023	XP_013608042.1, XP_013608012.1, XP_013594286.1, XP_013614920.1, XP_013632806.1, XP_013601010.1, XP_013598954.1, XP_013617098.1	AL5G21700, AL7G45880
OG0000024	XP_013597425.1	AL4G16470
OG0000024	XP_013632478.1	AL3G45420, AL4G35160
OG0000024	XP_013605203.1	AL5G23680
OG0000024	XP_013624897.1	AL1G45210
OG0000025	XP_013617956.1	AL6G41860
OG0000025	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1, XP_013615038.1, XP_013639661.1	AL460U10010
