Orthogroup	Arabis_alpina	Alyssum_gmelinii
OG0000002	Aa_G109850.h1.t1, Aa_G417360.h1.t1	Ag005G410720
OG0000002	Aa_G940570.h1.t1, Aa_G202640.h1.t1	Ag005G437270, Ag005G410710
OG0000003	Aa_G301670.h1.t1	Ag001G024370
OG0000003	Aa_G878030.h1.t1	Ag004G365940
OG0000003	Aa_G169510.h1.t1	Ag007G647490
OG0000005	Aa_G1025960.h1.t1	Ag005G473830, Ag001G076570
OG0000007	Aa_G60120.h1.t1	Ag006G558310, Ag005G454430, Ag006G564860, Ag001G013150, Ag004G317600, Ag006G566160, Ag005G467300, Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540, Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220, Ag003G269320
OG0000008	Aa_G302250.h1.t1	Ag001G015890
OG0000011	Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1	Ag008G699310
OG0000012	Aa_G297380.h1.t1	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790
OG0000014	Aa_G871750.h1.t1, Aa_G482960.h1.t1	Ag001G020750
OG0000015	Aa_G962140.h1.t1	Ag008G675720
OG0000017	Aa_G135640.h1.t1	Ag005G432180, Ag001G042370
OG0000017	Aa_G813170.h5.t1, Aa_G813170.h4.t1, Aa_G813170.h1.t1, Aa_G813170.h3.t1, Aa_G813170.h2.t1	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510
OG0000019	Aa_G277650.h1.t1	Ag003G276070
OG0000020	Aa_G1000.h1.t1, Aa_G209100.h1.t1	Ag005G440730
OG0000021	Aa_G505500.h1.t1	Ag008G685590
OG0000023	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	Aa_G597270.h1.t1	Ag002G145450
OG0000023	Aa_G200900.h1.t1	Ag006G547270
OG0000023	Aa_G200830.h1.t1	Ag006G549060, Ag006G543820
OG0000024	Aa_G1029040.h1.t1, Aa_G1084040.h1.t1, Aa_G1015730.h1.t1, Aa_G717720.h1.t1, Aa_G310360.h1.t1, Aa_G209290.h1.t1, Aa_G355270.h1.t1, Aa_G852800.h1.t1, Aa_G702600.h1.t1, Aa_G707250.h1.t1, Aa_G125690.h1.t1, Aa_G790400.h1.t1, Aa_G655520.h1.t1, Aa_G254490.h1.t1, Aa_G827620.h1.t1, Aa_G166100.h1.t1, Aa_G24870.h1.t1, Aa_G117090.h1.t1, Aa_G328120.h1.t1, Aa_G143020.h1.t1, Aa_G82790.h1.t1, Aa_G77080.h1.t1, Aa_G369590.h1.t1, Aa_G214670.h1.t1, Aa_G398820.h1.t1, Aa_G315750.h1.t1, Aa_G171760.h1.t1, Aa_G415950.h1.t1, Aa_G547320.h1.t1, Aa_G762360.h1.t1, Aa_G28910.h1.t1, Aa_G62470.h1.t1, Aa_G618600.h1.t1, Aa_G251930.h1.t1, Aa_G490730.h1.t1, Aa_G355240.h1.t1, Aa_G321520.h1.t1	Ag002G157990, Ag002G117810, Ag003G279100
OG0000024	Aa_G1071170.h1.t1, Aa_G1070950.h1.t1, Aa_G504310.h1.t1, Aa_G1065450.h1.t1, Aa_G1065450.h2.t1, Aa_G1036850.h1.t1, Aa_G1060830.h1.t1, Aa_G1060830.h2.t1, Aa_G1022550.h1.t1, Aa_G592290.h1.t1, Aa_G1027940.h1.t1, Aa_G1057970.h1.t1, Aa_G1057970.h2.t1, Aa_G382890.h1.t1, Aa_G568240.h1.t1, Aa_G946730.h1.t1, Aa_G1031130.h1.t1, Aa_G989550.h1.t1, Aa_G354530.h1.t1, Aa_G1075240.h1.t1, Aa_G1090860.h1.t1, Aa_G907570.h1.t1, Aa_G639840.h1.t1, Aa_G1073480.h1.t1, Aa_G60160.h1.t1, Aa_G1059840.h1.t1, Aa_G128260.h1.t1, Aa_G200670.h1.t1, Aa_G60020.h1.t1, Aa_G689840.h1.t1, Aa_G178780.h1.t1, Aa_G489570.h1.t1, Aa_G6130.h1.t1, Aa_G415170.h1.t1, Aa_G655510.h1.t1, Aa_G440380.h1.t1, Aa_G530180.h1.t1, Aa_G398060.h1.t1, Aa_G319930.h1.t1, Aa_G218430.h1.t1, Aa_G705330.h1.t1, Aa_G600110.h1.t1, Aa_G3420.h1.t1, Aa_G3750.h1.t1, Aa_G305740.h1.t1, Aa_G362770.h1.t1, Aa_G70710.h1.t1, Aa_G91930.h1.t1, Aa_G592300.h1.t1, Aa_G707390.h1.t1	Ag003G257540
OG0000025	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1	Ag003G230310
OG0000026	Aa_G387540.h1.t1	Ag013G741580, Ag002G192470
OG0000028	Aa_G988890.h1.t1, Aa_G637980.h1.t1, Aa_G288600.h1.t1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1	Ag002G168100, Ag004G354120
OG0000029	Aa_G154360.h1.t1	Ag002G175390, Ag005G441680, Ag006G519730, Ag001G067390
OG0000029	Aa_G342490.h1.t1	Ag002G186330, Ag006G491400
OG0000030	Aa_G76670.h1.t1	Ag008G670610
OG0000030	Aa_G528960.h1.t1	Ag007G608580
OG0000030	Aa_G569810.h1.t1	Ag005G416870
OG0000030	Aa_G361630.h1.t1, Aa_G61910.h1.t1	Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020
OG0000030	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470
OG0000030	Aa_G963460.h1.t1, Aa_G338960.h1.t1	Ag004G398140, Ag003G263120
OG0000030	Aa_G500830.h1.t1	Ag001G021090, Ag003G292130, Ag005G430740, Ag003G292140
OG0000031	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1	Ag001G078560, Ag004G386130
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	Ag006G547230, Ag006G549390
OG0000033	Aa_G191730.h1.t1	Ag006G543630, Ag006G543880
OG0000033	Aa_G58920.h1.t1	Ag006G564890, Ag003G210460
OG0000033	Aa_G474070.h1.t1	Ag006G547250, Ag006G549400
OG0000033	Aa_G191690.h1.t1	Ag006G547380, Ag006G549570
OG0000035	Aa_G584300.h1.t1	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040
OG0000035	Aa_G570500.h1.t1, Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	Ag005G463540, Ag005G463520, Ag005G463530
OG0000035	Aa_G154560.h1.t1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	Aa_G444220.h1.t1	Ag003G262470, Ag003G288580, Ag005G424740
OG0000038	Aa_G525570.h1.t1	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	Aa_G470970.h1.t1	Ag001G003660
OG0000038	Aa_G344370.h1.t1	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	Aa_G652770.h1.t1	Ag003G279120
OG0000038	Aa_G973150.h2.t1, Aa_G973150.h1.t1	Ag004G335820
OG0000038	Aa_G572080.h1.t1, Aa_G136980.h1.t1	Ag005G471060
OG0000038	Aa_G73290.h1.t1	Ag004G348120
OG0000038	Aa_G136990.h1.t1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000040	Aa_G152820.h1.t1	Ag007G626240, Ag005G483200, Ag002G109870
OG0000040	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000046	Aa_G439600.h1.t1, Aa_G408550.h1.t1	Ag007G619200, Ag007G619210
OG0000046	Aa_G369740.h1.t1	Ag002G197360
OG0000046	Aa_G190950.h1.t1, Aa_G756440.h1.t1	Ag002G129690, Ag002G129740, Ag002G129710
OG0000047	Aa_G159200.h1.t1	Ag007G585730, Ag007G603890, Ag006G525770
OG0000048	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1	Ag005G486480
OG0000048	Aa_G759400.h1.t1, Aa_G339700.h1.t1, Aa_G438200.h1.t1	Ag005G486490
OG0000050	Aa_G288270.h1.t1, Aa_G8040.h1.t1	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000050	Aa_G417500.h1.t1	Ag001G062310
OG0000052	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1	Ag004G301370, Ag004G301320
OG0000052	Aa_G399340.h1.t1	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	Aa_G599340.h1.t1	Ag002G194060
OG0000055	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G594100.h1.t1, Aa_G643830.h1.t1	Ag004G334400, Ag004G379910
OG0000056	Aa_G652160.h1.t1, Aa_G44560.h1.t1	Ag001G076880, Ag002G181330
OG0000056	Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	Ag008G680730
OG0000056	Aa_G505780.h1.t1, Aa_G563840.h1.t1, Aa_G243550.h1.t1	Ag002G121000, Ag006G542770
OG0000057	Aa_G253800.h1.t1	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	Aa_G659190.h1.t1	Ag005G459920
OG0000057	Aa_G32130.h1.t1	Ag005G462800, Ag005G462790
OG0000058	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1	Ag006G516660
OG0000063	Aa_G375890.h5.t1	Ag008G698780
OG0000063	Aa_G318860.h6.t1	Ag007G595160, Ag002G172730
OG0000063	Aa_G448310.h6.t1	Ag007G586340
OG0000063	Aa_G448310.h4.t1	Ag001G073100
OG0000063	Aa_G367650.h3.t1	Ag004G307570
OG0000063	Aa_G197130.h3.t1	Ag004G307350
OG0000063	Aa_G550780.h7.t1	Ag002G119010
OG0000063	Aa_G257700.h6.t1	Ag008G710470
