Orthogroup	Arabis_alpina	Noccaea_praecox
OG0000002	Aa_G645190.h1.t1	Np001G043410, Np002G102940, Np001G043030
OG0000002	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1, Aa_G440660.h1.t1, Aa_G6650.h1.t1, Aa_G429320.h1.t1	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920
OG0000002	Aa_G109850.h1.t1, Aa_G417360.h1.t1	Np008G426050
OG0000002	Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1	Np001G043040
OG0000002	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1	Np007G405440
OG0000002	Aa_G940570.h1.t1, Aa_G202640.h1.t1	Np006G346800, Np002G102950
OG0000002	Aa_G166190.h1.t1	Np009G429290
OG0000003	Aa_G619980.h1.t1, Aa_G619980.h2.t1, Aa_G409540.h1.t1, Aa_G125480.h1.t1	Np001G048700
OG0000005	Aa_G1025960.h1.t1	Np002G080500
OG0000005	Aa_G122060.h1.t1	Np004G197000
OG0000006	Aa_G727680.h1.t1, Aa_G70820.h1.t1, Aa_G508230.h1.t1, Aa_G85610.h1.t1	Np005G313160
OG0000007	Aa_G60120.h1.t1	Np006G357400, Np005G299740, Np007G402900, Np001G003900, Np005G307400, Np003G129790, Np005G315800, Np003G152970
OG0000007	Aa_G175710.h1.t1	Np003G126450
OG0000008	Aa_G302250.h1.t1	Np001G053530
OG0000011	Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1	Np001G009230, Np006G351190
OG0000011	Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	Np005G296030, Np001G026330, Np005G265830, Np003G163940
OG0000012	Aa_G297380.h1.t1	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280
OG0000013	Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160
OG0000015	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1	Np007G402630
OG0000015	Aa_G522550.h1.t1	Np007G409210, Np007G416110
OG0000015	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1	Np001G029500
OG0000020	Aa_G1000.h1.t1	Np002G099760
OG0000020	Aa_G209100.h1.t1	Np005G303330, Np004G208430
OG0000020	Aa_G907350.h1.t1	Np008G428370
OG0000021	Aa_G505500.h1.t1	Np005G303890
OG0000023	Aa_G200950.h1.t1, Aa_G200910.h1.t1	Np005G283900
OG0000023	Aa_G200900.h1.t1	Np005G284120
OG0000023	Aa_G200830.h1.t1	Np005G284010
OG0000023	Aa_G191740.h1.t1	Np005G284070
OG0000024	Aa_G1071170.h1.t1, Aa_G1070950.h1.t1, Aa_G504310.h1.t1, Aa_G1065450.h1.t1, Aa_G1065450.h2.t1, Aa_G1036850.h1.t1, Aa_G1060830.h1.t1, Aa_G1060830.h2.t1, Aa_G1022550.h1.t1, Aa_G592290.h1.t1, Aa_G1027940.h1.t1, Aa_G1057970.h1.t1, Aa_G1057970.h2.t1, Aa_G382890.h1.t1, Aa_G568240.h1.t1, Aa_G946730.h1.t1, Aa_G1031130.h1.t1, Aa_G989550.h1.t1, Aa_G354530.h1.t1, Aa_G1075240.h1.t1, Aa_G1090860.h1.t1, Aa_G907570.h1.t1, Aa_G639840.h1.t1, Aa_G1073480.h1.t1, Aa_G60160.h1.t1, Aa_G1059840.h1.t1, Aa_G128260.h1.t1, Aa_G200670.h1.t1, Aa_G60020.h1.t1, Aa_G689840.h1.t1, Aa_G178780.h1.t1, Aa_G489570.h1.t1, Aa_G6130.h1.t1, Aa_G415170.h1.t1, Aa_G655510.h1.t1, Aa_G440380.h1.t1, Aa_G530180.h1.t1, Aa_G398060.h1.t1, Aa_G319930.h1.t1, Aa_G218430.h1.t1, Aa_G705330.h1.t1, Aa_G600110.h1.t1, Aa_G3420.h1.t1, Aa_G3750.h1.t1, Aa_G305740.h1.t1, Aa_G362770.h1.t1, Aa_G70710.h1.t1, Aa_G91930.h1.t1, Aa_G592300.h1.t1, Aa_G707390.h1.t1	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770
OG0000025	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1	Np003G164310, Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400
OG0000025	Aa_G553200.h1.t1	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360, Np003G183240
OG0000026	Aa_G387540.h1.t1	Np003G172690, Np003G171320
OG0000027	Aa_G230140.h1.t1	Np004G214870, Np005G271730, Np004G214850
OG0000027	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	Np001G057950, Np001G057940
OG0000028	Aa_G248570.h1.t1	Np003G168060, Np003G175100, Np002G106380
OG0000029	Aa_G154360.h1.t1	Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950
OG0000029	Aa_G302660.h1.t1	Np003G172500
OG0000029	Aa_G342490.h1.t1	Np002G113330, Np005G304980
OG0000030	Aa_G67230.h1.t1	Np004G229860
OG0000030	Aa_G500830.h1.t1	Np002G096140, Np004G216100, Np006G330890
OG0000031	Aa_G10820.h1.t1, Aa_G291980.h1.t1, Aa_G291990.h1.t1	Np004G244900
OG0000032	Aa_G631350.h1.t1	Np002G100550
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	Np005G284050, Np005G284060
OG0000033	Aa_G191730.h1.t1	Np005G284080
OG0000033	Aa_G191700.h1.t1	Np005G284150
OG0000033	Aa_G191690.h1.t1	Np005G284160
OG0000035	Aa_G43710.h1.t1	Np006G364470
OG0000035	Aa_G570500.h1.t1, Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1, Aa_G154560.h1.t1	Np005G313520
OG0000036	Aa_G444220.h1.t1	Np006G342180, Np004G233440, Np005G260660
OG0000038	Aa_G525570.h1.t1	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	Aa_G344370.h1.t1	Np005G270740, Np005G270650, Np005G270700
OG0000040	Aa_G243430.h1.t1	Np004G224970, Np004G224940
OG0000040	Aa_G152820.h1.t1	Np004G224990
OG0000044	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000046	Aa_G120780.h1.t1, Aa_G120790.h1.t1	Np005G314650
OG0000046	Aa_G439600.h1.t1, Aa_G408550.h1.t1	Np005G313330
OG0000046	Aa_G369740.h1.t1	Np007G386460
OG0000048	Aa_G253630.h1.t1	Np003G145480
OG0000048	Aa_G253740.h1.t1	Np003G145420
OG0000048	Aa_G253710.h1.t1	Np003G145430
OG0000049	Aa_G135690.h1.t1	Np004G254290
OG0000050	Aa_G288270.h1.t1	Np002G094900
OG0000050	Aa_G8040.h1.t1	Np007G402160
OG0000052	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	Aa_G399340.h1.t1	Np006G328530, Np006G328520
OG0000052	Aa_G678670.h1.t1	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670
OG0000052	Aa_G592860.h1.t1	Np002G116790, Np002G107170, Np002G116330
OG0000052	Aa_G599340.h1.t1	Np006G328590, Np006G328570, Np006G328580
OG0000054	Aa_G319750.h1.t1, Aa_G362310.h1.t1	Np004G255790, Np005G312070, Np007G389250
OG0000055	Aa_G534300.h1.t1, Aa_G47070.h1.t1	Np002G120200, Np002G120190, Np002G120180
OG0000055	Aa_G615080.h1.t1	Np002G119400
OG0000056	Aa_G652160.h1.t1, Aa_G44560.h1.t1	Np003G158880, Np007G412270, Np005G282430
OG0000056	Aa_G505780.h1.t1	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000056	Aa_G563840.h1.t1, Aa_G243550.h1.t1	Np004G212730
OG0000057	Aa_G5070.h1.t1	Np007G419120, Np007G419160, Np005G285180
OG0000057	Aa_G659190.h1.t1	Np007G392240, Np007G392300
OG0000057	Aa_G507860.h1.t1	Np007G398210, Np010G435080, Np007G401600
OG0000058	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410
OG0000062	Aa_G297760.h1.t1, Aa_G255800.h1.t1	Np003G173970, Np003G170000
OG0000063	Aa_G197130.h7.t1	Np001G045620
OG0000063	Aa_G550780.h4.t1	Np006G337020
