Orthogroup	Arabis_alpina	Cardamine_amara
OG0000002	Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1	evm.model.RL_1.3293
OG0000002	Aa_G645190.h1.t1	evm.model.RL_7.2065
OG0000002	Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607
OG0000003	Aa_G301670.h1.t1	evm.model.RL_2.1084
OG0000003	Aa_G169510.h1.t1	evm.model.RL_2.668, evm.model.RL_3.810
OG0000005	Aa_G122060.h1.t1	evm.model.RL_7.1952, evm.model.RL_8.339
OG0000007	Aa_G60120.h1.t1	evm.model.RL_2.1094, evm.model.RL_5.2474, evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701, evm.model.RL_2.506
OG0000008	Aa_G302250.h1.t1	evm.model.RL_7.1211
OG0000010	Aa_G848940.h1.t1	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000011	Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	evm.model.RL_6.446
OG0000012	Aa_G297380.h1.t1	evm.model.RL_4.165
OG0000013	Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	Aa_G790.h1.t1	evm.model.RL_6.796
OG0000015	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1	evm.model.RL_7.2535
OG0000015	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1	evm.model.RL_8.879
OG0000017	Aa_G135640.h1.t1	evm.model.RL_7.1888
OG0000020	Aa_G907350.h1.t1	evm.model.RL_8.1178, evm.model.RL_7.1677, evm.model.RL_7.2128
OG0000021	Aa_G505500.h1.t1	evm.model.RL_7.92, evm.model.RL_2.444
OG0000023	Aa_G200970.h1.t1	evm.model.RL_2.1831
OG0000023	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1	evm.model.RL_2.1842
OG0000023	Aa_G643320.h1.t1, Aa_G597290.h1.t1	evm.model.RL_8.634, evm.model.RL_8.635, evm.model.RL_7.2085
OG0000023	Aa_G200860.h1.t1, Aa_G522580.h1.t1	evm.model.RL_2.1840
OG0000023	Aa_G200950.h1.t1, Aa_G200910.h1.t1	evm.model.RL_2.1839
OG0000023	Aa_G200900.h1.t1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	Aa_G200830.h1.t1	evm.model.RL_2.1826
OG0000025	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1	evm.model.RL_2.872
OG0000025	Aa_G553200.h1.t1	evm.model.RL_2.3111, evm.model.RL_8.1529
OG0000026	Aa_G387540.h1.t1	evm.model.RL_1.193, evm.model.RL_1.2571, evm.model.RL_5.679, evm.model.RL_7.315
OG0000027	Aa_G230140.h1.t1	evm.model.RL_5.2839
OG0000027	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	Aa_G248570.h1.t1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	Aa_G988890.h1.t1, Aa_G637980.h1.t1, Aa_G288600.h1.t1	evm.model.RL_4.1689
OG0000029	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1	evm.model.RL_4.797
OG0000029	Aa_G302660.h1.t1	evm.model.RL_2.306
OG0000030	Aa_G392560.h1.t1	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258
OG0000031	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1	evm.model.RL_3.205
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	Aa_G191730.h1.t1	evm.model.RL_2.1828
OG0000033	Aa_G474070.h1.t1, Aa_G92800.h1.t1	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	Aa_G191690.h1.t1	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	Aa_G92840.h1.t1, Aa_G191750.h1.t1, Aa_G92810.h1.t1, Aa_G92790.h1.t1	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000036	Aa_G444220.h1.t1	evm.model.RL_5.2564
OG0000036	Aa_G527390.h1.t1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000040	Aa_G243430.h1.t1	evm.model.RL_2.1272
OG0000044	Aa_G675110.h1.t1	evm.model.RL_4.607
