Orthogroup	Arabis_alpina	Aethionema_saxatile
OG0000002	Aa_G450290.h1.t1, Aa_G55520.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G17980.h1.t1	As006G147770
OG0000002	Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1	As004G091160
OG0000002	Aa_G940570.h1.t1, Aa_G202640.h1.t1	As004G091170
OG0000006	Aa_G596260.h1.t1, Aa_G188000.h1.t1, Aa_G437570.h1.t1, Aa_G727680.h1.t1, Aa_G70820.h1.t1, Aa_G508230.h1.t1, Aa_G85610.h1.t1	As010G228090
OG0000010	Aa_G192810.h1.t1	As002G038660, As004G091490, As006G148670, As002G039770
OG0000011	Aa_G378160.h1.t1, Aa_G870430.h1.t1	As007G165830
OG0000014	Aa_G482960.h1.t1	As010G230580
OG0000015	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1, Aa_G252900.h1.t1, Aa_G11720.h1.t1	As010G225860
OG0000015	Aa_G522550.h1.t1	As001G010760
OG0000015	Aa_G212210.h1.t1	As011G262470
OG0000017	Aa_G813170.h5.t1, Aa_G813170.h4.t1, Aa_G813170.h1.t1, Aa_G813170.h3.t1, Aa_G813170.h2.t1	As001G010690
OG0000019	Aa_G277650.h1.t1	As009G203070
OG0000020	Aa_G907350.h1.t1	As007G165150, As001G010310, As001G015320
OG0000023	Aa_G200970.h1.t1	As003G061290
OG0000023	Aa_G597270.h1.t1	As004G084560, As004G084580, As004G084570
OG0000023	Aa_G200830.h1.t1	As003G061350
OG0000026	Aa_G387540.h1.t1	As001G006500, As007G166710, As007G165250
OG0000027	Aa_G381220.h1.t1, Aa_G565560.h1.t1	As003G071460
OG0000029	Aa_G154360.h1.t1	As004G091740, As005G109110
OG0000030	Aa_G67230.h1.t1	As011G260570, As011G260600, As010G228030, As011G258250
OG0000030	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	As001G013350
OG0000031	Aa_G447870.h1.t1	As009G202600
OG0000031	Aa_G97120.h1.t1	As006G134510
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	Aa_G58920.h1.t1	As003G059410, As003G059430, As003G059400
OG0000033	Aa_G6160.h1.t1, Aa_G474070.h1.t1, Aa_G92800.h1.t1, Aa_G191700.h1.t1, Aa_G191690.h1.t1, Aa_G92840.h1.t1, Aa_G191750.h1.t1, Aa_G92810.h1.t1, Aa_G92790.h1.t1	As003G061210, As003G061160
OG0000036	Aa_G527390.h1.t1	As008G192160
OG0000038	Aa_G525570.h1.t1	As009G211050, As009G210990, As009G210820
OG0000038	Aa_G678930.h2.t1, Aa_G678930.h1.t1, Aa_G180860.h1.t1, Aa_G572080.h1.t1, Aa_G136980.h1.t1, Aa_G73290.h1.t1	As007G157540
OG0000048	Aa_G339740.h1.t1	As006G137090, As006G137040, As006G137120, As006G137000
OG0000048	Aa_G339720.h1.t1	As006G137100, As006G137070, As006G137030
OG0000048	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1	As006G136970
