Orthogroup	Arabis_alpina	Cochlearia_excelsa
OG0000000	Aa_G290190.h1.t1	g25254, g41562, g42198
OG0000000	Aa_G305790.h1.t1	g16396, g30119, g30252, g34845, g9059, g21875, g30199, g22028, g21099, g36650, g9224, g52509, g9287
OG0000002	Aa_G450290.h1.t1, Aa_G55520.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G17980.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G879130.h1.t1, Aa_G871860.h1.t1	g35474
OG0000002	Aa_G973590.h1.t1	g22268
OG0000002	Aa_G919120.h1.t1, Aa_G523140.h1.t1	g22354, g53783
OG0000002	Aa_G544990.h1.t1	g35211, g32330, g19106, g4895, g38552, g40259, g12705, g17829, g45326, g2353, g4579, g19249, g3132, g1175, g18891, g16869
OG0000002	Aa_G395200.h1.t1	g22280, g22501
OG0000002	Aa_G645190.h1.t1	g28460
OG0000002	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1	g52214
OG0000002	Aa_G504380.h1.t1, Aa_G843080.h1.t1	g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989
OG0000002	Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1	g36550, g50260, g51102, g50562, g23648, g37011, g46087, g46299, g35126, g28808, g17293, g12952, g16611, g49632, g19055, g14321, g2075, g46797, g51805, g6616, g29227
OG0000002	Aa_G940570.h1.t1, Aa_G202640.h1.t1	g28791
OG0000002	Aa_G166190.h1.t1	g47542, g49137, g35212, g4894, g16051
OG0000003	Aa_G301670.h1.t1	g36078, g35024, g42010, g53526, g35068, g51377, g36656, g46847, g52100, g12379, g34343, g34347, g42612, g3007, g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558
OG0000003	Aa_G418640.h1.t1	g15922
OG0000003	Aa_G4640.h1.t1, Aa_G834150.h1.t1, Aa_G80970.h1.t1	g50217
OG0000003	Aa_G619980.h1.t1, Aa_G619980.h2.t1, Aa_G409540.h1.t1, Aa_G125480.h1.t1	g12377
OG0000003	Aa_G169510.h1.t1	g34632, g8186, g30075, g42471, g19890, g26435, g33523, g34553, g30141
OG0000005	Aa_G1025960.h1.t1	g44250
OG0000005	Aa_G430190.h1.t1	g35969
OG0000006	Aa_G596260.h1.t1	g51769, g50470, g45886
OG0000006	Aa_G70820.h1.t1	g6208, g23854
OG0000006	Aa_G85610.h1.t1	g48115, g32111, g42023
OG0000007	Aa_G175710.h1.t1	g11781, g52096, g4660, g33143, g43301, g11618, g54172
OG0000010	Aa_G227980.h1.t1, Aa_G162930.h1.t1, Aa_G286860.h1.t1	g35163, g21346, g4256
OG0000010	Aa_G7690.h1.t1	g14841, g35105, g53994
OG0000010	Aa_G848940.h1.t1	g47252
OG0000010	Aa_G102160.h1.t1, Aa_G108660.h1.t1	g42980, g43765, g53952, g52317, g42680, g43944, g4140
OG0000010	Aa_G192810.h1.t1	g30462
OG0000010	Aa_G17450.h1.t1	g17572, g53675, g54116, g54113, g54241, g6234, g53260, g44812, g24010, g44192, g3068, g39175, g28023, g4887, g47228, g8005, g26725, g35833, g35518, g53673, g3069, g17573, g3504, g9319, g53408, g28022, g39176, g53409, g26698, g35837, g41542, g11588, g8003, g9317
OG0000011	Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1	g42924
OG0000012	Aa_G297380.h1.t1	g6328, g21395
OG0000014	Aa_G871750.h1.t1	g30722
OG0000014	Aa_G482960.h1.t1	g53391
OG0000015	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1	g15603, g23354, g2748
OG0000015	Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1	g31975
OG0000015	Aa_G115590.h1.t1, Aa_G564630.h1.t1, Aa_G260070.h1.t1	g15605, g11217, g21108, g34944, g2750, g34949, g11475
OG0000015	Aa_G522550.h1.t1	g11220, g47913, g43577, g47635, g16300, g3315, g8709, g8210, g24633, g3775, g53218, g3753, g42134, g41971
OG0000015	Aa_G962140.h1.t1	g43716, g41967
OG0000015	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1	g28764, g14677, g6769, g4758, g26125, g35711, g35700
OG0000015	Aa_G592580.h1.t1, Aa_G121380.h1.t1, Aa_G411050.h1.t1	g23355, g634
