Orthogroup	Arabis_alpina	Cardamine_glauca
OG0000000	Aa_G305790.h1.t1	Cg005G186000
OG0000003	Aa_G301670.h1.t1	Cg006G209840
OG0000003	Aa_G4640.h1.t1, Aa_G834150.h1.t1, Aa_G80970.h1.t1	Cg007G261780
OG0000003	Aa_G878030.h1.t1	Cg005G184670
OG0000006	Aa_G508230.h1.t1	Cg006G206830
OG0000007	Aa_G60120.h1.t1	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470, Cg003G103180
OG0000008	Aa_G302250.h1.t1	Cg002G060890, Cg002G055170
OG0000010	Aa_G102160.h1.t1, Aa_G108660.h1.t1	Cg008G314030
OG0000010	Aa_G192810.h1.t1	Cg006G205490
OG0000011	Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	Cg005G184960
OG0000012	Aa_G297380.h1.t1	Cg003G089470, Cg006G226210
OG0000017	Aa_G135640.h1.t1	Cg004G142150
OG0000019	Aa_G396980.h1.t1, Aa_G103560.h1.t1, Aa_G277650.h1.t1	Cg008G308170
OG0000021	Aa_G505500.h1.t1	Cg006G208570
OG0000023	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1	Cg001G017610, Cg001G017600
OG0000023	Aa_G643320.h1.t1, Aa_G597290.h1.t1	Cg003G082320
OG0000023	Aa_G200860.h1.t1	Cg001G017770
OG0000023	Aa_G200950.h1.t1, Aa_G200910.h1.t1	Cg001G017650
OG0000023	Aa_G597270.h1.t1	Cg003G082240
OG0000023	Aa_G200900.h1.t1	Cg001G017750
OG0000023	Aa_G200830.h1.t1	Cg001G017660
OG0000025	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1	Cg003G106740
OG0000025	Aa_G553200.h1.t1	Cg001G005300, Cg003G102540
OG0000026	Aa_G387540.h1.t1	Cg005G183380
OG0000027	Aa_G230140.h1.t1	Cg002G070600
OG0000027	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	Cg002G048550, Cg002G048720
OG0000028	Aa_G248570.h1.t1	Cg001G041970
OG0000030	Aa_G500830.h1.t1	Cg005G188990
OG0000031	Aa_G97120.h1.t1	Cg004G133170
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	Cg001G017700
OG0000033	Aa_G191730.h1.t1	Cg001G017780
OG0000033	Aa_G58920.h1.t1	Cg001G019630
OG0000033	Aa_G191690.h1.t1	Cg001G017790
OG0000034	Aa_G997690.h1.t1	Cg005G182400
OG0000036	Aa_G444220.h1.t1	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000038	Aa_G525570.h1.t1	Cg005G159520
OG0000038	Aa_G652770.h1.t1	Cg001G007650
OG0000040	Aa_G243430.h1.t1	Cg002G057370
OG0000044	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1	Cg001G029670
OG0000046	Aa_G439600.h1.t1, Aa_G408550.h1.t1	Cg001G037990
OG0000046	Aa_G190950.h1.t1, Aa_G756440.h1.t1	Cg007G266760, Cg007G266630, Cg007G266640
OG0000047	Aa_G159200.h1.t1	Cg006G206340
OG0000048	Aa_G339740.h1.t1	Cg004G119540
OG0000048	Aa_G253740.h1.t1	Cg008G298370
OG0000052	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1	Cg006G242960
OG0000052	Aa_G599340.h1.t1	Cg005G173390, Cg013G330370
OG0000052	Aa_G271540.h1.t1	Cg003G084890
OG0000054	Aa_G319750.h1.t1, Aa_G362310.h1.t1	Cg001G018970
OG0000054	Aa_G158060.h1.t1	Cg005G189800, Cg005G189790
OG0000055	Aa_G534290.h1.t1	Cg007G248390, Cg007G248550
OG0000055	Aa_G615080.h1.t1	Cg006G223020
OG0000056	Aa_G9790.h1.t1, Aa_G233100.h1.t1	Cg007G262570, Cg007G263580
OG0000056	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	Cg007G265440, Cg006G204190
OG0000056	Aa_G505780.h1.t1	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290
OG0000057	Aa_G659190.h1.t1	Cg004G133930
OG0000062	Aa_G297760.h1.t1, Aa_G255800.h1.t1	Cg007G260660, Cg005G180090
OG0000063	Aa_G257700.h5.t1	Cg002G052800
OG0000063	Aa_G318860.h3.t1	Cg005G178340
OG0000063	Aa_G448310.h6.t1	Cg005G168940
OG0000063	Aa_G448310.h3.t1	Cg002G060930
OG0000063	Aa_G367650.h3.t1	Cg006G238240
OG0000063	Aa_G33920.h6.t1	Cg002G061320
OG0000063	Aa_G375890.h6.t1	Cg003G107350
OG0000064	Aa_G137810.h1.t1	Cg001G000750
OG0000066	Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1	Cg007G276160
OG0000066	Aa_G486090.h1.t1	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880
OG0000066	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1	Cg003G113360
OG0000067	Aa_G389030.h1.t1, Aa_G484940.h1.t1	Cg004G154470
