Orthogroup	Arabidopsis_thaliana	Capsella_rubella
OG0000007	AT2G13770.1	XP_023640317.1
OG0000011	AT3G30370.1, AT1G18050.1	XP_023638113.1, XP_023633028.1
OG0000011	AT5G15685.1	XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1
OG0000021	AT3G31925.1	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000022	AT4G26800.2	XP_006283550.1
OG0000022	AT5G16640.1	XP_023636761.1
OG0000022	AT1G63130.1	XP_006301194.2, XP_006300860.1
OG0000022	AT1G62680.1	XP_006302102.1
OG0000022	AT1G62720.1	XP_006301814.1
OG0000022	AT1G12700.2	XP_006306232.1
OG0000022	AT1G12620.1	XP_006303680.2, XP_006303621.1
OG0000022	AT1G12300.1, AT1G12775.1	XP_006306401.2, XP_006303167.1
OG0000022	AT1G64583.1	XP_023643559.1
OG0000022	AT1G64580.1	XP_006302132.1
OG0000022	AT5G41170.1	XP_023635463.1
OG0000022	AT3G16710.1	XP_006297483.1
OG0000024	AT1G30925.1	XP_023643300.1, XP_023632994.1
OG0000024	AT1G30930.1	XP_023633131.1
OG0000024	AT1G31090.1	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1
OG0000024	AT3G56890.1, AT3G57580.1	XP_023633004.1, XP_023639207.1
OG0000027	AT4G11480.1	XP_023635857.1
OG0000027	AT4G11470.2	XP_023635858.1, XP_006289355.2, XP_006286462.1
OG0000027	AT4G23320.3	XP_006284983.1
OG0000027	AT4G23260.1	XP_023634683.1
OG0000027	AT4G23250.2	XP_006283253.1
OG0000027	AT4G23200.1	XP_023638659.1
OG0000027	AT4G11521.1	XP_006289052.2
OG0000027	AT4G23210.3	XP_023634685.1
OG0000028	AT4G13680.1	XP_023634475.1
OG0000029	AT2G17905.1	XP_023633422.1
OG0000030	AT5G60560.2	XP_023642658.1, XP_023641336.1
OG0000030	AT3G20030.1	XP_006296044.1
OG0000030	AT1G67450.1	XP_023644289.1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	XP_023632886.1, XP_023632793.1
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	XP_006293126.1
OG0000034	AT4G23180.1	XP_006283285.1
OG0000034	AT4G21410.3	XP_023634856.1
OG0000034	AT4G00960.1	XP_023637378.1
OG0000034	AT4G23140.2	XP_023634678.1
OG0000034	AT4G23310.1	XP_006283145.1
OG0000034	AT4G23280.1, AT4G23270.3	XP_023634701.1
OG0000034	AT4G23130.2	XP_023635576.1
OG0000035	AT2G07240.1	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	AT4G04957.1	XP_023640381.1, XP_023634177.1
OG0000040	AT3G25720.1	XP_023644222.1, XP_023644534.1, XP_023640572.1
OG0000040	AT4G10613.1	XP_023639239.1, XP_023634852.1
OG0000040	AT1G60720.1	XP_023643216.1, XP_023641303.1
OG0000040	AT1G33710.1	XP_023642459.1, XP_023632551.1, XP_023638973.1
OG0000040	AT2G19146.1, AT1G50080.1	XP_023640353.1
OG0000044	AT5G46470.1	XP_006282385.2
OG0000044	AT5G46260.1	XP_006281533.1
