Orthogroup	Arabidopsis_thaliana	Cochlearia_excelsa
OG0000003	AT1G43760.1	g14063
OG0000007	AT2G13770.1	g4635
OG0000008	AT5G28780.1	g5353, g35020, g27856, g27175, g1942
OG0000009	AT3G26855.1	g10582
OG0000009	AT2G06845.1	g23979, g28647, g29131, g1512
OG0000011	AT3G30370.1, AT1G18050.1	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000016	AT2G12880.1	g42778
OG0000020	AT2G11570.1	g3669
OG0000020	AT2G06420.1	g4186
OG0000021	AT3G31925.1	g33125, g14567, g25750
OG0000022	AT4G26800.2	g17118
OG0000022	AT5G16640.1	g5030
OG0000022	AT1G63130.1, AT1G62680.1	g40889
OG0000022	AT1G62720.1	g40888
OG0000022	AT1G64583.1	g40751
OG0000022	AT1G64580.1	g40752
OG0000022	AT5G41170.1, AT3G16710.1	g13269
OG0000024	AT3G56890.1, AT3G57580.1, AT3G57590.1	g2269
OG0000027	AT4G11530.1	g40374
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	g38367, g38376, g38372, g38380
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	g13799, g13797
OG0000030	AT1G66490.1	g13193, g13194
OG0000030	AT3G14030.1	g44631
OG0000034	AT4G23180.1	g23911
OG0000034	AT4G21400.1, AT4G21410.3	g24014
OG0000034	AT4G00960.1, AT4G00970.1	g50699
OG0000035	AT4G04957.1	g42054, g13304, g42055
OG0000038	AT4G23160.2	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625
OG0000040	AT5G11565.1	g49152
OG0000040	AT3G25720.1, AT4G10613.1	g28310, g1466, g41711, g22786
OG0000043	AT5G42905.1	g37824, g17258, g53614, g49526, g36920, g23518
OG0000044	AT5G22690.2, AT5G17970.1, AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1, AT4G16960.1, AT4G16940.2, AT4G16900.1, AT5G51630.1	g28154
OG0000048	AT2G31470.1	g39852, g39841
OG0000048	AT3G49440.1	g3814
OG0000048	AT2G19630.1	g51286
OG0000051	AT2G42480.1	g53934, g37450
OG0000052	AT3G26922.1	g1602, g3195
OG0000052	AT4G00160.1, AT3G52680.1	g19225
OG0000052	AT3G51530.1	g2410
OG0000055	AT3G19470.1, AT3G22770.1	g27361
OG0000055	AT3G17620.1	g700
OG0000056	AT1G61990.1	g40991, g44205
OG0000056	AT3G46950.1	g44206, g40901
OG0000059	AT2G07800.1	g1329
OG0000060	AT3G46320.1, AT3G45930.1, AT1G07820.1, AT3G53730.1, AT1G07660.1, AT5G59970.1, AT5G59690.1, AT2G28740.1	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	AT4G27050.1	g13471
OG0000061	AT2G29910.6	g23667
OG0000065	AT1G67000.1, AT1G66930.2	g18042
OG0000065	AT5G39030.1, AT5G39020.1	g46717
OG0000066	AT3G27360.1	g49660, g5416, g9719
OG0000066	AT1G09200.1	g29501, g45535
OG0000066	AT5G10980.1	g5393
OG0000068	AT3G09160.1, AT5G53700.1, AT5G03495.1, AT5G03480.1	g27956, g25385, g25390, g46783
OG0000069	AT3G62850.1	g13531
OG0000069	AT5G39640.1	g39973
OG0000070	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	g10675
OG0000070	AT1G20140.1, AT2G25700.1	g50123
OG0000070	AT1G75950.1	g46242
OG0000070	AT5G42190.1	g44417
OG0000075	AT4G39580.1	g25975, g22716
OG0000077	AT5G44900.1	g18473
OG0000077	AT5G45220.1	g18408
OG0000077	AT1G57850.1, AT1G47370.1, AT2G03030.1, AT2G03300.1	g1538, g1535
OG0000077	AT1G60320.1, AT1G57830.1	g44008, g44007, g44009
OG0000078	AT3G03820.1, AT3G03850.1, AT3G03830.1, AT3G03840.1	g4945
OG0000079	AT2G07190.1	g53126
OG0000081	AT2G37125.1, AT1G48285.1	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	AT4G07445.1	g584
OG0000081	AT3G30165.1	g33350, g4665
OG0000089	AT5G23860.1	g9991
OG0000089	AT5G62700.1, AT5G62690.1	g339, g2817, g9845
OG0000089	AT5G12250.1	g5316
OG0000089	AT5G44340.1	g11055, g40485
OG0000089	AT4G20890.1	g24042
OG0000089	AT1G20010.1, AT1G75780.1	g46232
OG0000091	AT3G47570.1	g46886
OG0000091	AT5G20480.1	g28934, g28933
OG0000092	AT3G29765.1	g32983
OG0000092	AT3G30235.1	g50000
OG0000092	AT1G19260.1, AT4G09660.1	g26535
OG0000092	AT3G31402.1	g4808
OG0000095	AT1G64840.1, AT2G24250.1	g51024
OG0000096	AT3G25460.1	g6393
OG0000096	AT4G09870.1	g49764
OG0000100	AT1G63740.2	g40795
OG0000102	AT4G05460.1	g45186
OG0000105	AT5G38344.1, AT1G57630.1	g11211
OG0000105	AT4G04110.1	g14267
OG0000107	AT3G20140.1	g6757
OG0000107	AT4G15380.1, AT3G20080.1	g11936
OG0000107	AT4G15330.1	g13346
OG0000108	AT3G53750.1, AT2G37620.1	g37225, g38077, g2333, g51658
OG0000108	AT5G09810.1	g29544, g45521, g5448
OG0000108	AT3G18780.2	g13323
OG0000108	AT2G42170.1, AT2G42100.1	g11989
OG0000111	AT3G53330.1	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1	g50797
OG0000114	AT1G36230.1	g32639, g15993, g24938, g6351, g14468, g28182, g27531
OG0000115	AT1G34070.1	g41206, g3584, g42122
OG0000116	AT1G14800.1	g27853
OG0000117	AT1G23670.2	g27550, g27549
OG0000117	AT1G23590.1	g50301
OG0000118	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1	g35294, g50762, g6146, g12640
OG0000118	AT3G04250.1, AT3G25090.1, AT3G23685.1, AT3G23680.1	g12809
OG0000119	AT3G45540.1	g11441, g11440
OG0000121	AT2G01050.1	g38498, g32974, g38499
OG0000122	AT5G50270.1	g18088
OG0000123	AT5G51105.1	g1342
OG0000125	AT1G07560.1	g31072
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	g18497
OG0000125	AT1G51805.1	g54244, g54237, g54238
OG0000125	AT3G21340.1	g6675
OG0000125	AT1G51810.1	g54236
OG0000126	AT1G35150.1	g27940
OG0000126	AT3G29794.1	g16332
OG0000126	AT3G29638.1	g41907
OG0000126	AT2G19960.3	g16333
OG0000126	AT2G16040.1	g30547
OG0000127	AT5G22880.1	g41348
OG0000127	AT3G53650.1	g19182
OG0000127	AT5G59910.1, AT3G45980.1, AT3G46030.1	g2919, g1294, g28781
OG0000127	AT2G28720.1	g39998
OG0000128	AT3G59270.1	g2010
OG0000128	AT3G59200.1, AT3G59210.1	g2009
OG0000128	AT4G14103.2	g50627
OG0000129	AT1G65120.2	g45131
OG0000129	AT1G65200.1	g45103, g45101
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1	g9880
OG0000132	AT4G09920.1, AT4G10410.1, AT4G10420.1, AT4G10400.1	g51066
OG0000134	AT5G44510.1	g4924
OG0000134	AT5G11250.2, AT3G04220.3	g18420
OG0000137	AT5G55370.1	g1010
OG0000137	AT5G55380.1	g1011
OG0000151	AT3G55110.1	g19127
OG0000151	AT3G55100.1	g19128
OG0000151	AT2G39350.1	g51765
OG0000151	AT3G55090.1	g2235
OG0000151	AT3G53510.1	g2346
OG0000151	AT2G37360.1	g51633
OG0000151	AT5G13580.1	g29346
OG0000153	AT2G30670.1	g51155, g51154, g51130, g51156
OG0000153	AT2G29310.1	g51131, g40020
OG0000153	AT1G07450.1	g37875, g37876
OG0000154	AT1G50830.1, AT5G18510.1	g36466, g36467
OG0000154	AT1G50760.1, AT1G50770.1	g54211
OG0000159	AT4G03728.1	g35382, g43640, g42719, g19947
OG0000160	AT2G18960.1	g5985
OG0000160	AT4G30190.2	g23426
OG0000160	AT5G57350.1	g1105
OG0000160	AT2G07560.1	g6339
OG0000160	AT3G42640.1	g11547
OG0000160	AT1G80660.1	g46563
OG0000160	AT2G24520.2	g50994
OG0000162	AT2G04830.1	g28290
OG0000162	AT2G03610.1	g11479
OG0000169	AT1G47340.1, AT1G47350.1, AT1G47300.1	g53988
OG0000170	AT1G33730.1	g2799
OG0000170	AT1G33720.1	g52256
OG0000170	AT2G45570.1	g52257
OG0000171	AT5G53300.1	g915, g28415
OG0000171	AT2G16740.1	g14078
OG0000171	AT5G56150.1	g28546
OG0000171	AT3G08700.1, AT3G08690.1	g7540
OG0000171	AT4G27960.2	g17072
OG0000172	AT4G05095.1	g4028
OG0000175	AT1G23490.1, AT1G70490.1	g45857
OG0000175	AT1G10630.1	g5177
OG0000175	AT5G14670.1	g29297
OG0000175	AT2G47170.1	g37719
OG0000176	AT3G05360.1	g12860
OG0000178	AT4G04490.1	g40442
OG0000178	AT4G04570.1	g45158
OG0000178	AT4G04540.1	g45173
OG0000182	AT3G61100.1, AT3G61090.1	g27624
OG0000183	AT1G66410.2, AT5G37780.3	g18117
OG0000183	AT2G27030.3	g40143
OG0000184	AT3G22030.1, AT3G22053.1	g17322, g17326, g17324, g17323, g17327, g17334, g17336, g17332
OG0000184	AT3G22050.1, AT3G22020.1, AT3G22040.1	g11846
OG0000185	AT3G19520.3	g32332, g32334, g32337
OG0000185	AT1G19060.1, AT1G02770.1	g11864
OG0000186	AT2G13895.1	g14029
OG0000187	AT2G21680.1	g17092
OG0000189	AT4G35950.1	g47947
OG0000189	AT2G17800.1	g18237
OG0000189	AT4G35020.1	g23036
OG0000189	AT1G75840.1, AT1G20090.1	g50117
OG0000192	AT3G51210.1	g25904
OG0000192	AT4G26280.1, AT3G45080.1, AT3G45070.2, AT2G27570.1	g17137
OG0000193	AT1G47390.1	g27763
OG0000196	AT5G41540.1	g43806, g43821, g2891
OG0000197	AT5G37760.1	g24122
OG0000197	AT5G37750.1, AT5G37440.1	g17408
OG0000198	AT2G01520.1	g25893
OG0000198	AT4G14060.1, AT2G01530.1	g10793
OG0000198	AT1G14930.1, AT1G14940.1	g31564
OG0000198	AT1G14950.1	g49926
OG0000200	AT1G05550.3	g40675
OG0000200	AT1G05540.1	g40674
OG0000200	AT1G30170.1	g27686
OG0000202	AT4G01925.1, AT4G09690.1, AT4G11547.1	g1023, g25454, g25477
OG0000203	AT3G58250.1	g1974, g1973
OG0000203	AT3G58270.1	g18958
OG0000203	AT3G58360.1	g2360
OG0000209	AT1G12490.1, AT1G09650.1	g2157
OG0000215	AT2G06265.1, AT2G07505.1	g449
OG0000216	AT4G12370.1	g25664
OG0000216	AT1G57790.1	g41090, g41083, g41086
OG0000225	AT1G69630.1	g4045
OG0000226	AT3G26250.1, AT3G26240.1	g17691, g17690, g17692
OG0000229	AT5G28820.1	g13978
OG0000229	AT2G29880.1	g26214
OG0000229	AT5G27260.1, AT1G30140.1, AT5G35540.1	g24726
OG0000230	AT3G58900.4	g2000
OG0000233	AT5G07550.1	g45483
OG0000233	AT5G07571.1, AT5G07560.1	g29622
OG0000233	AT5G07540.1	g45482
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	g29623
OG0000235	AT1G24388.1, AT4G11700.1, AT3G57210.1	g11302
OG0000236	AT1G69650.1	g11672
OG0000237	AT3G22650.2	g11805
OG0000237	AT3G21410.1	g36933
OG0000239	AT1G43145.1	g2261, g45344, g44563, g51060, g10741, g28476, g5898, g32750
OG0000241	AT4G21860.1, AT4G21850.1, AT4G21840.1, AT4G21830.1, AT4G04840.1, AT4G04800.1, AT4G04810.1, AT4G04830.1	g17320
OG0000242	AT5G27810.1	g12521
OG0000242	AT5G26630.1	g10112
OG0000243	AT1G29460.2, AT1G29500.1	g27682
OG0000246	AT2G36790.1, AT2G36800.1	g37185
OG0000246	AT2G36750.1	g51603
OG0000247	AT1G32030.1	g27759, g27721
OG0000249	AT1G43260.1	g16095, g42905, g32698
OG0000250	AT4G05320.2	g40469
OG0000251	AT3G26330.1, AT3G26320.1, AT2G02580.1	g16641
OG0000252	AT1G77520.1	g46370
OG0000253	AT3G12580.1	g12277
OG0000253	AT3G09440.1	g7492
OG0000253	AT5G02500.1	g5784, g45315
OG0000254	AT4G15680.1	g47116, g47114, g17643
OG0000254	AT4G15660.1, AT4G15670.1, AT4G15690.1, AT4G15700.1	g47115
OG0000255	AT1G42190.1	g6529
