Orthogroup	Arabidopsis_thaliana	Alyssum_gmelinii
OG0000003	AT1G43760.1	Ag005G0787400
OG0000008	AT5G28780.1	Ag005G0786100
OG0000008	AT3G51690.1, AT3G51700.1	Ag001G0025300
OG0000009	AT3G26855.1	Ag034G3983600
OG0000009	AT1G10000.1	Ag034G3964200, Ag048G4700800
OG0000011	AT3G30370.1, AT1G18050.1	Ag015G2211300
OG0000021	AT1G52950.1, AT3G31925.1	Ag013G1488900, Ag031G3408800
OG0000022	AT1G12700.2	Ag034G3829100
OG0000022	AT1G06580.1, AT1G64583.1, AT1G64580.1	Ag024G2896000
OG0000022	AT5G41170.1	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	AT3G16710.1	Ag014G2040000
OG0000024	AT3G56890.1, AT3G57580.1, AT3G57590.1	Ag013G1754200
OG0000027	AT4G11480.1, AT4G11470.2	Ag021G2619200
OG0000027	AT4G23320.3	Ag077G5324400
OG0000027	AT4G11460.1	Ag077G5325000, Ag033G3496200
OG0000027	AT4G23260.1	Ag077G5325100, Ag033G3496300, Ag033G3642400
OG0000027	AT4G11530.1	Ag021G2620200
OG0000027	AT4G23190.1	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000028	AT5G54450.1	Ag078G5387500
OG0000029	AT5G36225.1, AT2G17905.1	Ag002G0180900, Ag022G2648100
OG0000030	AT5G60560.2, AT3G20030.1, AT1G67450.1	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	AT1G59680.2, AT1G54550.1, AT3G49510.1, AT3G49520.1, AT1G66490.1	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000034	AT4G23180.1	Ag093G5459200, Ag033G3498700
OG0000034	AT4G21400.1, AT4G21410.3	Ag048G4579800
OG0000034	AT4G23310.1, AT4G23280.1, AT4G23270.3	Ag033G3496000, Ag077G5324500
OG0000034	AT4G23130.2	Ag033G3500200, Ag093G5460400
OG0000035	AT2G07240.1	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	AT4G04957.1	Ag003G0378200, Ag023G2841600, Ag033G3643700, Ag036G4119400, Ag002G0276700, Ag036G4121400, Ag015G2256700, Ag023G2806500, Ag023G2825000, Ag061G5042300, Ag007G0851800, Ag068G5222600, Ag042G4402900, Ag032G3436200, Ag093G5463700
OG0000040	AT5G11565.1	Ag031G3415700
OG0000040	AT2G19146.1, AT1G50080.1	Ag038G4173200
OG0000046	AT3G31910.1, AT5G28810.1, AT2G10260.1, AT1G37020.1, AT5G45570.1, AT4G08430.1	Ag004G0691700
OG0000048	AT2G31470.1	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000051	AT2G42460.1	Ag003G0386800
OG0000051	AT2G42470.1	Ag003G0386200
OG0000051	AT2G42455.1	Ag003G0387300
OG0000051	AT2G42480.1	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000055	AT3G19470.1, AT3G22770.1	Ag034G4065400
OG0000055	AT3G17620.1, AT3G18120.1	Ag014G2041700
OG0000055	AT3G16820.1, AT5G36200.1, AT5G36820.1, AT5G36730.1	Ag014G2041600
OG0000055	AT2G18780.1	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100
OG0000056	AT3G46950.1	Ag002G0180000
OG0000060	AT3G53730.1	Ag034G3744900
OG0000060	AT5G59970.1	Ag013G1692700
OG0000060	AT2G28740.1	Ag004G0719000, Ag039G4308900
OG0000061	AT1G47920.1, AT1G48390.1	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000061	AT1G48400.1	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600
OG0000061	AT5G12450.1	Ag025G2914700
OG0000061	AT1G21990.1	Ag013G1477400, Ag013G1477100, Ag013G1476800
OG0000065	AT1G66910.1, AT1G67000.1, AT1G66930.2	Ag016G2372900, Ag016G2372400
OG0000066	AT5G10390.1, AT3G27360.1	Ag004G0438400
OG0000066	AT5G10400.1	Ag013G1525900
OG0000066	AT1G09200.1	Ag034G3780100
OG0000066	AT5G10980.1	Ag013G1513800, Ag048G4702700, Ag011G1062400, Ag011G1062500
OG0000068	AT3G09160.1	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000069	AT3G62850.1	Ag048G4644300, Ag048G4643100
OG0000070	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	Ag039G4215000
OG0000070	AT1G20140.1, AT2G25700.1	Ag034G3976800
OG0000070	AT1G75950.1	Ag048G4685000
OG0000070	AT3G60010.1	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000072	AT3G42140.1	Ag039G4320700
OG0000072	AT3G31430.1	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000075	AT4G39550.1	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000
OG0000075	AT4G39570.1	Ag011G1133100, Ag022G2654400
OG0000075	AT4G39560.1	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	AT4G38940.1	Ag011G1037000
OG0000077	AT5G45220.1	Ag033G3566700
OG0000077	AT1G60320.1, AT1G57830.1	Ag002G0173900
OG0000078	AT3G03820.1	Ag014G1810600
OG0000078	AT3G03850.1, AT3G03830.1	Ag014G1809300, Ag014G1810300
OG0000078	AT3G03840.1	Ag014G1810400
OG0000079	AT2G07190.1	Ag018G2444300, Ag022G2658800
OG0000081	AT3G30165.1	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000086	AT5G37870.1, AT5G37900.1, AT5G37910.1	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300
OG0000086	AT1G66620.1, AT1G66630.1	Ag036G4084000
OG0000089	AT5G23860.1	Ag004G0519800
OG0000089	AT2G29550.1	Ag013G1621300
OG0000089	AT5G12250.1	Ag013G1488000
OG0000089	AT5G44340.1	Ag016G2360800
OG0000089	AT4G20890.1	Ag033G3591100
OG0000089	AT1G75780.1	Ag048G4693300
OG0000091	AT5G20480.1	Ag004G0570300
OG0000091	AT3G47110.1	Ag014G2119500, Ag014G2119400, Ag014G2119100
OG0000096	AT3G25460.1, AT5G47300.1	Ag002G0154900
OG0000096	AT3G18905.1	Ag044G4496300
OG0000096	AT1G25141.1	Ag002G0165500
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000100	AT1G63740.2	Ag002G0112700, Ag063G5079400
OG0000102	AT4G03635.1	Ag016G2365600
OG0000102	AT4G05497.1	Ag016G2365900, Ag016G2370500, Ag016G2369900
OG0000102	AT4G05460.1	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000105	AT5G38344.1, AT1G57630.1	Ag011G1082400
OG0000105	AT4G04110.1	Ag016G2286300, Ag016G2303900, Ag066G5152800, Ag016G2285400, Ag016G2287900
OG0000107	AT2G27010.1, AT2G27000.1	Ag014G1858900
OG0000107	AT3G20140.1	Ag014G2149500
OG0000107	AT4G15380.1, AT3G20080.1	Ag014G2149100
OG0000107	AT2G14100.1, AT3G32047.1	Ag027G3070400, Ag014G2171000
OG0000107	AT3G20130.1	Ag014G2149800
OG0000107	AT3G20960.2, AT3G20090.2, AT2G05180.1, AT4G15360.1	Ag014G2150100
OG0000107	AT3G20110.1	Ag014G2149200
OG0000108	AT3G53750.1, AT2G37620.1	Ag031G3385800, Ag039G4307100
OG0000108	AT3G46520.1, AT5G59370.1	Ag004G0614200, Ag004G0644200
OG0000108	AT3G12110.1	Ag014G1944700
OG0000108	AT5G09810.1	Ag052G4856100, Ag013G1537900
OG0000108	AT3G18780.2	Ag014G2095200
OG0000108	AT1G49240.1	Ag025G2965600
OG0000108	AT2G42100.1	Ag003G0396500
OG0000110	AT1G36510.1, AT3G32260.1	Ag029G3103900, Ag001G0067200, Ag060G5005400, Ag010G1016200
OG0000117	AT1G23670.2	Ag019G2506600, Ag018G2460700
OG0000117	AT1G23510.1	Ag088G5442700
OG0000117	AT1G23640.1, AT1G23660.1	Ag018G2454400, Ag018G2459300
OG0000117	AT1G23690.1	Ag088G5431700
OG0000117	AT1G23570.2, AT1G23580.1	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000118	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000118	AT1G65990.1, AT4G10740.1	Ag072G5253200
