Orthogroup	Arabidopsis_thaliana	Conringia_planisiliqua
OG0000003	AT1G43760.1	CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000007	AT2G13770.1	CP8_g52162_DN2_SP0_c.t1
OG0000008	AT5G28780.1	CP27_g41699_DN2_SP0_c.t1
OG0000009	AT3G29791.1	CP2_g50066_DN1_SP0_c.t1
OG0000011	AT3G30370.1, AT1G18050.1	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1
OG0000016	AT2G12880.1	CP24_g47422_DN2_SP0_c.t1
OG0000021	AT1G52950.1, AT3G31925.1	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000027	AT4G23200.1	CP16_g55470_DN3_SP0_c.t1
OG0000029	AT5G36225.1, AT2G17905.1	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	CP11_g31940_DN3_SP0_c.t1
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000031	AT4G10305.1	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1
OG0000034	AT4G00960.1	CP8_g54564_DN3_SP0_c.t1
OG0000035	AT2G07240.1	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	AT4G04957.1	CP8_g52211_DN2_SP0_c.t1, CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1, CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1, CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1, CP26_g51195_DN2_SP0_c.t1, CP4_g26190_DN3_SP0_c.t1, CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1
OG0000038	AT4G23160.2	CP15_g35533_DN1_SP0_c.t1
OG0000040	AT5G11565.1	CP19_g18411_DN2_SP0_c.t1, CP4_g26084_DN1_SP0_c.t1
OG0000040	AT2G19146.1	CP13_g20255_DN1_SP0_c.t1
OG0000048	AT2G31470.1	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1
OG0000051	AT2G42480.1	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000052	AT3G26930.2, AT3G26920.1, AT3G26922.1, AT1G55030.2, AT4G13965.1	CP13_g19766_DN3_SP0_c.t1
OG0000052	AT4G00160.1, AT3G52680.1	CP3_g14092_DN3_SP0_c.t1
OG0000055	AT3G19470.1, AT3G22770.1	CP12_g30730_DN2_SP0_c.t1
OG0000055	AT3G17400.1	CP10_g42649_DN3_SP0_c.t1
OG0000055	AT3G23420.1	CP12_g30848_DN3_SP0_c.t1
OG0000055	AT2G17830.1, AT5G42460.1	CP10_g43729_DN2_SP0_c.t1
OG0000056	AT1G62120.1	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1
OG0000056	AT1G61990.1	CP2_g49077_DN3_SP0_c.t1
OG0000056	AT1G61980.1, AT1G61970.1	CP2_g49067_DN3_SP0_c.t1
OG0000056	AT3G46950.1	CP2_g49031_DN3_SP0_c.t1
OG0000060	AT3G53730.1	CP3_g14842_DN3_SP0_c.t1
OG0000060	AT5G59970.1	CP8_g52772_DN3_SP0_c.t1
OG0000060	AT2G28740.1	CP8_g53991_DN3_SP0_c.t1, CP4_g25867_DN3_SP0_c.t1
OG0000064	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1	CP18_g12051_DN1_SP0_c.t1
OG0000065	AT5G39030.1, AT5G39020.1	CP5_g1580_DN2_SP0_c.t1
OG0000066	AT3G27360.1	CP4_g25642_DN3_SP0_c.t1
OG0000066	AT5G65360.1, AT1G09200.1	CP2_g49425_DN3_SP0_c.t1
OG0000068	AT3G09160.1	CP12_g31237_DN3_SP0_c.t1
OG0000070	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	CP17_g5790_DN3_SP0_c.t1
OG0000070	AT1G20140.1, AT2G25700.1	CP7_g45746_DN3_SP0_c.t1
OG0000073	AT2G11035.1	CP18_g12305_DN2_SP0_c.t1
OG0000076	AT4G38940.1	CP5_g77_DN1_SP0_c.t1
OG0000077	AT5G44900.1	CP13_g20085_DN3_SP0_c.t1
OG0000077	AT5G45220.1	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1
OG0000077	AT1G57850.1	CP2_g49683_DN2_SP0_c.t1
OG0000077	AT2G03030.1, AT2G03300.1	CP13_g19516_DN3_SP0_c.t1
OG0000077	AT1G60320.1, AT1G57830.1	CP2_g49677_DN1_SP0_c.t1
