Orthogroup	Arabidopsis_thaliana	Cardamine_hirsuta
OG0000008	AT5G28780.1	CARHR159360
OG0000008	AT3G51690.1, AT3G51700.1	CARHR161350
OG0000009	AT4G09490.1	CARHR217600
OG0000009	AT2G06845.1	CARHR153540
OG0000011	AT3G30370.1, AT1G18050.1	CARHR218510
OG0000020	AT2G06420.1	CARHR213120
OG0000022	AT4G26800.2	CARHR234420
OG0000022	AT5G16640.1	CARHR196550
OG0000022	AT1G62914.1, AT1G62670.1	CARHR048190
OG0000022	AT1G63130.1	CARHR051050, CARHR048810
OG0000022	AT1G62680.1	CARHR049170
OG0000022	AT1G63080.1, AT1G62930.1	CARHR048480, CARHR048800
OG0000022	AT1G63070.1	CARHR048440, CARHR047970
OG0000022	AT1G12615.1	CARHR048220
OG0000022	AT1G62720.1	CARHR049120
OG0000022	AT1G12700.2	CARHR013000
OG0000022	AT1G64583.1	CARHR046360
OG0000022	AT1G64580.1	CARHR046370
OG0000022	AT5G41170.1	CARHR213210
OG0000022	AT3G16710.1	CARHR091960
OG0000024	AT1G60370.1	CARHR116780
OG0000024	AT1G33020.1, AT1G33010.1	CARHR113190
OG0000027	AT4G11470.2	CARHR255070
OG0000027	AT4G23320.3	CARHR057450
OG0000027	AT4G23290.2	CARHR230630
OG0000027	AT4G23240.1	CARHR230470, CARHR230480
OG0000027	AT4G23260.1	CARHR230510
OG0000027	AT4G23250.2	CARHR230500
OG0000027	AT4G23200.1	CARHR230410
OG0000027	AT4G11530.1	CARHR254870
OG0000027	AT4G11521.1	CARHR254910, CARHR254920
OG0000027	AT4G23190.1	CARHR230300
OG0000027	AT4G23210.3	CARHR230440
OG0000027	AT4G23300.1	CARHR230330, CARHR230640
OG0000028	AT4G13680.1	CARHR285330
OG0000028	AT5G53240.1	CARHR289310
OG0000028	AT5G55870.1, AT5G54330.1	CARHR269260
OG0000028	AT5G54320.1	CARHR269250
OG0000028	AT5G55270.1, AT5G55880.1, AT5G55890.1	CARHR268630
OG0000028	AT5G53230.1	CARHR289300
OG0000030	AT1G67450.1	CARHR060010, CARHR059990
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	CARHR158520, CARHR158510, CARHR158530
OG0000034	AT4G23180.1	CARHR230270, CARHR230290
OG0000034	AT4G21400.1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	AT4G21410.3	CARHR289950
OG0000034	AT4G00970.1	CARHR106160
OG0000034	AT4G23130.2	CARHR230230, CARHR230200
OG0000035	AT2G07240.1	CARHR120350
OG0000035	AT4G04957.1	CARHR034790, CARHR216710, CARHR153260, CARHR182390
OG0000038	AT4G23160.2	CARHR259820
OG0000043	AT5G42905.1	CARHR145030
OG0000044	AT5G46500.1	CARHR175170, CARHR175250
OG0000044	AT5G46470.1	CARHR175260
OG0000044	AT5G46520.2, AT5G46510.1	CARHR174840
OG0000044	AT5G17970.1	CARHR195110
OG0000044	AT4G16960.1, AT4G16940.2, AT4G16900.1	CARHR290500, CARHR222990, CARHR223540
OG0000046	AT5G28810.1, AT2G10260.1	CARHR159290
OG0000048	AT3G49440.1	CARHR207670
OG0000048	AT2G19630.1	CARHR126120
OG0000051	AT2G42460.1	CARHR137510
OG0000051	AT2G42470.1	CARHR137530
OG0000051	AT2G42455.1	CARHR127280
OG0000051	AT2G42480.1	CARHR137550, CARHR137540
OG0000052	AT3G26920.1	CARHR148060
OG0000052	AT1G55030.2	CARHR065210, CARHR065340
OG0000052	AT4G13965.1	CARHR150860
OG0000052	AT4G00160.1, AT3G52680.1	CARHR162490
OG0000052	AT3G52690.1	CARHR162560
