Orthogroup	Arabidopsis_thaliana	Brassica_oleracea
OG0000003	AT1G43760.1	XP_013594483.1, XP_013632484.1
OG0000008	AT5G28780.1	XP_013601357.1
OG0000008	AT3G51690.1, AT3G51700.1	XP_013601615.1
OG0000009	AT1G10000.1	XP_013617184.1, XP_013595190.1
OG0000009	AT2G06845.1	XP_013616754.1, XP_013615524.1
OG0000011	AT3G30370.1, AT1G18050.1	XP_013617429.1
OG0000020	AT2G06420.1	XP_013624038.1, XP_013608147.1
OG0000021	AT1G52950.1	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1
OG0000021	AT3G31925.1	XP_013594507.1, XP_013631302.1
OG0000022	AT4G26800.2	XP_013590021.1
OG0000022	AT5G16640.1	XP_013611057.1
OG0000022	AT1G62680.1	XP_013606456.1
OG0000022	AT1G12615.1, AT1G62720.1	XP_013606166.1
OG0000022	AT1G12700.2	XP_013601047.1
OG0000022	AT1G12300.1, AT1G12775.1	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1
OG0000022	AT1G06580.1	XP_013603447.1
OG0000022	AT5G41170.1	XP_013635968.1
OG0000022	AT3G16710.1	XP_013609571.1
OG0000027	AT4G23320.3	XP_013598807.1
OG0000027	AT4G23290.2	XP_013595256.1
OG0000027	AT4G23260.1	XP_013626010.1
OG0000027	AT4G23250.2	XP_013626677.1
OG0000027	AT4G23220.1	XP_013625142.1
OG0000027	AT4G11530.1	XP_013617506.1
OG0000027	AT4G23210.3	XP_013598637.1
OG0000028	AT5G53240.1	XP_013629713.1, XP_013626427.1, XP_013624984.1, XP_013624985.1, XP_013609443.1, XP_013625644.1, XP_013629798.1
OG0000028	AT5G54450.1	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000029	AT5G36225.1, AT2G17905.1	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1
OG0000030	AT5G60560.2, AT3G20030.1	XP_013608319.1, XP_013628311.1, XP_013628312.1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	AT1G66490.1	XP_013624262.1
OG0000030	AT3G13680.1	XP_013633602.1
OG0000034	AT4G23180.1	XP_013595252.1, XP_013595253.1, XP_013598717.1
OG0000034	AT4G21400.1	XP_013594180.1
OG0000034	AT4G21410.3	XP_013598071.1
OG0000034	AT4G00970.1	XP_013611706.1
OG0000034	AT4G23310.1	XP_013598971.1
OG0000034	AT3G45860.1	XP_013624956.1
OG0000034	AT4G23130.2	XP_013626222.1
OG0000035	AT2G07240.1	XP_013636991.1, XP_013607885.1, XP_013618965.1
OG0000035	AT4G04957.1	XP_013624058.1, XP_013632481.1, XP_013595099.1, XP_013618966.1, XP_013639600.1, XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1, XP_013619617.1, XP_013602972.1, XP_013583292.1, XP_013636990.1
OG0000038	AT4G23160.2	XP_013608254.1
OG0000040	AT5G11565.1	XP_013585161.1
OG0000040	AT3G25720.1, AT4G10613.1	XP_013639460.1
OG0000040	AT1G60720.1	XP_013624133.1, XP_013639650.1
OG0000040	AT1G33710.1	XP_013589643.1, XP_013607732.1, XP_013608326.1
OG0000044	AT5G46260.1, AT5G46270.4, AT1G31540.2, AT5G46490.2, AT5G46520.2, AT5G46510.1	XP_013628727.1
OG0000046	AT3G31910.1, AT5G28810.1, AT2G10260.1, AT1G37020.1, AT5G45570.1, AT4G08430.1	XP_013633177.1
OG0000048	AT2G31470.1	XP_013610681.1, XP_013633506.1, XP_013633508.1, XP_013632602.1, XP_013634597.1, XP_013634026.1
OG0000048	AT3G10990.1, AT3G23960.1	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1
OG0000051	AT2G42455.1	XP_013623984.1
OG0000051	AT2G42480.1	XP_013610546.1
OG0000052	AT3G26930.2, AT3G26920.1	XP_013594927.1, XP_013594267.1
OG0000052	AT1G55030.2, AT4G13965.1	XP_013610604.1
OG0000052	AT4G00160.1, AT3G52680.1	XP_013615703.1, XP_013630964.1
OG0000052	AT3G52690.1	XP_013607524.1
OG0000055	AT3G19470.1, AT3G22770.1	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1
OG0000055	AT3G17400.1	XP_013589549.1
OG0000055	AT2G18780.1	XP_013609840.1
OG0000056	AT1G61990.1	XP_013631517.1
OG0000056	AT3G46950.1	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1
OG0000059	AT2G07800.1	XP_013617450.1, XP_013594582.1, XP_013632782.1, XP_013601567.1, XP_013639634.1, XP_013624930.1
OG0000061	AT1G48400.1	XP_013615973.1
OG0000061	AT5G12450.1	XP_013615702.1
OG0000061	AT1G21990.1	XP_013637545.1
OG0000061	AT2G29910.6	XP_013635264.1
OG0000061	AT1G64540.1	XP_013639701.1
OG0000064	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1
OG0000065	AT1G66910.1	XP_013616106.1, XP_013620167.1
OG0000065	AT5G38250.1, AT5G38240.1	XP_013592178.1
OG0000065	AT5G38260.1	XP_013636750.1
OG0000065	AT5G39030.1, AT5G39020.1	XP_013635767.1
OG0000066	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1
OG0000066	AT5G10980.1	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1
OG0000066	AT1G19890.1	XP_013627996.1
OG0000068	AT3G09160.1	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1
OG0000069	AT3G62850.1	XP_013617969.1, XP_013590488.1, XP_013609088.1
OG0000070	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	XP_013620477.1, XP_013596659.1, XP_013610618.1
OG0000070	AT1G20140.1, AT2G25700.1	XP_013628560.1
OG0000070	AT1G75950.1	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000073	AT2G11035.1	XP_013617425.1
OG0000075	AT4G39580.1	XP_013596175.1
OG0000076	AT4G38940.1	XP_013598018.1
OG0000077	AT5G45220.1	XP_013623925.1, XP_013617650.1
OG0000077	AT1G57850.1	XP_013630204.1
OG0000077	AT2G03030.1, AT2G03300.1	XP_013594901.1
OG0000077	AT1G60320.1, AT1G57830.1	XP_013586946.1
OG0000078	AT3G03820.1	XP_013595132.1
OG0000078	AT5G18030.1	XP_013626494.1
OG0000078	AT5G18050.1, AT5G18060.1, AT5G18020.1, AT5G18080.1, AT5G18010.1	XP_013621006.1, XP_013626763.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013627003.1
OG0000079	AT2G07190.1	XP_013624775.1, XP_013594486.1
OG0000081	AT2G37125.1, AT1G48285.1, AT4G07445.1	XP_013628529.1
OG0000081	AT3G30165.1	XP_013607575.1
OG0000086	AT5G37890.1	XP_013634315.1
OG0000086	AT5G37870.1, AT5G37900.1, AT5G37910.1	XP_013633763.1
OG0000086	AT1G66620.1, AT1G66630.1	XP_013588679.1
OG0000089	AT5G23860.1	XP_013598457.1
OG0000089	AT5G62700.1, AT5G62690.1	XP_013629292.1, XP_013629087.1, XP_013629400.1
OG0000089	AT2G29550.1	XP_013637001.1, XP_013636732.1
OG0000089	AT5G12250.1	XP_013611442.1
OG0000089	AT5G44340.1	XP_013620476.1, XP_013612217.1, XP_013598244.1
OG0000089	AT1G75780.1	XP_013592047.1
OG0000091	AT5G20480.1	XP_013627653.1, XP_013607358.1
OG0000091	AT5G39390.1	XP_013631070.1
OG0000091	AT3G47110.1	XP_013629254.1
OG0000092	AT1G42710.1	XP_013620056.1, XP_013608261.1
OG0000092	AT3G30235.1	XP_013594390.1
OG0000092	AT2G06541.1	XP_013633246.1
OG0000092	AT3G31402.1	XP_013601272.1
OG0000095	AT1G64840.1	XP_013635569.1, XP_013637583.1
OG0000096	AT3G25460.1	XP_013627644.1
OG0000096	AT3G49980.2	XP_013631403.1
OG0000096	AT4G09870.1	XP_013627729.1
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1, AT2G24080.1	XP_013617934.1
OG0000100	AT1G63730.1, AT1G63740.2	XP_013611228.1, XP_013611226.1, XP_013608605.1
OG0000100	AT1G63860.1	XP_013607667.1
OG0000102	AT4G05497.1	XP_013631333.1
OG0000102	AT4G05460.1	XP_013623936.1, XP_013623935.1, XP_013599827.1, XP_013584794.1
OG0000105	AT1G57630.1	XP_013622332.1, XP_013635280.1
OG0000106	AT2G07760.1	XP_013617293.1, XP_013623159.1, XP_013624755.1, XP_013624609.1
OG0000107	AT4G15380.1, AT3G20080.1	XP_013635068.1, XP_013624257.1
OG0000107	AT3G20100.1	XP_013586700.1
OG0000107	AT3G20130.1	XP_013615032.1, XP_013583762.1
OG0000107	AT3G20960.2, AT3G20090.2, AT2G05180.1, AT4G15360.1	XP_013639727.1
OG0000107	AT4G15330.1	XP_013602900.1
OG0000108	AT3G53750.1, AT2G37620.1	XP_013617448.1, XP_013629514.1, XP_013636515.1, XP_013636180.1
OG0000108	AT3G46520.1, AT5G59370.1	XP_013623319.1
OG0000108	AT3G12110.1	XP_013587485.1
OG0000108	AT5G09810.1	XP_013591456.1, XP_013611822.1, XP_013629368.1, XP_013620685.1
OG0000108	AT3G18780.2	XP_013629201.1, XP_013608560.1, XP_013586823.1
OG0000110	AT1G36510.1, AT3G32260.1	XP_013600964.1, XP_013609595.1, XP_013639169.1, XP_013617798.1, XP_013624429.1, XP_013594148.1, XP_013639536.1, XP_013589681.1, XP_013639703.1
OG0000111	AT4G01380.1	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013624096.1, XP_013585759.1, XP_013603466.1
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1	XP_013594356.1
OG0000115	AT1G34070.1	XP_013613811.1, XP_013617115.1, XP_013589542.1, XP_013623819.1, XP_013632573.1, XP_013639801.1, XP_013617952.1, XP_013633409.1, XP_013601905.1
OG0000116	AT1G14800.1	XP_013624699.1, XP_013614960.1, XP_013617705.1, XP_013624600.1, XP_013590002.1, XP_013624601.1, XP_013619242.1, XP_013610162.1, XP_013615166.1, XP_013617423.1, XP_013617165.1, XP_013637479.1, XP_013594379.1, XP_013594380.1, XP_013617424.1, XP_013584766.1, XP_013636250.1, XP_013626247.1, XP_013615167.1, XP_013615592.1, XP_013589668.1, XP_013594376.1
OG0000117	AT1G23670.2	XP_013586913.1
OG0000117	AT1G23690.1	XP_013596256.1
OG0000117	AT1G23570.2, AT1G23580.1	XP_013600043.1, XP_013600044.1, XP_013600879.1, XP_013600539.1, XP_013600042.1, XP_013610363.1
OG0000118	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1	XP_013615575.1
OG0000118	AT3G23680.1	XP_013624158.1
OG0000119	AT3G45540.1	XP_013617735.1
OG0000119	AT2G26135.1, AT2G26130.1, AT3G43750.1, AT3G45560.1, AT2G16520.1, AT3G45460.1, AT3G45480.1, AT3G45510.1, AT3G45570.1, AT3G45580.1	XP_013633270.1
OG0000119	AT3G45555.1	XP_013608442.1
OG0000121	AT2G01050.1	XP_013617040.1, XP_013594974.1, XP_013588866.1, XP_013608131.1, XP_013608419.1, XP_013633708.1, XP_013632717.1, XP_013607689.1, XP_013623906.1, XP_013607800.1, XP_013624492.1, XP_013600449.1, XP_013617884.1, XP_013624063.1, XP_013594541.1, XP_013639449.1, XP_013589376.1, XP_013601555.1, XP_013636525.1, XP_013617849.1, XP_013632402.1, XP_013607749.1, XP_013613742.1
OG0000123	AT5G51105.1	XP_013623897.1, XP_013623898.1
OG0000124	AT5G40595.1	XP_013632778.1
OG0000125	AT1G07560.1	XP_013605923.1
OG0000125	AT1G49100.1	XP_013590329.1
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	XP_013589967.1
OG0000125	AT1G51805.1	XP_013605120.1
OG0000125	AT3G21340.1	XP_013625710.1
OG0000126	AT2G19960.3, AT2G16040.1	XP_013594845.1
OG0000127	AT5G22880.1	XP_013606602.1, XP_013625682.1
OG0000127	AT2G37470.1	XP_013589314.1
OG0000127	AT3G53650.1	XP_013605053.1, XP_013636203.1
OG0000127	AT5G59910.1, AT3G45980.1	XP_013606787.1
OG0000127	AT2G28720.1	XP_013631988.1, XP_013631825.1, XP_013622502.1
OG0000128	AT3G59270.1	XP_013589380.1
OG0000128	AT3G59200.1	XP_013590480.1
OG0000128	AT3G59210.1	XP_013592532.1
OG0000129	AT1G65120.2	XP_013584094.1
OG0000129	AT1G65200.1	XP_013617087.1
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1	XP_013618060.1, XP_013620235.1
OG0000130	AT4G03292.1, AT2G02650.1, AT4G09775.1	XP_013624099.1, XP_013613741.1
OG0000130	AT3G32130.1	XP_013617154.1, XP_013632614.1
OG0000130	AT1G04625.1, AT2G46460.1, AT1G47497.1, AT2G11205.1, AT1G27870.1, AT1G77815.1	XP_013624994.1, XP_013608101.1
OG0000132	AT3G54910.1	XP_013605673.1, XP_013602151.1, XP_013602872.1, XP_013605672.1, XP_013603171.1, XP_013603836.1, XP_013603745.1, XP_013603252.1
OG0000132	AT5G38590.2, AT5G38570.1, AT5G38565.1	XP_013592758.1, XP_013629621.1
OG0000134	AT1G57650.1, AT2G14080.1	XP_013629019.1, XP_013586604.1
OG0000134	AT3G04220.3	XP_013622761.1, XP_013628701.1
OG0000137	AT5G55370.1	XP_013627427.1, XP_013619494.1
OG0000137	AT5G55380.1	XP_013606365.1, XP_013619272.1
OG0000137	AT5G55320.1	XP_013610394.1
OG0000137	AT5G55360.1	XP_013618766.1, XP_013610172.1, XP_013610274.1
OG0000137	AT5G55350.1	XP_013626781.1
OG0000137	AT5G55340.1	XP_013608191.1
OG0000141	AT1G12290.1	XP_013600689.1
OG0000141	AT1G12280.1	XP_013592465.1
OG0000141	AT1G12220.1	XP_013604385.1
OG0000141	AT1G12210.1	XP_013600631.1
OG0000141	AT5G63020.1	XP_013608625.1
OG0000148	AT1G47765.1, AT3G10240.1	XP_013639002.1, XP_013624368.1, XP_013596978.1, XP_013596422.1, XP_013594383.1
OG0000151	AT3G55110.1	XP_013604669.1, XP_013588671.1, XP_013634847.1
OG0000151	AT3G55100.1	XP_013635814.1
OG0000151	AT2G39350.1	XP_013636124.1
OG0000151	AT3G55090.1	XP_013635718.1
OG0000151	AT3G53510.1	XP_013602835.1
OG0000151	AT2G37360.1	XP_013630873.1
OG0000151	AT5G13580.1	XP_013611475.1
OG0000153	AT2G29330.1	XP_013633570.1
OG0000153	AT2G30670.1	XP_013634388.1, XP_013633705.1, XP_013632650.1, XP_013634362.1
OG0000153	AT2G29310.1	XP_013625223.1, XP_013631616.1
OG0000153	AT2G29300.2, AT2G29320.1	XP_013622088.1
OG0000153	AT1G07450.1	XP_013599857.1
OG0000154	AT1G51538.1	XP_013590343.1
OG0000157	AT1G32660.1	XP_013594520.1
OG0000158	AT4G36840.1	XP_013624637.1
OG0000159	AT4G03728.1	XP_013591167.1
OG0000160	AT2G18960.1	XP_013611416.1, XP_013597841.1
OG0000160	AT4G30190.2	XP_013593694.1, XP_013594020.1, XP_013596307.1
OG0000160	AT5G57350.1	XP_013620594.1
OG0000160	AT2G07560.1	XP_013623185.1
OG0000160	AT3G42640.1	XP_013622891.1
OG0000160	AT1G80660.1	XP_013588689.1
OG0000160	AT2G24520.2	XP_013605622.1
OG0000162	AT2G33200.1	XP_013622310.1
OG0000162	AT2G33190.1	XP_013632580.1
OG0000163	AT2G06105.1	XP_013594459.1, XP_013617598.1, XP_013623904.1, XP_013608217.1, XP_013607647.1, XP_013623409.1, XP_013617535.1, XP_013617458.1, XP_013594639.1, XP_013639725.1, XP_013594911.1, XP_013629211.1, XP_013639825.1, XP_013613873.1, XP_013639384.1, XP_013614093.1, XP_013624350.1, XP_013624337.1, XP_013588988.1
OG0000165	AT5G36910.1	XP_013626959.1
OG0000166	AT1G74180.1	XP_013617261.1
OG0000166	AT1G74190.1	XP_013617262.1
OG0000167	AT3G21170.1	XP_013624265.1
OG0000167	AT3G23260.1	XP_013596046.1
OG0000169	AT2G16220.1, AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G23160.1	XP_013601108.1, XP_013588901.1
OG0000169	AT1G47300.1	XP_013624313.1
OG0000170	AT1G33720.1	XP_013635992.1
OG0000170	AT2G45570.1	XP_013635993.1
OG0000170	AT2G45550.1	XP_013635050.1
OG0000171	AT5G53300.1	XP_013613316.1
OG0000171	AT1G64230.4	XP_013606344.1
OG0000171	AT2G16740.1	XP_013599341.1
OG0000171	AT5G56150.1	XP_013622226.1, XP_013621604.1, XP_013606619.1
OG0000171	AT3G08700.1, AT3G08690.1	XP_013617767.1, XP_013622635.1, XP_013638468.1
OG0000171	AT4G27960.2	XP_013600456.1
OG0000172	AT4G05095.1	XP_013589603.1, XP_013589096.1
OG0000172	AT3G25727.1	XP_013632860.1
OG0000172	AT3G27590.1, AT1G34440.1	XP_013589544.1
OG0000173	AT2G14288.1	XP_013639180.1, XP_013585255.1
OG0000174	AT1G52603.1	XP_013617082.1, XP_013633329.1
OG0000175	AT1G23490.1, AT1G70490.1	XP_013615623.1, XP_013598255.1, XP_013638007.1, XP_013591469.1
OG0000175	AT5G14670.1	XP_013606531.1
OG0000175	AT3G62290.1	XP_013637399.1, XP_013614377.1, XP_013622329.1
OG0000176	AT3G05370.1	XP_013593181.1
OG0000176	AT3G05360.1	XP_013627621.1
OG0000177	AT3G25490.1	XP_013596163.1
OG0000177	AT1G21210.1	XP_013593246.1
OG0000178	AT4G04490.1	XP_013606260.1, XP_013606263.1
OG0000178	AT4G04510.2	XP_013626923.1
OG0000178	AT4G04500.1	XP_013624075.1
OG0000178	AT4G04570.1	XP_013627503.1
OG0000178	AT4G04540.1	XP_013618562.1
OG0000182	AT3G61100.1, AT3G61090.1	XP_013601717.1
OG0000182	AT2G38365.1	XP_013613963.1
OG0000183	AT1G66410.2, AT5G37780.3	XP_013591852.1
OG0000183	AT5G21274.1, AT2G27030.3	XP_013631799.1
OG0000184	AT3G22040.1	XP_013635093.1, XP_013589077.1, XP_013614749.1, XP_013614750.1, XP_013614748.1, XP_013635188.1, XP_013635027.1, XP_013635145.1, XP_013635212.1
OG0000185	AT1G23970.2, AT1G23950.2	XP_013597874.1, XP_013597872.1
OG0000185	AT1G23960.1	XP_013595927.1
OG0000188	AT2G13630.1, AT3G04660.1	XP_013615621.1, XP_013639409.1, XP_013584998.1, XP_013592108.1, XP_013610533.1
OG0000189	AT2G17800.1	XP_013629002.1, XP_013604425.1, XP_013594142.1, XP_013584461.1, XP_013584411.1, XP_013598034.1
OG0000192	AT4G26280.1	XP_013589486.1
OG0000192	AT3G45080.1, AT3G45070.2, AT2G27570.1	XP_013597957.1
OG0000193	AT1G47390.1	XP_013585027.1
OG0000193	AT1G32430.1	XP_013583418.1
OG0000195	AT2G04680.1, AT5G37620.1	XP_013596123.1
OG0000196	AT5G41540.1	XP_013590778.1, XP_013632231.1
OG0000197	AT5G37760.1	XP_013615432.1
OG0000197	AT5G37750.1, AT5G37440.1	XP_013614095.1
OG0000197	AT4G19570.1	XP_013591070.1
OG0000197	AT4G19580.1, AT5G62780.1	XP_013614096.1
OG0000198	AT4G14060.1, AT2G01530.1	XP_013593772.1, XP_013609824.1, XP_013616568.1
OG0000198	AT1G14950.1	XP_013601824.1
OG0000199	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1	XP_013601305.1, XP_013628081.1
OG0000200	AT1G05550.3	XP_013587517.1, XP_013639109.1, XP_013603884.1, XP_013600986.1
OG0000200	AT1G05540.1	XP_013603075.1, XP_013587514.1, XP_013584831.1
OG0000200	AT1G30170.1	XP_013625101.1
OG0000200	AT1G30160.2	XP_013639491.1, XP_013626397.1
OG0000203	AT3G58270.1	XP_013588854.1
OG0000203	AT3G58370.1	XP_013603307.1, XP_013600272.1, XP_013604009.1
OG0000203	AT3G58360.1	XP_013591322.1, XP_013632132.1, XP_013632130.1
OG0000203	AT3G58350.1	XP_013615611.1, XP_013589365.1, XP_013589367.1
OG0000209	AT5G10340.1	XP_013584290.1
OG0000210	AT2G28580.2, AT2G44930.1	XP_013632427.1
OG0000210	AT3G60470.1	XP_013636352.1
OG0000216	AT4G12370.1	XP_013617487.1
OG0000216	AT4G10700.1, AT4G10660.1, AT4G10695.1	XP_013624066.1, XP_013624067.1
OG0000216	AT4G12382.1	XP_013611048.1
OG0000216	AT1G57790.1	XP_013620094.1
OG0000216	AT3G56470.1	XP_013601679.1
OG0000219	AT3G48840.1	XP_013601505.1
OG0000225	AT1G78750.1	XP_013589445.1, XP_013614962.1, XP_013601687.1, XP_013614963.1, XP_013589713.1, XP_013589712.1, XP_013589714.1
OG0000226	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1	XP_013632872.1
OG0000227	AT3G05660.1	XP_013635901.1
OG0000227	AT3G11010.2, AT5G27060.2, AT3G11080.1	XP_013626403.1, XP_013628173.1, XP_013627330.1
OG0000227	AT3G28890.1, AT5G25910.1, AT2G15042.1	XP_013632738.1
OG0000229	AT5G28820.1	XP_013603547.1
OG0000229	AT2G29880.1	XP_013629088.1
OG0000229	AT5G35540.1	XP_013617888.1
OG0000233	AT5G07550.1	XP_013610418.1
OG0000233	AT5G07571.1, AT5G07560.1	XP_013619195.1, XP_013616049.1, XP_013627166.1, XP_013626870.1
OG0000233	AT5G07540.1	XP_013616047.1, XP_013610081.1
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	XP_013609768.1, XP_013603711.1, XP_013619712.1
OG0000234	AT2G44030.1, AT2G45406.1, AT5G02990.1	XP_013590850.1
OG0000234	AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G03000.1, AT3G46050.1	XP_013601559.1
OG0000235	AT3G25080.1	XP_013634950.1, XP_013617397.1
OG0000235	AT1G24388.1	XP_013588197.1
OG0000236	AT1G69660.1	XP_013590837.1
OG0000236	AT2G15710.1	XP_013592345.1
OG0000237	AT3G10430.1, AT4G04690.1, AT3G08750.1	XP_013619410.1, XP_013624166.1, XP_013628123.1, XP_013627513.1, XP_013583422.1, XP_013638927.1, XP_013592450.1, XP_013595113.1, XP_013592994.1
OG0000237	AT3G22650.2	XP_013627485.1
OG0000238	AT1G70840.1	XP_013620218.1
OG0000241	AT4G21860.1	XP_013593118.1, XP_013611429.1
OG0000241	AT4G04800.1	XP_013607002.1
OG0000241	AT4G04810.1, AT4G04830.1	XP_013626139.1
OG0000242	AT5G48670.1	XP_013610078.1
OG0000242	AT5G27810.1	XP_013619870.1
OG0000242	AT5G26630.1	XP_013597142.1, XP_013619903.1
OG0000243	AT1G29450.1	XP_013638073.1
OG0000244	AT4G05230.1	XP_013610574.1, XP_013627706.1
OG0000244	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	XP_013607462.1
OG0000246	AT3G53160.1	XP_013602866.1
OG0000246	AT2G36790.1, AT2G36800.1	XP_013623426.1
OG0000246	AT2G36750.1	XP_013631718.1, XP_013631294.1
OG0000246	AT2G36760.1	XP_013634409.1
OG0000246	AT2G36780.1, AT2G36770.1	XP_013632346.1, XP_013634416.1
OG0000247	AT5G38500.1, AT3G49610.1	XP_013639107.1
OG0000247	AT1G32030.1	XP_013585184.1
OG0000248	AT1G70040.1	XP_013589631.1, XP_013589630.1
OG0000248	AT1G70120.1	XP_013617187.1
OG0000248	AT5G39330.1, AT1G70020.1	XP_013589629.1
OG0000249	AT1G43260.1	XP_013619823.1
OG0000249	AT5G31412.1	XP_013624620.1
OG0000250	AT4G05320.2	XP_013628057.1
OG0000250	AT4G02890.3	XP_013628835.1
OG0000250	AT5G37640.1, AT5G03240.1, AT1G65350.1	XP_013611497.1
OG0000251	AT3G26300.1, AT3G26310.1	XP_013614897.1
OG0000251	AT3G26330.1, AT3G26320.1	XP_013618605.1
OG0000251	AT5G57260.1	XP_013627194.1
OG0000251	AT3G26290.2	XP_013612265.1
OG0000252	AT5G37170.1	XP_013610505.1
OG0000252	AT1G77520.1	XP_013616477.1, XP_013618016.1, XP_013593877.1, XP_013593879.1
OG0000253	AT3G12580.1	XP_013628965.1, XP_013611399.1
OG0000253	AT3G09440.1	XP_013616125.1
OG0000255	AT1G42190.1	XP_013624683.1
OG0000257	AT1G75830.1	XP_013619391.1
OG0000259	AT1G49610.1, AT3G03360.1	XP_013632446.1
OG0000260	AT4G32170.1	XP_013598774.1
OG0000260	AT4G39510.1	XP_013639488.1
OG0000260	AT1G47620.1	XP_013620992.1, XP_013596438.1
OG0000262	AT1G62170.2, AT2G14540.1	XP_013610529.1, XP_013610227.1
OG0000263	AT5G18880.1	XP_013624798.1, XP_013624417.1, XP_013624116.1, XP_013595119.1, XP_013624706.1
