Orthogroup	Alyssum_gmelinii	Noccaea_praecox
OG0000000	Ag067G5184800, Ag001G0043700	Np002G1063700, Np003G1750900
OG0000000	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500	Np003G1264600
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	Np006G3574100, Np005G2997500, Np001G0689700
OG0000000	Ag031G3405800	Np001G0039000
OG0000000	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100
OG0000000	Ag036G4123700	Np003G1708100, Np006G3568800, Np003G1709000
OG0000000	Ag061G5017100	Np004G2263100
OG0000000	Ag048G4660900	Np001G0314800
OG0000000	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100, Ag078G5385300, Ag040G4340700, Ag052G4868500	Np002G0926900, Np004G2012200
OG0000000	Ag058G4977700	Np006G3485200
OG0000000	Ag034G3852600	Np002G1103800
OG0000000	Ag034G3811600	Np006G3557600, Np002G0968700, Np001G0205900
OG0000000	Ag067G5173700	Np002G1002000
OG0000002	Ag027G3030200	Np002G1056700, Np003G1705400, Np002G0924900, Np009G4293000, Np002G1029600, Np006G3468100
OG0000003	Ag005G0787400	Np005G3039000
OG0000003	Ag067G5203100	Np007G3883200, Np005G2849900, Np003G1537900, Np004G2165300
OG0000003	Ag004G0525300	Np006G3523600
OG0000003	Ag025G2976100	Np003G1349400
OG0000003	Ag013G1682200, Ag011G1271000	Np003G1737800
OG0000003	Ag011G1183800	Np004G1991400
OG0000004	Ag033G3561100	Np005G2950600, Np010G4347300, Np007G4015400
OG0000004	Ag010G0992800	Np004G2079000
OG0000004	Ag014G1774700	Np003G1676800
OG0000004	Ag039G4237400	Np005G2935100
OG0000004	Ag015G2248700	Np005G2935000
OG0000004	Ag038G4178200, Ag004G0763800	Np007G3994400, Np005G2976000
OG0000005	Ag041G4377100	Np006G3467000
OG0000005	Ag013G1642000	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100
OG0000005	Ag042G4407900, Ag078G5366100	Np006G3440400
OG0000007	Ag003G0374300	Np003G1457500
OG0000008	Ag027G3054100	Np005G2918600, Np002G1026800
OG0000008	Ag001G0025300	Np001G0535300
OG0000009	Ag034G3970500, Ag034G3983500	Np005G2652900, Np004G2035600
OG0000009	Ag004G0738200	Np002G1195700
OG0000009	Ag014G2149700	Np002G0805000
OG0000009	Ag034G3964200, Ag048G4700800	Np004G2021700
OG0000009	Ag058G4969600, Ag052G4854400	Np001G0374200, Np001G0291600
OG0000009	Ag019G2551400	Np001G0683200
OG0000009	Ag016G2319900, Ag025G2919200	Np003G1663900, Np001G0129200, Np003G1783000
OG0000011	Ag019G2529100, Ag039G4286000	Np004G2119600
OG0000011	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	Np001G0298900, Np004G2255700, Np001G0314400
OG0000011	Ag027G3007700	Np001G0493800, Np007G3831300, Np007G4255400
OG0000012	Ag006G0798800	Np002G0797700, Np008G4276800
OG0000014	Ag002G0182700	Np002G0952400
OG0000014	Ag012G1285000	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900
OG0000015	Ag034G3936100	Np001G0295000, Np001G0361200
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	Np003G1756100
OG0000018	Ag074G5275600, Ag020G2558600	Np007G3967900
OG0000020	Ag016G2337300	Np003G1663000
OG0000021	Ag013G1488900, Ag031G3408800	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400, Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	Np005G3189900
OG0000023	Ag013G1378800	Np002G1065700, Np005G3185500
OG0000023	Ag039G4287100	Np005G2845400
OG0000023	Ag054G4895500, Ag002G0253500	Np005G3091400
OG0000023	Ag043G4432400	Np006G3436400, Np002G1005200
