Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_Rawat
OG0000000	Ag067G5184800, Ag001G0043700, Ag062G5062000	AL6G27580
OG0000000	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800, Ag016G2390300, Ag014G2113800	AL1G62960
OG0000000	Ag039G4294900, Ag016G2393600	AL1G56600
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	AL3G39580, AL2G19540
OG0000000	Ag036G4123700	AL5G18640
OG0000000	Ag077G5323300, Ag003G0363000, Ag013G1740700	AL2G10230, AL4G12690, AL532U10010, AL8G16910
OG0000000	Ag055G4904400	AL1G56620, AL5G26440, AL3G26530, AL7G44950, AL8G15150, AL7G49620, AL8G11050, AL2G12570, AL4G43860
OG0000000	Ag061G5017100, Ag078G5391400, Ag048G4660900, Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100, Ag078G5385300, Ag040G4340700, Ag052G4868500	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	AL6G33910, AL4G36510
OG0000000	Ag058G4977700	AL3G48680
OG0000000	Ag013G1386400, Ag033G3486500	AL5G12810
OG0000000	Ag020G2571600, Ag013G1635500	AL6G49130
OG0000000	Ag034G3852600	AL7G47010
OG0000000	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300	AL1G56670
OG0000000	Ag067G5173700	AL8G17990, AL4G17570
OG0000002	Ag027G3030200, Ag013G1414500	AL8G20200
OG0000003	Ag022G2672700, Ag014G2084900	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020, AL7G48880
OG0000003	Ag067G5203100	AL3G36810, AL433U10010, AL4G19540
OG0000003	Ag004G0525300	AL3G39680, AL5G39250, AL5G19450, AL2G17040, AL6G19270
OG0000003	Ag025G2976100	AL3G46190
OG0000003	Ag013G1682200, Ag011G1271000	AL4G12920, AL2G17030, AL668U10010, AL2G31940
OG0000003	Ag011G1183800	AL7G34100, AL3G40240, AL2G10360
OG0000004	Ag033G3561100	AL4G19570, AL1G59120
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600, Ag010G0992800, Ag014G1774700	AL7G43300
OG0000004	Ag050G4758900	AL1G57270, AL8G19530
OG0000004	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400	AL1G65560
OG0000004	Ag038G4178200, Ag004G0763800	AL6G45170
OG0000004	Ag066G5158800	AL1G65200
OG0000005	Ag041G4377100	AL2G18790
OG0000008	Ag014G2109900	AL877U10020, AL6G44830
OG0000008	Ag001G0025300	AL5G32180, AL5G32140, AL5G32150
OG0000009	Ag002G0216700, Ag075G5300000, Ag004G0685200	AL6G36520
OG0000009	Ag014G2149700	AL6G10570
OG0000009	Ag027G3009300	AL3G41770
OG0000009	Ag014G2163600	AL2G12600
OG0000009	Ag078G5396800, Ag034G3985100, Ag014G2137100, Ag030G3127000	AL4G10690
OG0000009	Ag040G4348900, Ag088G5430700	AL8G14160
OG0000009	Ag058G4969600, Ag052G4854400	AL7G37950
OG0000009	Ag016G2319900, Ag025G2919200	AL2G39630
OG0000011	Ag015G2211300	AL6G32670
OG0000011	Ag019G2529100, Ag039G4286000	AL8G22980
OG0000011	Ag062G5062600, Ag036G4099700, Ag055G4926900, Ag031G3381800, Ag031G3386200, Ag001G0035100, Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	AL1G17050
OG0000011	Ag027G3007700	AL8G24370, AL6G47490
OG0000014	Ag012G1285000	AL9U11460
OG0000015	Ag034G3936100	AL25U10010, AL6G22310, AL7G26200
OG0000015	Ag012G1294500	AL8G27740, AL429U10010, AL792U10020, AL1G20970, AL8G24680, AL1G15850
