Orthogroup	Alyssum_gmelinii	Raphanus_sativus
OG0000000	Ag071G5244500, Ag014G1982800, Ag013G1560600	XP_018443468.1, XP_018460143.1, XP_018436074.1, XP_018458626.1, XP_018487800.1, XP_018461381.1, XP_018487582.1
OG0000000	Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	XP_018453653.1
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	XP_018436035.1
OG0000000	Ag039G4294900, Ag016G2393600	XP_018448502.1, XP_018460857.1
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1
OG0000000	Ag077G5323300, Ag003G0363000, Ag013G1740700	XP_018462157.1
OG0000000	Ag055G4904400	XP_018435281.1, XP_018435286.1, XP_018460172.1, XP_018443746.1, XP_018479968.1, XP_018461263.1, XP_018435287.1, XP_018453921.1, XP_018460558.1, XP_018479757.1, XP_018472282.1, XP_018487416.1, XP_018487413.1, XP_018479119.1, XP_018487613.1, XP_018435875.1, XP_018453704.1, XP_018478228.1, XP_018463849.1, XP_018478413.1, XP_018479618.1, XP_018462177.1, XP_018479420.1
OG0000000	Ag061G5017100	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1
OG0000000	Ag048G4660900	XP_018453689.1
OG0000000	Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100	XP_018479455.1
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1
OG0000000	Ag034G3951900, Ag016G2353000	XP_018463113.1
OG0000000	Ag020G2571600, Ag013G1635500	XP_018461626.1
OG0000000	Ag034G3852600	XP_018466708.1, XP_018454128.1
OG0000000	Ag067G5173700	XP_018453573.1, XP_018462059.1
OG0000002	Ag027G3030200	XP_018436085.1, XP_018453671.1, XP_018459832.1
OG0000003	Ag005G0787400	XP_018479340.1, XP_018473970.1, XP_018474062.1
OG0000003	Ag022G2672700, Ag014G2084900	XP_018453894.1, XP_018487877.1, XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1, XP_018435394.1
OG0000003	Ag067G5203100	XP_018473566.1, XP_018479479.1, XP_018458947.1, XP_018460607.1
OG0000003	Ag004G0525300	XP_018458309.1, XP_018477029.1, XP_018462918.1, XP_018474005.1, XP_018435481.1, XP_018443265.1
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	XP_018448649.1, XP_018448611.1, XP_018436097.1, XP_018480041.1, XP_018473858.1, XP_018473857.1, XP_018443770.1, XP_018462893.1
OG0000003	Ag025G2976100	XP_018453583.1, XP_018479683.1, XP_018473762.1
OG0000003	Ag013G1682200, Ag011G1271000	XP_018448722.1, XP_018487950.1, XP_018479095.1, XP_018435818.1
OG0000003	Ag011G1183800	XP_018473849.1, XP_018479089.1
OG0000004	Ag033G3561100	XP_018466160.1, XP_018473944.1
OG0000004	Ag014G1774700	XP_018467378.1
OG0000004	Ag039G4237400	XP_018454350.1
OG0000004	Ag038G4178200, Ag004G0763800	XP_018459208.1, XP_018459207.1
OG0000004	Ag066G5158800	XP_018462257.1, XP_018435900.1
OG0000005	Ag025G2943500	XP_018464531.1
OG0000007	Ag003G0374300	XP_018473323.1, XP_018436427.1, XP_018478071.1, XP_018478058.1, XP_018487797.1, XP_018462285.1, XP_018460028.1, XP_018443641.1, XP_018458760.1, XP_018487899.1, XP_018487674.1, XP_018479784.1, XP_018459734.1, XP_018436126.1, XP_018461127.1, XP_018465497.1, XP_018487572.1, XP_018443685.1, XP_018474163.1, XP_018488171.1, XP_018461527.1, XP_018474045.1, XP_018487746.1
OG0000008	Ag027G3059500	XP_018464359.1, XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1, XP_018459493.1, XP_018458167.1
