Orthogroup	Alyssum_gmelinii	Cochlearia_excelsa
OG0000000	Ag067G5184800, Ag001G0043700	g14627, g14949, g4309
OG0000000	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500	g54172, g11781, g52096, g4660, g33143, g43301
OG0000000	Ag077G5323300, Ag003G0363000, Ag013G1740700	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292
OG0000000	Ag058G4977700	g53079, g43739, g16627
OG0000000	Ag045G4516900	g36335
OG0000000	Ag044G4496600	g24433, g25323
OG0000000	Ag078G5351600	g18049, g47718
OG0000000	Ag020G2571600, Ag013G1635500	g23493
OG0000000	Ag034G3852600, Ag034G3811600	g14416, g10434, g12783, g43405, g3096
OG0000002	Ag027G3030200	g53912, g22441, g43884, g51104, g47320, g38468, g39577, g40258, g23771, g52214, g49137, g47542, g26461, g4894, g16056, g36079, g50077, g3932, g28791, g41750
OG0000002	Ag013G1414500	g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950
OG0000003	Ag005G0787400	g14063
OG0000003	Ag022G2672700, Ag014G2084900	g18622, g25137, g6810, g1448, g45682, g1467, g38320, g49844, g25134, g35681, g14225, g41636, g18621, g47160, g49473, g40050, g26165
OG0000003	Ag067G5203100	g24632
OG0000003	Ag004G0525300	g42621, g14202
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	g42622
OG0000003	Ag013G1682200, Ag011G1271000	g37408, g4680, g45852, g48285, g35551, g39300, g41607, g2783, g14645, g26213, g52072, g37684, g32875, g43390, g11178, g53942, g4056, g32055, g3715
OG0000004	Ag033G3561100	g1377, g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059
