Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_NCBI
OG0000000	Ag031G3405800, Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	XP_020887823.1
OG0000000	Ag036G4123700	XP_020885673.1
OG0000000	Ag054G4887300	XP_020883444.1
OG0000000	Ag013G1386400, Ag033G3486500	XP_020867739.1
OG0000000	Ag020G2571600, Ag013G1635500	XP_020872418.1, XP_020889487.1
OG0000000	Ag031G3406900	XP_020874113.1
OG0000003	Ag005G0787400	XP_020881895.1
OG0000003	Ag022G2672700, Ag014G2084900	XP_020889841.1
OG0000003	Ag011G1183800	XP_020887717.1
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	XP_020870151.1, XP_020870162.1, XP_020886397.1, XP_020866436.1
OG0000004	Ag014G1774700	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1
OG0000004	Ag050G4758900	XP_020889539.1
OG0000004	Ag038G4178200, Ag004G0763800	XP_020878681.1
OG0000004	Ag066G5158800	XP_020865758.1
OG0000008	Ag014G2109900	XP_020876690.1, XP_020867861.1
OG0000008	Ag001G0025300	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1, XP_020879836.1
OG0000008	Ag033G3526400	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1
OG0000009	Ag034G3970500, Ag034G3983500	XP_020887659.1
OG0000009	Ag014G2149700	XP_020884776.1
OG0000009	Ag016G2319900, Ag025G2919200	XP_020877155.1, XP_020876055.1
OG0000011	Ag015G2211300	XP_020881814.1, XP_020878850.1
OG0000011	Ag019G2529100, Ag039G4286000	XP_020878589.1, XP_020869090.1
OG0000011	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	XP_020881858.1
OG0000011	Ag027G3007700	XP_020885819.1, XP_020866216.1, XP_020885594.1, XP_020870692.1, XP_020889856.1, XP_020872445.1, XP_020875855.1, XP_020877678.1
OG0000015	Ag034G3936100	XP_020865814.1
OG0000015	Ag012G1294500	XP_020890755.1, XP_020889910.1
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	XP_020876240.1
OG0000020	Ag016G2337300	XP_020887777.1
OG0000020	Ag068G5227400	XP_002862745.2, XP_020874187.1
