Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa
OG0000000	Ag067G5184800, Ag001G0043700, Ag062G5062000	jg16911, jg12161, jg21611
OG0000000	Ag031G3405800, Ag046G4528700, Ag013G1557700, Ag033G3510800, Ag004G0752300, Ag037G4141800, Ag048G4661000, Ag034G3877500, Ag017G2425100	jg7091
OG0000000	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800	jg5331
OG0000000	Ag016G2390300, Ag014G2113800	jg11875
OG0000000	Ag055G4904400	jg26753, jg25591
OG0000000	Ag045G4516900, Ag044G4496600, Ag078G5351600, Ag066G5137400, Ag013G1386400, Ag033G3486500, Ag020G2571600, Ag013G1635500	jg27616
OG0000000	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300	jg25786
OG0000003	Ag067G5203100	jg27926
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	jg27064, jg6905
OG0000004	Ag014G1774700	jg12072, jg12472, jg1749
OG0000008	Ag005G0786100	jg27185
OG0000008	Ag001G0025300	jg15054, jg15062, jg15069, jg15057
OG0000009	Ag002G0216700, Ag075G5300000, Ag004G0685200	jg12452, jg19324, jg23533
OG0000009	Ag034G3964200, Ag048G4700800	jg11602
OG0000011	Ag015G2211300	jg33383, jg21637
OG0000011	Ag019G2529100, Ag039G4286000	jg26287
OG0000011	Ag027G3007700	jg4342, jg1809, jg13975, jg14168, jg21692, jg32528
OG0000014	Ag012G1285000	jg1574
OG0000015	Ag018G2438800	jg21086
OG0000018	Ag064G5103000	jg42
OG0000020	Ag016G2337300	jg6965
OG0000020	Ag068G5227400	jg21095, jg27354
OG0000020	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500	jg32618
OG0000021	Ag013G1488900, Ag031G3408800	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774, jg25715
OG0000022	Ag034G3829100	jg29724
OG0000022	Ag024G2896000	jg372
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	jg12744
OG0000022	Ag014G2040000	jg25741
OG0000023	Ag039G4287100	jg26919
OG0000023	Ag054G4895500, Ag002G0253500	jg12454
OG0000023	Ag004G0626900	jg3735
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	jg17071
OG0000024	Ag013G1663800	jg18272
OG0000024	Ag031G3235600	jg31712
OG0000024	Ag052G4846900	jg33003, jg33002
OG0000024	Ag013G1754200	jg27402, jg18984, jg31665, jg31668, jg15695, jg15696, jg15770, jg15771, jg14278
OG0000025	Ag067G5188200, Ag030G3132300	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900	jg27352
OG0000027	Ag021G2619200	jg7518, jg7519, jg7517, jg7516
OG0000027	Ag021G2619800	jg7521
OG0000027	Ag021G2619900	jg7523
OG0000027	Ag077G5324400	jg10174
OG0000027	Ag077G5325000, Ag033G3496200	jg7515
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	jg10181
OG0000027	Ag093G5459600	jg10205
OG0000027	Ag021G2620200	jg7537, jg7533, jg7530
OG0000027	Ag021G2618400	jg7526
OG0000027	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600	jg10192
OG0000028	Ag078G5387500	jg22250, jg22247, jg22219, jg12583, jg12582
OG0000029	Ag002G0180900, Ag022G2648100	jg33138, jg30060, jg20837, jg1780, jg13951, jg6737, jg11997, jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	jg26153, jg26152, jg2274
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	jg30787, jg31203, jg31202, jg25536
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	jg25377, jg1071, jg1537, jg14799, jg17824, jg14802, jg14804, jg2112, jg25382
OG0000030	Ag013G1357800	jg25272
OG0000031	Ag012G1290800	jg21055
OG0000032	Ag005G0786000	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	Ag093G5459200, Ag033G3498700	jg10193, jg10203, jg10197
OG0000034	Ag093G5459500, Ag033G3498900	jg10204
OG0000034	Ag033G3477100, Ag052G4847100	jg10200
OG0000034	Ag048G4579800	jg10426, jg10425
OG0000034	Ag033G3496000, Ag077G5324500	jg10175, jg10176
OG0000034	Ag033G3500200, Ag093G5460400	jg10202, jg10195, jg10208
OG0000034	Ag033G3498800, Ag093G5459400	jg10177
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	jg32621, jg13872
OG0000035	Ag093G5463700	jg6998, jg7008, jg32675, jg6987, jg1581
OG0000040	Ag039G4283900	jg26952
OG0000042	Ag046G4535300, Ag066G5171000, Ag024G2870100	jg11609
OG0000042	Ag007G0876900, Ag096G5474100	jg33373
OG0000042	Ag011G1070600	jg2222
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	jg17129, jg6977
OG0000042	Ag009G0976800, Ag006G0824100	jg33374, jg32294, jg32380
OG0000044	Ag087G5424800	jg21039
OG0000044	Ag016G2313400	jg20417
OG0000046	Ag004G0691700	jg29315, jg17523, jg14196, jg1035, jg17283, jg1573, jg1834, jg309, jg32416, jg1572, jg1555, jg21339
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	jg18309, jg18271
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	jg18210, jg18207
OG0000048	Ag032G3445200, Ag048G4573000	jg740
OG0000050	Ag002G0166000	jg11604
OG0000050	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900	jg14086
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	jg19949, jg4268
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	Ag034G3687900	jg29349
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	jg19557
OG0000051	Ag003G0386800	jg19555
OG0000051	Ag003G0386200	jg19558
OG0000051	Ag003G0387300	jg907
OG0000051	Ag003G0387500	jg19554
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	jg19560
OG0000052	Ag032G3434200, Ag032G3433000	jg20319
OG0000055	Ag034G4065400	jg25886, jg26868
OG0000055	Ag014G2041700	jg26019, jg12073
OG0000055	Ag014G2041600	jg25753, jg12035
OG0000055	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100	jg28057, jg28058
OG0000056	Ag002G0158500	jg674
OG0000056	Ag002G0180000	jg14491
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	jg16618
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	jg299, jg32415, jg1839, jg11724, jg1567, jg17278, jg1046, jg17522, jg31083, jg21000
OG0000059	Ag038G4156200	jg31675, jg32414
OG0000060	Ag034G3746900	jg14371
OG0000060	Ag004G0636900, Ag004G0629900	jg14419
OG0000061	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993
OG0000061	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855
OG0000061	Ag025G2914700	jg32841, jg32864, jg32857, jg32551
OG0000061	Ag013G1627600	jg18012
OG0000061	Ag034G4019600, Ag002G0211100, Ag048G4647300, Ag013G1624000, Ag013G1628000, Ag013G1629700, Ag013G1630400, Ag013G1630000, Ag013G1629500, Ag013G1629400, Ag013G1628500, Ag013G1600300, Ag013G1627700, Ag013G1626500, Ag013G1627000	jg18014
OG0000061	Ag056G4940400	jg20934
OG0000062	Ag033G3580500, Ag033G3643400, Ag090G5454300, Ag043G4453100, Ag023G2814500, Ag045G4510200	jg21178
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	jg32622, jg13871, jg7029
OG0000065	Ag016G2372900, Ag016G2372400	jg2189, jg2206, jg2209, jg2212, jg2195
OG0000066	Ag004G0438400	jg1404, jg13471, jg4871
OG0000066	Ag034G3780100	jg29279
OG0000066	Ag013G1513800, Ag048G4702700, Ag011G1062400, Ag011G1062500	jg4927
OG0000067	Ag031G3153400, Ag034G4009600	jg20815, jg24929, jg28031, jg1126, jg17679
OG0000067	Ag013G1533100	jg14038
OG0000067	Ag007G0854100, Ag013G1533000	jg14037
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000069	Ag048G4644300, Ag048G4643100	jg16351
OG0000070	Ag039G4215000	jg29403, jg28225, jg28226, jg13116, jg13115
OG0000070	Ag034G3976800	jg16631, jg30544, jg4483
OG0000070	Ag048G4685000	jg3251
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	jg16054
OG0000072	Ag051G4812200	jg12110
OG0000072	Ag039G4320700	jg12160, jg21424, jg13720, jg16912, jg21612, jg6475, jg20956, jg7100, jg12084, jg27349, jg7332, jg11849
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	jg22195, jg8019, jg20178
OG0000072	Ag002G0206800	jg25787
OG0000073	Ag015G2241600	jg13268
OG0000073	Ag077G5319300	jg32690
OG0000073	Ag028G3078200	jg7434
OG0000073	Ag048G4568000, Ag034G3947900	jg30965
OG0000075	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000	jg8424, jg8422
OG0000075	Ag011G1133100, Ag022G2654400	jg26472, jg32685, jg32682, jg32692, jg8427
OG0000075	Ag011G1119800, Ag011G1120100, Ag011G1120000	jg8426
OG0000076	Ag011G1037000	jg8362
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	jg13131
OG0000077	Ag002G0173900	jg902, jg1249
OG0000078	Ag014G1809300, Ag014G1810300	jg24239, jg24236
OG0000078	Ag014G1810400	jg24237
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300, Ag018G2444300, Ag022G2658800	jg7377
OG0000080	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000	jg6819
OG0000080	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700	jg21120
OG0000081	Ag034G4022300	jg20814
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300	jg12270
OG0000086	Ag025G2922800	jg12265, jg12276
OG0000086	Ag036G4084000	jg2128, jg2129
OG0000089	Ag004G0519800	jg6235
OG0000089	Ag013G1621300	jg17972
OG0000089	Ag013G1488000	jg5068
OG0000089	Ag016G2360800	jg20749
OG0000089	Ag033G3591100	jg10485
OG0000089	Ag023G2824600	jg18593
OG0000089	Ag048G4693300	jg3235
OG0000090	Ag062G5054300, Ag007G0888700	jg20882
OG0000090	Ag055G4921900	jg6910
OG0000091	Ag039G4278700, Ag006G0816700	jg17633
OG0000091	Ag004G0570300	jg5910
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	jg17289
OG0000095	Ag039G4205200	jg16996
OG0000096	Ag002G0154900	jg17690, jg17691, jg17695, jg26888, jg26886
OG0000096	Ag002G0165500	jg27435
OG0000098	Ag011G1254000, Ag011G1253500	jg27221, jg27229, jg27223, jg27264, jg27107
OG0000098	Ag013G1485800, Ag021G2621100	jg16874
OG0000098	Ag004G0531500	jg31283, jg17594, jg11987
OG0000098	Ag040G4345100	jg2306
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	jg17595, jg31284
OG0000100	Ag002G0106500	jg472
OG0000100	Ag002G0112700, Ag063G5079400	jg492
OG0000100	Ag063G5086400, Ag002G0116500	jg471
OG0000101	Ag024G2897100, Ag015G2244100, Ag015G2195700, Ag037G4126400, Ag017G2433300, Ag013G1679700	jg27510
OG0000102	Ag016G2365600	jg7820
OG0000102	Ag016G2365900, Ag016G2370500, Ag016G2369900	jg21543, jg7817
OG0000102	Ag016G2370600	jg7819
OG0000102	Ag016G2392700, Ag016G2377000, Ag016G2370800	jg7810
OG0000105	Ag011G1082400	jg14191, jg14194
OG0000105	Ag048G4578200	jg12802, jg12815
OG0000105	Ag024G2859800, Ag002G0126400, Ag002G0126500, Ag013G1589800	jg1379
OG0000105	Ag048G4614100	jg12094
OG0000107	Ag014G1858900	jg17559, jg17556
OG0000107	Ag014G2149500	jg26161
OG0000107	Ag014G2149100	jg26159
OG0000107	Ag014G2149800	jg26160
OG0000107	Ag014G2150100	jg26163
OG0000108	Ag031G3385800, Ag039G4307100	jg15311
OG0000108	Ag004G0614200, Ag004G0644200	jg14433, jg22870
OG0000108	Ag052G4856100, Ag013G1537900	jg4799
OG0000108	Ag003G0396500	jg19509, jg19508
OG0000109	Ag029G3099600	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000115	Ag032G3465800	jg32874, jg29546
OG0000117	Ag019G2506600, Ag018G2460700	jg30936
OG0000117	Ag018G2454400, Ag018G2459300	jg30934
OG0000117	Ag018G2459400	jg30937
OG0000117	Ag088G5431700	jg30938
OG0000117	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900	jg30929
OG0000118	Ag078G5395500, Ag034G4070400, Ag002G0250500	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773
OG0000118	Ag072G5253200	jg2028, jg2031, jg2038, jg2030, jg7426
OG0000119	Ag004G0623100, Ag004G0623400	jg22962
OG0000119	Ag034G3967000	jg14325
OG0000119	Ag019G2548800, Ag013G1361500	jg14055
OG0000119	Ag031G3224900	jg14331, jg4290
OG0000119	Ag013G1505800	jg14330, jg14326
OG0000122	Ag011G1267200	jg22485
OG0000122	Ag004G0718500	jg22508
OG0000124	Ag049G4732800	jg27681
OG0000125	Ag013G1613200	jg17897
OG0000125	Ag013G1612600	jg17896
OG0000125	Ag034G3743800	jg29111
OG0000125	Ag001G0065100	jg33004
OG0000125	Ag001G0066100	jg33352, jg33355
OG0000125	Ag001G0065800	jg33354
OG0000125	Ag027G3062400	jg26323
OG0000125	Ag001G0065900	jg33349
OG0000127	Ag034G3746600	jg29136
OG0000127	Ag004G0605400	jg6123
OG0000127	Ag031G3386800, Ag039G4310500	jg15301
OG0000127	Ag013G1609800	jg22931, jg14378, jg14383, jg17851
OG0000128	Ag031G3245400, Ag031G3245300, Ag031G3245200	jg15969
OG0000128	Ag031G3351100	jg20835
OG0000128	Ag031G3245700, Ag031G3245600	jg15966
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	jg15959
OG0000128	Ag031G3246700	jg15960
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	jg1161, jg11381
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	jg1820
OG0000129	Ag013G1673500, Ag013G1673600	jg1832
OG0000130	Ag074G5269900	jg32651, jg20179
OG0000130	Ag018G2457000	jg27275
OG0000132	Ag004G0468600, Ag004G0468500	jg23313
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	jg12398, jg12389, jg12393, jg12394, jg12395
OG0000134	Ag013G1506600	jg4953
OG0000136	Ag002G0180300	jg13269
OG0000137	Ag004G0742000	jg22366, jg22365
OG0000137	Ag004G0742300	jg22364
OG0000137	Ag004G0742500, Ag004G0742600	jg22363
OG0000137	Ag039G4193200	jg21872
OG0000138	Ag031G3253900	jg15930
OG0000138	Ag033G3506400, Ag078G5363200	jg15926
OG0000138	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800	jg15937
OG0000138	Ag031G3253700, Ag031G3403500	jg15932
OG0000138	Ag031G3182800	jg16316
OG0000138	Ag031G3182200, Ag031G3182000, Ag039G4256800	jg15356
OG0000140	Ag027G3064900	jg1149
OG0000140	Ag002G0186700	jg6686
OG0000140	Ag039G4233000	jg832
OG0000140	Ag014G2136000	jg13730, jg32189
OG0000140	Ag038G4173300, Ag022G2672800, Ag033G3478700	jg14078, jg1761, jg1441
OG0000140	Ag011G1144500	jg14412, jg13729
OG0000141	Ag034G3821900	jg29677
OG0000148	Ag013G1622400, Ag034G3735700	jg5636
OG0000151	Ag031G3356400	jg15449
OG0000151	Ag031G3356700	jg15448
OG0000151	Ag039G4248200	jg19118
OG0000151	Ag031G3356800	jg15447
OG0000151	Ag031G3389200	jg15282
OG0000151	Ag039G4314300	jg18884
OG0000151	Ag013G1463800	jg5170
OG0000153	Ag013G1617600, Ag013G1618100	jg17934, jg17935
OG0000153	Ag013G1616400	jg18114
OG0000153	Ag013G1615700	jg17933
OG0000154	Ag001G0045800	jg33217, jg33218, jg5696, jg5697
OG0000154	Ag053G4872200	jg11063
OG0000154	Ag001G0045900	jg33219
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	jg33216, jg33214, jg33213, jg1392, jg1393, jg33212
OG0000155	Ag013G1584700	jg11573, jg32701, jg22135, jg26608
OG0000157	Ag013G1747900, Ag014G2127200	jg31640
OG0000157	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500	jg31636, jg31639
OG0000157	Ag046G4529800, Ag013G1572800	jg31916
OG0000158	Ag011G1092000	jg8653
OG0000158	Ag014G2168100, Ag027G3073200, Ag027G3072400	jg10511
OG0000158	Ag014G1900800	jg16699, jg28264, jg5270, jg28263, jg7562, jg7551, jg11407
OG0000160	Ag042G4405700	jg28078
OG0000160	Ag068G5221600	jg9392
OG0000160	Ag004G0692900	jg22635
OG0000160	Ag048G4572800	jg3697
OG0000161	Ag015G2193300, Ag055G4906800	jg6881, jg12949, jg10772, jg12951
OG0000162	Ag013G1672500	jg20943
OG0000162	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300	jg13164, jg13159, jg13157, jg5057, jg13161, jg13155, jg13158, jg13160, jg12338, jg12339
OG0000162	Ag014G2098100	jg26999, jg27000, jg27001
OG0000162	Ag013G1672600	jg18412, jg18409, jg18408
OG0000164	Ag025G2923700, Ag048G4709500	jg6848, jg11792, jg7487, jg11793
OG0000164	Ag006G0821000	jg27251
OG0000164	Ag039G4325700	jg6850
OG0000166	Ag078G5376600	jg3074
OG0000167	Ag003G0383500, Ag003G0383700	jg26294, jg26576, jg26577
OG0000169	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900	jg11594, jg11592
OG0000170	Ag031G3214400	jg16152
OG0000170	Ag031G3214600	jg16151
OG0000170	Ag003G0320000	jg19948
OG0000171	Ag020G2575200	jg22050
OG0000171	Ag044G4495800	jg27769
OG0000171	Ag004G0721800	jg22463
OG0000171	Ag014G1883300	jg24782
OG0000173	Ag011G1059500	jg8491
OG0000173	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300	jg8629
OG0000173	Ag011G1199300	jg13671
OG0000173	Ag068G5224200, Ag068G5224000, Ag011G1085700	jg8611, jg8545
OG0000173	Ag033G3597600	jg8547
OG0000174	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725
OG0000174	Ag025G2929800	jg20878
OG0000174	Ag043G4452900	jg1495
OG0000175	Ag013G1441100	jg5289
OG0000175	Ag003G0294400, Ag012G1302600, Ag031G3188000	jg16299
OG0000176	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700	jg24440, jg16886, jg16884, jg16885
OG0000176	Ag014G1833200	jg32007
OG0000177	Ag034G3998900, Ag034G3998500, Ag034G3998600	jg30666, jg30667, jg30662, jg30668, jg30670, jg30665
OG0000177	Ag004G0483700	jg3362
OG0000178	Ag066G5142800	jg7702
OG0000178	Ag016G2366900, Ag016G2366600	jg7704
OG0000178	Ag016G2366000, Ag016G2366700	jg7703
OG0000178	Ag066G5144100, Ag066G5143400	jg7707, jg7705, jg32186
OG0000182	Ag013G1406700	jg15782, jg15779, jg32711, jg15778, jg16268, jg15781
OG0000183	Ag061G5037800	jg2098, jg12245
OG0000183	Ag031G3311200	jg15648, jg15712, jg19387
OG0000183	Ag013G1588300	jg5984, jg17567
OG0000184	Ag027G3048800	jg26401
OG0000184	Ag027G3048100	jg26412, jg26410, jg26411
OG0000184	Ag027G3047400	jg26422
OG0000184	Ag027G3047200, Ag027G3046800	jg26417, jg26418
OG0000185	Ag032G3420100	jg30960, jg31379, jg31377
OG0000186	Ag039G4226500	jg760
OG0000186	Ag031G3213700	jg19241
OG0000187	Ag034G3783000	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978
OG0000188	Ag063G5067000, Ag002G0125500, Ag014G1815800	jg5008, jg5007, jg5020, jg5022, jg5021, jg24303
OG0000188	Ag014G1820500, Ag014G1820600, Ag011G1195700	jg24346, jg24347
OG0000188	Ag042G4428600, Ag042G4412400, Ag014G1989600	jg24349, jg24348
OG0000189	Ag044G4495700	jg8854
OG0000189	Ag048G4687900	jg3242, jg30537
OG0000192	Ag034G3846600, Ag050G4764200	jg647
OG0000193	Ag014G2033900	jg32771, jg25724
OG0000193	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200	jg25726, jg27497, jg27499, jg27501, jg21538, jg27017, jg25725
OG0000193	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900	jg32770
OG0000195	Ag004G0630200	jg22932
OG0000196	Ag048G4576200, Ag048G4575400, Ag075G5300100, Ag011G1221400, Ag048G4578300, Ag078G5371100	jg12778
OG0000197	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800	jg10625, jg12243, jg10623
OG0000197	Ag033G3647600, Ag033G3647500	jg12242
OG0000198	Ag039G4275700	jg12942
OG0000198	Ag027G3046500	jg11388
OG0000198	Ag034G3876100, Ag034G3875700, Ag034G3875800, Ag034G3876300, Ag034G3876400	jg29982, jg31686
OG0000198	Ag034G3875600	jg29979, jg29981
OG0000198	Ag034G3844000, Ag033G3487200, Ag077G5316000	jg13337
OG0000199	Ag068G5227600, Ag031G3205000	jg33326, jg32894
OG0000200	Ag034G3715300, Ag034G3715100, Ag034G3715600	jg28892
OG0000200	Ag034G3715200, Ag034G3715500	jg31432, jg28891
OG0000200	Ag034G3715400	jg31559, jg31560, jg31558
OG0000202	Ag022G2638600, Ag022G2638700, Ag022G2638400, Ag022G2633500, Ag022G2638100, Ag048G4675800	jg8001
OG0000202	Ag019G2492100	jg7534, jg7536, jg7538, jg7531, jg7506, jg7999
OG0000202	Ag048G4676700	jg7249
OG0000203	Ag031G3273700, Ag031G3272800, Ag031G3272600, Ag070G5235400	jg15846, jg15848
OG0000203	Ag031G3304300	jg15851
OG0000203	Ag031G3270000	jg15862
OG0000203	Ag031G3270800	jg15861
OG0000206	Ag003G0367500	jg23550
OG0000208	Ag008G0951300, Ag029G3116900, Ag034G3931200, Ag013G1421500	jg21410, jg11762, jg17188, jg32157, jg21192, jg32818, jg12460, jg71, jg13677, jg27335, jg1616, jg20827, jg23855, jg27196, jg32317, jg32048, jg1612, jg27113, jg11473, jg11621, jg27114, jg11472, jg11622, jg8263, jg6904, jg13887, jg11691, jg25739, jg16962, jg32361, jg11759
OG0000209	Ag034G3863700	jg21051, jg1344
OG0000209	Ag013G1527000, Ag013G1527200, Ag013G1526500	jg4863, jg4865
OG0000210	Ag003G0329800, Ag003G0330000	jg19859
OG0000210	Ag002G0166900	jg2236
OG0000210	Ag004G0616900	jg2036
OG0000210	Ag031G3221000	jg19860
OG0000210	Ag031G3221400, Ag031G3221100, Ag031G3221200	jg16104
