Orthogroup	Alyssum_gmelinii	Camelina_sativa
OG0000000	Ag034G3958400, Ag016G2362000, Ag076G5315100	XP_010484922.1, XP_010430686.1, XP_019088171.1
OG0000000	Ag058G4984200, Ag063G5070800, Ag002G0202300, Ag078G5360800, Ag016G2390300, Ag014G2113800	XP_010418622.1
OG0000000	Ag039G4294900, Ag016G2393600	XP_019094484.1, XP_010469202.1
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	XP_010497088.1, XP_010431321.2, XP_010480531.1
OG0000000	Ag036G4123700	XP_010484733.1, XP_010507009.1
OG0000000	Ag054G4887300	XP_019084310.1, XP_010484878.1
OG0000000	Ag077G5323300, Ag003G0363000, Ag013G1740700	XP_010507236.1, XP_010513760.1, XP_010495271.1
OG0000000	Ag055G4904400	XP_019091045.1, XP_010418618.1, XP_010419439.1, XP_010419043.1, XP_019092333.1, XP_010436306.1
OG0000000	Ag061G5017100, Ag078G5391400, Ag048G4660900, Ag055G4901500, Ag013G1366000, Ag011G1209700, Ag014G2027100, Ag078G5385300, Ag040G4340700, Ag052G4868500	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1
OG0000000	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1
OG0000000	Ag045G4516900	XP_019092328.1, XP_019087439.1, XP_010456766.1
OG0000000	Ag066G5137400	XP_019101890.1
OG0000000	Ag013G1386400, Ag033G3486500	XP_010463143.1
OG0000000	Ag031G3406900	XP_010468192.1, XP_010424608.1, XP_010451493.1, XP_010451645.1, XP_010490248.1, XP_019085377.1, XP_010495306.1, XP_010480636.1, XP_010468796.1, XP_010495441.1
OG0000000	Ag034G3852600	XP_010419021.1, XP_010490159.1, XP_010474601.1, XP_019095662.1
OG0000000	Ag011G1121000, Ag019G2526000, Ag051G4805800, Ag023G2823300	XP_019100869.1
OG0000000	Ag067G5173700	XP_010495165.1, XP_010495244.1
OG0000002	Ag027G3030200	XP_019092262.1, XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1, XP_010506877.1, XP_010424742.1, XP_010495565.1
OG0000002	Ag013G1414500	XP_019096313.1
OG0000003	Ag005G0787400	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000003	Ag022G2672700, Ag014G2084900	XP_010430863.1, XP_010436564.1, XP_019082654.1, XP_010489852.1, XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1, XP_010418577.1, XP_010501871.1, XP_010501997.1, XP_010445721.1, XP_010445560.1, XP_019082529.1, XP_019100691.1
OG0000003	Ag067G5203100	XP_010430973.1, XP_010412668.1, XP_019096351.1, XP_010501806.1, XP_010512971.1, XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1, XP_010496100.1, XP_010474339.1, XP_010418675.1
OG0000003	Ag004G0525300	XP_019085582.1, XP_010495255.1, XP_010451229.1, XP_010445454.1, XP_010430851.1, XP_010445963.1, XP_010418736.1, XP_010425414.1, XP_010430719.1, XP_010463243.1, XP_010495605.1, XP_010474252.1, XP_010423438.1, XP_019087502.1, XP_010462838.1, XP_019089261.1, XP_019100972.1, XP_010435962.1, XP_010513407.1
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	XP_019087435.1, XP_010481038.1
OG0000003	Ag025G2976100	XP_010473894.1, XP_010431475.1, XP_019095868.1
OG0000003	Ag013G1682200, Ag011G1271000	XP_010446092.1
OG0000003	Ag011G1183800	XP_010495645.1
OG0000004	Ag033G3561100	XP_010445863.1, XP_010495482.1, XP_010446038.1, XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	XP_010488713.1, XP_019098283.1, XP_019097715.1, XP_010479590.1, XP_019094707.1
OG0000004	Ag014G1774700	XP_019096757.1
OG0000004	Ag050G4758900	XP_019084411.1, XP_010445388.1, XP_010501566.1, XP_010507019.1, XP_010518611.1
OG0000004	Ag039G4237400	XP_010495705.2
OG0000004	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400	XP_010480743.1, XP_010474178.1, XP_010468397.1, XP_010430704.1, XP_010495973.1, XP_010507007.1, XP_010418888.1, XP_010507177.1, XP_010424969.1, XP_019100923.1, XP_010470702.1, XP_010456912.1, XP_010451293.2, XP_019082581.1, XP_019094576.1, XP_010481112.1, XP_010468418.1, XP_010495146.1, XP_019089063.1
OG0000004	Ag066G5158800	XP_019095344.1, XP_019085777.1, XP_019094874.1, XP_019088092.1
OG0000005	Ag013G1642000, Ag036G4090400	XP_010484739.1
OG0000007	Ag003G0374300	XP_010501923.1
OG0000008	Ag027G3059500	XP_010451669.1
OG0000008	Ag005G0786100	XP_010418963.1, XP_010494551.1, XP_019090719.1, XP_019085413.1
OG0000008	Ag027G3054100	XP_019100927.1, XP_010480868.1, XP_010497028.1, XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1, XP_010497042.1, XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1
OG0000008	Ag014G2109900	XP_019085490.1, XP_010451904.1
OG0000008	Ag001G0025300	XP_019099860.1, XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2, XP_010484804.1, XP_010456594.1, XP_010456996.1, XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2, XP_010445494.1, XP_019087202.1, XP_010495176.1, XP_010497048.1, XP_019100926.1, XP_010451668.1, XP_010434876.2, XP_010495526.1, XP_010445463.1, XP_010445485.1
OG0000008	Ag033G3526400	XP_019097389.1, XP_019092334.1, XP_010480870.1, XP_019084336.1
OG0000009	Ag034G3970500, Ag034G3983500	XP_019085473.1
OG0000009	Ag027G3009300	XP_019090183.1
OG0000009	Ag015G2264800, Ag040G4348900, Ag088G5430700	XP_019097316.1
OG0000009	Ag019G2551400	XP_010424774.1, XP_019085342.1
OG0000009	Ag019G2526900	XP_010463404.1, XP_019097511.1, XP_010419203.2, XP_019096054.1, XP_010419407.1
OG0000009	Ag016G2319900, Ag025G2919200	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1
OG0000011	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	XP_019087271.1
OG0000011	Ag027G3007700	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1, XP_010436526.1, XP_019087679.1, XP_010431020.1, XP_010441447.2, XP_010461380.2, XP_010472684.2, XP_010489801.1, XP_019082513.1, XP_019090446.1, XP_010463347.1, XP_010436569.1, XP_010445159.1, XP_010463024.1, XP_019090975.1, XP_019082656.1, XP_010424386.1, XP_010463179.1, XP_010413083.1, XP_010453170.1, XP_010497231.1
OG0000014	Ag002G0182700	XP_010470900.1
OG0000015	Ag034G3936100	XP_010507453.1
OG0000015	Ag012G1294500	XP_010427798.1, XP_010450099.1
OG0000015	Ag048G4644700, Ag011G1263600	XP_010445653.1
OG0000015	Ag018G2438800	XP_010412816.1, XP_010470614.1
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	XP_010462935.1, XP_010474081.1, XP_010506881.1
OG0000018	Ag074G5275600, Ag020G2558600	XP_010461832.1
OG0000020	Ag016G2337300	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2
OG0000020	Ag068G5227400	XP_019084343.1
OG0000020	Ag039G4234300	XP_010511936.1
OG0000021	Ag013G1488900, Ag031G3408800	XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1, XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1, XP_010424409.1, XP_010425747.1, XP_019097391.1, XP_019099607.1, XP_019097512.1, XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1, XP_010425129.1, XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2, XP_019091130.1, XP_010456944.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010480828.1, XP_010445495.1, XP_010412713.1, XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000022	Ag002G0155300	XP_019082760.1, XP_019085675.1
OG0000022	Ag034G3829100	XP_010458700.1
OG0000022	Ag024G2896000	XP_010418533.1, XP_019085324.1, XP_010418529.1, XP_010430597.1
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	XP_010447152.1, XP_010436064.1
OG0000022	Ag014G2040000	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000023	Ag013G1378800	XP_019083197.1, XP_010506933.1
OG0000023	Ag054G4895500, Ag002G0253500	XP_010424636.1
OG0000024	Ag013G1663800	XP_019082533.1
